y,x,val
0.0000,0.0000,1517.5803
0.0000,222.2222,1517.4033
0.0000,444.4444,1517.0431
0.0000,666.6667,1516.5558
0.0000,888.8889,1516.3233
0.0000,1111.1111,1516.3048
0.0000,1333.3333,1516.1455
0.0000,1555.5556,1515.9775
0.0000,1777.7778,1515.9726
0.0000,2000.0000,1515.9726
51.7241,0.0000,1517.6528
51.7241,222.2222,1517.3214
51.7241,444.4444,1516.9417
51.7241,666.6667,1516.2772
51.7241,888.8889,1516.2608
51.7241,1111.1111,1516.5192
51.7241,1333.3333,1516.3058
51.7241,1555.5556,1516.2564
51.7241,1777.7778,1516.1954
51.7241,2000.0000,1516.1954
103.4483,0.0000,1517.8811
103.4483,222.2222,1517.4607
103.4483,444.4444,1517.2646
103.4483,666.6667,1516.5521
103.4483,888.8889,1516.8329
103.4483,1111.1111,1517.3209
103.4483,1333.3333,1516.9403
103.4483,1555.5556,1517.0807
103.4483,1777.7778,1516.9345
103.4483,2000.0000,1516.9345
155.1724,0.0000,1518.3832
155.1724,222.2222,1517.9675
155.1724,444.4444,1517.9567
155.1724,666.6667,1517.3048
155.1724,888.8889,1517.8537
155.1724,1111.1111,1518.5448
155.1724,1333.3333,1518.0767
155.1724,1555.5556,1518.3014
155.1724,1777.7778,1518.0704
155.1724,2000.0000,1518.0704
206.8966,0.0000,1519.1341
206.8966,222.2222,1518.7806
206.8966,444.4444,1518.9577
206.8966,666.6667,1518.3986
206.8966,888.8889,1519.1909
206.8966,1111.1111,1520.0699
206.8966,1333.3333,1519.5408
206.8966,1555.5556,1519.7859
206.8966,1777.7778,1519.4429
206.8966,2000.0000,1519.4429
258.6207,0.0000,1519.9804
258.6207,222.2222,1519.7342
258.6207,444.4444,1520.1076
258.6207,666.6667,1519.6441
258.6207,888.8889,1520.6563
258.6207,1111.1111,1521.7020
258.6207,1333.3333,1521.1024
258.6207,1555.5556,1521.3215
258.6207,1777.7778,1520.8256
258.6207,2000.0000,1520.8256
310.3448,0.0000,1520.6431
310.3448,222.2222,1520.5492
310.3448,444.4444,1521.1249
310.3448,666.6667,1520.7452
310.3448,888.8889,1521.9485
310.3448,1111.1111,1523.1335
310.3448,1333.3333,1522.4427
310.3448,1555.5556,1522.5958
310.3448,1777.7778,1521.8985
310.3448,2000.0000,1521.8985
362.0690,0.0000,1520.7050
362.0690,222.2222,1520.7993
362.0690,444.4444,1521.5573
362.0690,666.6667,1521.2262
362.0690,888.8889,1522.5797
362.0690,1111.1111,1523.8765
362.0690,1333.3333,1523.0881
362.0690,1555.5556,1523.1605
362.0690,1777.7778,1522.2213
362.0690,2000.0000,1522.2213
413.7931,0.0000,1519.5945
413.7931,222.2222,1519.8085
413.7931,444.4444,1520.6360
413.7931,666.6667,1520.2711
413.7931,888.8889,1521.7143
413.7931,1111.1111,1523.1032
413.7931,1333.3333,1522.2598
413.7931,1555.5556,1522.3279
413.7931,1777.7778,1521.2148
413.7931,2000.0000,1521.2148
465.5172,0.0000,1516.6905
465.5172,222.2222,1516.3805
465.5172,444.4444,1516.9807
465.5172,666.6667,1516.4515
465.5172,888.8889,1517.9054
465.5172,1111.1111,1519.3738
465.5172,1333.3333,1518.5813
465.5172,1555.5556,1518.9027
465.5172,1777.7778,1518.2681
465.5172,2000.0000,1518.2681
517.2414,0.0000,1513.6258
517.2414,222.2222,1513.1738
517.2414,444.4444,1513.6469
517.2414,666.6667,1512.9927
517.2414,888.8889,1514.4233
517.2414,1111.1111,1515.9175
517.2414,1333.3333,1515.1413
517.2414,1555.5556,1515.5703
517.2414,1777.7778,1515.0516
517.2414,2000.0000,1515.0516
568.9655,0.0000,1510.6041
568.9655,222.2222,1510.1063
568.9655,444.4444,1510.5127
568.9655,666.6667,1509.7868
568.9655,888.8889,1511.1783
568.9655,1111.1111,1512.6569
568.9655,1333.3333,1511.8733
568.9655,1555.5556,1512.3221
568.9655,1777.7778,1511.8336
568.9655,2000.0000,1511.8336
620.6897,0.0000,1507.6890
620.6897,222.2222,1507.1724
620.6897,444.4444,1507.5406
620.6897,666.6667,1506.7713
620.6897,888.8889,1508.1212
620.6897,1111.1111,1509.5664
620.6897,1333.3333,1508.7610
620.6897,1555.5556,1509.1976
620.6897,1777.7778,1508.7153
620.6897,2000.0000,1508.7153
672.4138,0.0000,1504.9041
672.4138,222.2222,1504.3772
672.4138,444.4444,1504.7198
672.4138,666.6667,1503.9204
672.4138,888.8889,1505.2315
672.4138,1111.1111,1506.6391
672.4138,1333.3333,1505.8078
672.4138,1555.5556,1506.2237
672.4138,1777.7778,1505.7403
672.4138,2000.0000,1505.7403
724.1379,0.0000,1502.2608
724.1379,222.2222,1501.7266
724.1379,444.4444,1502.0496
724.1379,666.6667,1501.2270
724.1379,888.8889,1502.5038
724.1379,1111.1111,1503.8760
724.1379,1333.3333,1503.0203
724.1379,1555.5556,1503.4158
724.1379,1777.7778,1502.9294
724.1379,2000.0000,1502.9294
775.8621,0.0000,1499.7667
775.8621,222.2222,1499.2264
775.8621,444.4444,1499.5333
775.8621,666.6667,1498.6922
775.8621,888.8889,1499.9394
775.8621,1111.1111,1501.2808
775.8621,1333.3333,1500.4047
775.8621,1555.5556,1500.7826
775.8621,1777.7778,1500.2935
775.8621,2000.0000,1500.2935
827.5862,0.0000,1497.4284
827.5862,222.2222,1496.8830
827.5862,444.4444,1497.1762
827.5862,666.6667,1496.3201
827.5862,888.8889,1497.5425
827.5862,1111.1111,1498.8581
827.5862,1333.3333,1497.9658
827.5862,1555.5556,1498.3296
827.5862,1777.7778,1497.8384
827.5862,2000.0000,1497.8384
879.3103,0.0000,1495.2523
879.3103,222.2222,1494.7025
879.3103,444.4444,1494.9841
879.3103,666.6667,1494.1159
879.3103,888.8889,1495.3179
879.3103,1111.1111,1496.6123
879.3103,1333.3333,1495.7078
879.3103,1555.5556,1496.0606
879.3103,1777.7778,1495.5681
879.3103,2000.0000,1495.5681
931.0345,0.0000,1493.2442
931.0345,222.2222,1492.6907
931.0345,444.4444,1492.9627
931.0345,666.6667,1492.0851
931.0345,888.8889,1493.2703
931.0345,1111.1111,1494.5477
931.0345,1333.3333,1493.6342
931.0345,1555.5556,1493.9785
931.0345,1777.7778,1493.4855
931.0345,2000.0000,1493.4855
982.7586,0.0000,1491.4099
982.7586,222.2222,1490.8532
982.7586,444.4444,1491.1173
982.7586,666.6667,1490.2324
982.7586,888.8889,1491.4039
982.7586,1111.1111,1492.6676
982.7586,1333.3333,1491.7477
982.7586,1555.5556,1492.0857
982.7586,1777.7778,1491.5927
982.7586,2000.0000,1491.5927
1034.4828,0.0000,1489.7544
1034.4828,222.2222,1489.1952
1034.4828,444.4444,1489.4529
1034.4828,666.6667,1488.5624
1034.4828,888.8889,1489.7228
1034.4828,1111.1111,1490.9754
1034.4828,1333.3333,1490.0510
1034.4828,1555.5556,1490.3843
1034.4828,1777.7778,1489.8919
1034.4828,2000.0000,1489.8919
1086.2069,0.0000,1488.2823
1086.2069,222.2222,1487.7213
1086.2069,444.4444,1487.9740
1086.2069,666.6667,1487.0792
1086.2069,888.8889,1488.2302
1086.2069,1111.1111,1489.4736
1086.2069,1333.3333,1488.5461
1086.2069,1555.5556,1488.8762
1086.2069,1777.7778,1488.3848
1086.2069,2000.0000,1488.3848
1137.9310,0.0000,1486.9977
1137.9310,222.2222,1486.4357
1137.9310,444.4444,1486.6848
1137.9310,666.6667,1485.7867
1137.9310,888.8889,1486.9292
1137.9310,1111.1111,1488.1642
1137.9310,1333.3333,1487.2346
1137.9310,1555.5556,1487.5630
1137.9310,1777.7778,1487.0731
1137.9310,2000.0000,1487.0731
1189.6552,0.0000,1485.9038
1189.6552,222.2222,1485.3421
1189.6552,444.4444,1485.5896
1189.6552,666.6667,1484.6890
1189.6552,888.8889,1485.8221
1189.6552,1111.1111,1487.0481
1189.6552,1333.3333,1486.1173
1189.6552,1555.5556,1486.4459
1189.6552,1777.7778,1485.9586
1189.6552,2000.0000,1485.9586
1241.3793,0.0000,1485.0028
1241.3793,222.2222,1484.4441
1241.3793,444.4444,1484.6926
1241.3793,666.6667,1483.7911
1241.3793,888.8889,1484.9112
1241.3793,1111.1111,1486.1243
1241.3793,1333.3333,1485.1941
1241.3793,1555.5556,1485.5256
1241.3793,1777.7778,1485.0435
1241.3793,2000.0000,1485.0435
1293.1034,0.0000,1484.2949
1293.1034,222.2222,1483.7450
1293.1034,444.4444,1483.9984
1293.1034,666.6667,1483.1021
1293.1034,888.8889,1484.1984
1293.1034,1111.1111,1485.3874
1293.1034,1333.3333,1484.4640
1293.1034,1555.5556,1484.8021
1293.1034,1777.7778,1484.3311
1293.1034,2000.0000,1484.3311
1344.8276,0.0000,1483.7766
1344.8276,222.2222,1483.2499
1344.8276,444.4444,1483.5079
1344.8276,666.6667,1482.6407
1344.8276,888.8889,1483.6856
1344.8276,1111.1111,1484.8209
1344.8276,1333.3333,1483.9294
1344.8276,1555.5556,1484.2732
1344.8276,1777.7778,1483.8278
1344.8276,2000.0000,1483.8278
1396.5517,0.0000,1483.4359
1396.5517,222.2222,1482.9723
1396.5517,444.4444,1483.2044
1396.5517,666.6667,1482.4520
1396.5517,888.8889,1483.3756
1396.5517,1111.1111,1484.3801
1396.5517,1333.3333,1483.6109
1396.5517,1555.5556,1483.9267
1396.5517,1777.7778,1483.5472
1396.5517,2000.0000,1483.5472
1448.2759,0.0000,1483.2412
1448.2759,222.2222,1482.9535
1448.2759,444.4444,1483.0128
1448.2759,666.6667,1482.6359
1448.2759,888.8889,1483.2747
1448.2759,1111.1111,1483.9607
1448.2759,1333.3333,1483.5916
1448.2759,1555.5556,1483.7216
1448.2759,1777.7778,1483.5206
1448.2759,2000.0000,1483.5206
1500.0000,0.0000,1483.2412
1500.0000,222.2222,1482.9535
1500.0000,444.4444,1483.0128
1500.0000,666.6667,1482.6359
1500.0000,888.8889,1483.2747
1500.0000,1111.1111,1483.9607
1500.0000,1333.3333,1483.5916
1500.0000,1555.5556,1483.7216
1500.0000,1777.7778,1483.5206
1500.0000,2000.0000,1483.5206
