y,x,val
0.0000,0.0000,1521.2974
0.0000,222.2222,1520.7688
0.0000,444.4444,1519.8520
0.0000,666.6667,1519.3474
0.0000,888.8889,1519.2409
0.0000,1111.1111,1519.6895
0.0000,1333.3333,1520.5338
0.0000,1555.5556,1521.1517
0.0000,1777.7778,1521.4191
0.0000,2000.0000,1521.4191
51.7241,0.0000,1521.1308
51.7241,222.2222,1520.2923
51.7241,444.4444,1519.5280
51.7241,666.6667,1519.4299
51.7241,888.8889,1519.2885
51.7241,1111.1111,1519.6196
51.7241,1333.3333,1520.6768
51.7241,1555.5556,1521.3033
51.7241,1777.7778,1521.5409
51.7241,2000.0000,1521.5409
103.4483,0.0000,1520.6628
103.4483,222.2222,1519.8150
103.4483,444.4444,1519.4490
103.4483,666.6667,1519.6762
103.4483,888.8889,1519.5445
103.4483,1111.1111,1519.8023
103.4483,1333.3333,1520.9136
103.4483,1555.5556,1521.4674
103.4483,1777.7778,1521.6518
103.4483,2000.0000,1521.6518
155.1724,0.0000,1520.1258
155.1724,222.2222,1519.3746
155.1724,444.4444,1519.3226
155.1724,666.6667,1519.8107
155.1724,888.8889,1519.7535
155.1724,1111.1111,1519.9936
155.1724,1333.3333,1521.0922
155.1724,1555.5556,1521.5790
155.1724,1777.7778,1521.7078
155.1724,2000.0000,1521.7078
206.8966,0.0000,1519.5429
206.8966,222.2222,1518.8928
206.8966,444.4444,1519.0587
206.8966,666.6667,1519.7427
206.8966,888.8889,1519.7783
206.8966,1111.1111,1520.0327
206.8966,1333.3333,1521.1118
206.8966,1555.5556,1521.5489
206.8966,1777.7778,1521.6319
206.8966,2000.0000,1521.6319
258.6207,0.0000,1518.8701
258.6207,222.2222,1518.2982
258.6207,444.4444,1518.6092
258.6207,666.6667,1519.4320
258.6207,888.8889,1519.5501
258.6207,1111.1111,1519.8296
258.6207,1333.3333,1520.8966
258.6207,1555.5556,1521.2997
258.6207,1777.7778,1521.3494
258.6207,2000.0000,1521.3494
310.3448,0.0000,1518.0546
310.3448,222.2222,1517.5362
310.3448,444.4444,1517.9403
310.3448,666.6667,1518.8554
310.3448,888.8889,1519.0346
310.3448,1111.1111,1519.3363
310.3448,1333.3333,1520.3952
310.3448,1555.5556,1520.7747
310.3448,1777.7778,1520.8015
310.3448,2000.0000,1520.8015
362.0690,0.0000,1517.0541
362.0690,222.2222,1516.5691
362.0690,444.4444,1517.0290
362.0690,666.6667,1518.0001
362.0690,888.8889,1518.2172
362.0690,1111.1111,1518.5310
362.0690,1333.3333,1519.5797
362.0690,1555.5556,1519.9394
362.0690,1777.7778,1519.9506
362.0690,2000.0000,1519.9506
413.7931,0.0000,1515.8418
413.7931,222.2222,1515.3747
413.7931,444.4444,1515.8641
413.7931,666.6667,1516.8632
413.7931,888.8889,1517.0973
413.7931,1111.1111,1517.4103
413.7931,1333.3333,1518.4426
413.7931,1555.5556,1518.7813
413.7931,1777.7778,1518.7810
413.7931,2000.0000,1518.7810
465.5172,0.0000,1514.4061
465.5172,222.2222,1513.9456
465.5172,444.4444,1514.4455
465.5172,666.6667,1515.4522
465.5172,888.8889,1515.6862
465.5172,1111.1111,1515.9871
465.5172,1333.3333,1516.9958
465.5172,1555.5556,1517.3104
465.5172,1777.7778,1517.2997
465.5172,2000.0000,1517.2997
517.2414,0.0000,1512.7490
517.2414,222.2222,1512.2867
517.2414,444.4444,1512.7839
517.2414,666.6667,1513.7839
517.2414,888.8889,1514.0059
517.2414,1111.1111,1514.2864
517.2414,1333.3333,1515.2678
517.2414,1555.5556,1515.5583
517.2414,1777.7778,1515.5402
517.2414,2000.0000,1515.5402
568.9655,0.0000,1510.8834
568.9655,222.2222,1510.4134
568.9655,444.4444,1510.8992
568.9655,666.6667,1511.8828
568.9655,888.8889,1512.0854
568.9655,1111.1111,1512.3417
568.9655,1333.3333,1513.2956
