y,x,val
0.0000,0.0000,1521.2666
0.0000,222.2222,1521.4057
0.0000,444.4444,1521.7123
0.0000,666.6667,1522.1545
0.0000,888.8889,1522.6326
0.0000,1111.1111,1523.0953
0.0000,1333.3333,1523.5122
0.0000,1555.5556,1523.7891
0.0000,1777.7778,1523.8664
0.0000,2000.0000,1523.8664
51.7241,0.0000,1521.1420
51.7241,222.2222,1521.2828
51.7241,444.4444,1521.6153
51.7241,666.6667,1522.0876
51.7241,888.8889,1522.5871
51.7241,1111.1111,1523.0695
51.7241,1333.3333,1523.5039
51.7241,1555.5556,1523.7879
51.7241,1777.7778,1523.8543
51.7241,2000.0000,1523.8543
103.4483,0.0000,1520.9407
103.4483,222.2222,1521.0959
103.4483,444.4444,1521.4484
103.4483,666.6667,1521.9314
103.4483,888.8889,1522.4453
103.4483,1111.1111,1522.9391
103.4483,1333.3333,1523.3691
103.4483,1555.5556,1523.6461
103.4483,1777.7778,1523.7065
103.4483,2000.0000,1523.7065
155.1724,0.0000,1520.6518
155.1724,222.2222,1520.8202
155.1724,444.4444,1521.1846
155.1724,666.6667,1521.6720
155.1724,888.8889,1522.1887
155.1724,1111.1111,1522.6805
155.1724,1333.3333,1523.0991
155.1724,1555.5556,1523.3635
155.1724,1777.7778,1523.4147
155.1724,2000.0000,1523.4147
206.8966,0.0000,1520.2533
206.8966,222.2222,1520.4325
206.8966,444.4444,1520.8023
206.8966,666.6667,1521.2873
206.8966,888.8889,1521.7965
206.8966,1111.1111,1522.2760
206.8966,1333.3333,1522.6776
206.8966,1555.5556,1522.9254
206.8966,1777.7778,1522.9644
206.8966,2000.0000,1522.9644
258.6207,0.0000,1519.7179
258.6207,222.2222,1519.9066
258.6207,444.4444,1520.2761
258.6207,666.6667,1520.7516
258.6207,888.8889,1521.2447
258.6207,1111.1111,1521.7037
258.6207,1333.3333,1522.0829
258.6207,1555.5556,1522.3105
258.6207,1777.7778,1522.3347
258.6207,2000.0000,1522.3347
310.3448,0.0000,1519.0132
310.3448,222.2222,1519.2109
310.3448,444.4444,1519.5757
310.3448,666.6667,1520.0351
310.3448,888.8889,1520.5046
310.3448,1111.1111,1520.9364
310.3448,1333.3333,1521.2885
310.3448,1555.5556,1521.4930
310.3448,1777.7778,1521.5008
310.3448,2000.0000,1521.5008
362.0690,0.0000,1518.1007
362.0690,222.2222,1518.3079
362.0690,444.4444,1518.6642
362.0690,666.6667,1519.1020
362.0690,888.8889,1519.5423
362.0690,1111.1111,1519.9424
362.0690,1333.3333,1520.2646
362.0690,1555.5556,1520.4445
362.0690,1777.7778,1520.4355
362.0690,2000.0000,1520.4355
413.7931,0.0000,1516.9345
413.7931,222.2222,1517.1521
413.7931,444.4444,1517.4969
413.7931,666.6667,1517.9094
413.7931,888.8889,1518.3186
413.7931,1111.1111,1518.6864
413.7931,1333.3333,1518.9793
413.7931,1555.5556,1519.1361
413.7931,1777.7778,1519.1122
413.7931,2000.0000,1519.1122
465.5172,0.0000,1515.4603
465.5172,222.2222,1515.6863
465.5172,444.4444,1516.0170
465.5172,666.6667,1516.4054
465.5172,888.8889,1516.7883
465.5172,1111.1111,1517.1307
465.5172,1333.3333,1517.4013
465.5172,1555.5556,1517.5417
465.5172,1777.7778,1517.5083
465.5172,2000.0000,1517.5083
517.2414,0.0000,1513.6185
517.2414,222.2222,1513.8298
