y,x,val
0.0000,0.0000,-2.4675
0.0000,222.2222,-1.6883
0.0000,444.4444,-0.9190
0.0000,666.6667,-2.6669
0.0000,888.8889,-2.1442
0.0000,1111.1111,-1.7418
0.0000,1333.3333,-3.9891
0.0000,1555.5556,-3.8314
0.0000,1777.7778,-3.7563
0.0000,2000.0000,-3.7563
48.3871,0.0000,-2.5370
48.3871,222.2222,-1.5735
48.3871,444.4444,-0.5313
48.3871,666.6667,-3.0321
48.3871,888.8889,-2.1237
48.3871,1111.1111,-1.3579
48.3871,1333.3333,-4.3907
48.3871,1555.5556,-3.8027
48.3871,1777.7778,-3.4961
48.3871,2000.0000,-3.4961
96.7742,0.0000,-1.4157
96.7742,222.2222,-0.4559
96.7742,444.4444,0.7231
96.7742,666.6667,-2.2415
96.7742,888.8889,-1.1262
96.7742,1111.1111,-0.1082
96.7742,1333.3333,-3.4959
96.7742,1555.5556,-2.7074
96.7742,1777.7778,-2.2673
96.7742,2000.0000,-2.2673
145.1613,0.0000,-1.0556
145.1613,222.2222,-0.2364
145.1613,444.4444,0.9093
145.1613,666.6667,-2.1115
145.1613,888.8889,-0.8976
145.1613,1111.1111,0.2436
145.1613,1333.3333,-3.1913
145.1613,1555.5556,-2.2471
145.1613,1777.7778,-1.7562
145.1613,2000.0000,-1.7562
193.5484,0.0000,-1.2933
193.5484,222.2222,-0.7048
193.5484,444.4444,0.3954
193.5484,666.6667,-2.4755
193.5484,888.8889,-1.3110
193.5484,1111.1111,-0.1025
193.5484,1333.3333,-3.2418
193.5484,1555.5556,-2.3402
193.5484,1777.7778,-1.8673
193.5484,2000.0000,-1.8673
241.9355,0.0000,-2.2679
241.9355,222.2222,-1.6746
241.9355,444.4444,-0.4650
241.9355,666.6667,-3.6287
241.9355,888.8889,-2.3150
241.9355,1111.1111,-0.8934
241.9355,1333.3333,-4.1607
241.9355,1555.5556,-3.1157
241.9355,1777.7778,-2.4963
241.9355,2000.0000,-2.4963
290.3226,0.0000,-3.2655
290.3226,222.2222,-2.6824
290.3226,444.4444,-1.4103
290.3226,666.6667,-4.8997
290.3226,888.8889,-3.4316
290.3226,1111.1111,-1.8217
290.3226,1333.3333,-5.3112
290.3226,1555.5556,-4.0838
290.3226,1777.7778,-3.2967
290.3226,2000.0000,-3.2967
338.7097,0.0000,-3.7260
338.7097,222.2222,-3.1319
338.7097,444.4444,-1.7658
338.7097,666.6667,-5.6423
338.7097,888.8889,-3.9940
338.7097,1111.1111,-2.1801
338.7097,1333.3333,-5.9753
338.7097,1555.5556,-4.5254
338.7097,1777.7778,-3.5424
338.7097,2000.0000,-3.5424
387.0968,0.0000,-3.4347
387.0968,222.2222,-2.8158
387.0968,444.4444,-1.3437
387.0968,666.6667,-5.6250
387.0968,888.8889,-3.7996
387.0968,1111.1111,-1.8011
387.0968,1333.3333,-5.9400
387.0968,1555.5556,-4.2842
387.0968,1777.7778,-3.1114
387.0968,2000.0000,-3.1114
435.4839,0.0000,-2.1491
435.4839,222.2222,-1.5578
435.4839,444.4444,-0.0214
435.4839,666.6667,-4.4867
435.4839,888.8889,-2.5868
435.4839,1111.1111,-0.5187
435.4839,1333.3333,-4.8495
435.4839,1555.5556,-3.1288
435.4839,1777.7778,-1.8815
435.4839,2000.0000,-1.8815
483.8710,0.0000,0.0298
483.8710,222.2222,0.8245
483.8710,444.4444,2.4460
483.8710,666.6667,-1.8527
483.8710,888.8889,0.0398
483.8710,1111.1111,2.0451
483.8710,1333.3333,-2.2869
483.8710,1555.5556,-0.7100
483.8710,1777.7778,0.2229
483.8710,2000.0000,0.2229
532.2581,0.0000,2.2914
532.2581,222.2222,3.0372
532.2581,444.4444,4.6267
532.2581,666.6667,0.6188
532.2581,888.8889,2.4074
532.2581,1111.1111,4.2879
532.2581,1333.3333,0.1397
532.2581,1555.5556,1.5628
532.2581,1777.7778,2.3383
532.2581,2000.0000,2.3383
580.6452,0.0000,4.4428
580.6452,222.2222,5.0278
580.6452,444.4444,6.4356
580.6452,666.6667,2.9990
580.6452,888.8889,4.5815
580.6452,1111.1111,6.2210
580.6452,1333.3333,2.5758
580.6452,1555.5556,3.7850
580.6452,1777.7778,4.3419
580.6452,2000.0000,4.3419
629.0323,0.0000,5.8785
629.0323,222.2222,6.2757
629.0323,444.4444,7.4898
629.0323,666.6667,4.6049
629.0323,888.8889,5.9733
629.0323,1111.1111,7.3897
629.0323,1333.3333,4.2770
629.0323,1555.5556,5.2987
629.0323,1777.7778,5.6732
629.0323,2000.0000,5.6732
677.4194,0.0000,6.6173
677.4194,222.2222,6.8636
677.4194,444.4444,7.9123
677.4194,666.6667,5.5596
677.4194,888.8889,6.7518
677.4194,1111.1111,7.9778
677.4194,1333.3333,5.3877
677.4194,1555.5556,6.2584
677.4194,1777.7778,6.4739
677.4194,2000.0000,6.4739
725.8065,0.0000,6.7738
725.8065,222.2222,6.8780
725.8065,444.4444,7.7666
725.8065,666.6667,5.8223
725.8065,888.8889,6.8512
725.8065,1111.1111,7.9005
725.8065,1333.3333,5.7371
725.8065,1555.5556,6.4714
725.8065,1777.7778,6.5427
725.8065,2000.0000,6.5427
774.1935,0.0000,6.3265
774.1935,222.2222,6.3166
774.1935,444.4444,7.0872
774.1935,666.6667,5.4399
774.1935,888.8889,6.3328
774.1935,1111.1111,7.2482
774.1935,1333.3333,5.4057
774.1935,1555.5556,6.0230
774.1935,1777.7778,5.9825
774.1935,2000.0000,5.9825
822.5806,0.0000,5.5728
822.5806,222.2222,5.4772
822.5806,444.4444,6.1586
822.5806,666.6667,4.7351
822.5806,888.8889,5.5183
822.5806,1111.1111,6.3270
822.5806,1333.3333,4.7425
822.5806,1555.5556,5.2611
822.5806,1777.7778,5.1290
822.5806,2000.0000,5.1290
870.9677,0.0000,4.7034
870.9677,222.2222,4.5658
870.9677,444.4444,5.1958
870.9677,666.6667,3.8965
870.9677,888.8889,4.6251
870.9677,1111.1111,5.3750
870.9677,1333.3333,3.9404
870.9677,1555.5556,4.4160
870.9677,1777.7778,4.2407
