y,x,val
0.0000,0.0000,-5.3862
0.0000,222.2222,-4.5646
0.0000,444.4444,-3.5764
0.0000,666.6667,-4.7068
0.0000,888.8889,-3.5772
0.0000,1111.1111,-2.4946
0.0000,1333.3333,-3.9059
0.0000,1555.5556,-3.2184
0.0000,1777.7778,-2.7751
0.0000,2000.0000,-2.7751
48.3871,0.0000,-5.1621
48.3871,222.2222,-4.0509
48.3871,444.4444,-2.8406
48.3871,666.6667,-4.6199
48.3871,888.8889,-3.1861
48.3871,1111.1111,-1.8443
48.3871,1333.3333,-3.9837
48.3871,1555.5556,-2.9760
48.3871,1777.7778,-2.2546
48.3871,2000.0000,-2.2546
96.7742,0.0000,-3.2963
96.7742,222.2222,-2.0768
96.7742,444.4444,-0.7501
96.7742,666.6667,-2.9633
96.7742,888.8889,-1.4376
96.7742,1111.1111,0.0086
96.7742,1333.3333,-2.5363
96.7742,1555.5556,-1.4585
96.7742,1777.7778,-0.6184
96.7742,2000.0000,-0.6184
145.1613,0.0000,-2.0114
145.1613,222.2222,-0.8359
145.1613,444.4444,0.4381
145.1613,666.6667,-1.8306
145.1613,888.8889,-0.3283
145.1613,1111.1111,1.0876
145.1613,1333.3333,-1.5828
145.1613,1555.5556,-0.4796
145.1613,1777.7778,0.3757
145.1613,2000.0000,0.3757
193.5484,0.0000,-1.3755
193.5484,222.2222,-0.3526
193.5484,444.4444,0.8554
193.5484,666.6667,-1.2710
193.5484,888.8889,0.0711
193.5484,1111.1111,1.4178
193.5484,1333.3333,-1.0305
193.5484,1555.5556,-0.0852
193.5484,1777.7778,0.7130
193.5484,2000.0000,0.7130
241.9355,0.0000,-1.7103
241.9355,222.2222,-0.6241
241.9355,444.4444,0.6806
241.9355,666.6667,-1.7486
241.9355,888.8889,-0.3441
241.9355,1111.1111,1.1092
241.9355,1333.3333,-1.5282
241.9355,1555.5556,-0.5280
241.9355,1777.7778,0.3787
241.9355,2000.0000,0.3787
290.3226,0.0000,-2.4387
290.3226,222.2222,-1.3122
290.3226,444.4444,0.0440
290.3226,666.6667,-2.7120
290.3226,888.8889,-1.2181
290.3226,1111.1111,0.3443
290.3226,1333.3333,-2.5529
290.3226,1555.5556,-1.4388
290.3226,1777.7778,-0.3915
290.3226,2000.0000,-0.3915
338.7097,0.0000,-3.1116
338.7097,222.2222,-1.9281
338.7097,444.4444,-0.4939
338.7097,666.6667,-3.6181
338.7097,888.8889,-1.9894
338.7097,1111.1111,-0.2759
338.7097,1333.3333,-3.4785
338.7097,1555.5556,-2.1933
338.7097,1777.7778,-0.9623
338.7097,2000.0000,-0.9623
387.0968,0.0000,-3.5869
387.0968,222.2222,-2.3458
387.0968,444.4444,-0.8316
387.0968,666.6667,-4.3347
387.0968,888.8889,-2.5554
387.0968,1111.1111,-0.6801
387.0968,1333.3333,-4.1881
387.0968,1555.5556,-2.7186
387.0968,1777.7778,-1.2972
387.0968,2000.0000,-1.2972
435.4839,0.0000,-3.6586
435.4839,222.2222,-2.4638
435.4839,444.4444,-0.9543
435.4839,666.6667,-4.6333
435.4839,888.8889,-2.7977
435.4839,1111.1111,-0.8478
435.4839,1333.3333,-4.4662
435.4839,1555.5556,-2.8960
435.4839,1777.7778,-1.3591
435.4839,2000.0000,-1.3591
483.8710,0.0000,-3.4201
483.8710,222.2222,-2.3452
483.8710,444.4444,-0.9350
483.8710,666.6667,-4.4917
483.8710,888.8889,-2.6954
483.8710,1111.1111,-0.7917
483.8710,1333.3333,-4.2907
483.8710,1555.5556,-2.7111
483.8710,1777.7778,-1.1601
483.8710,2000.0000,-1.1601
532.2581,0.0000,-2.5780
532.2581,222.2222,-1.5971
532.2581,444.4444,-0.3114
532.2581,666.6667,-3.6343
532.2581,888.8889,-2.0038
532.2581,1111.1111,-0.2576
532.2581,1333.3333,-3.5409
