y,x,val
0.0000,0.0000,-4.1734
0.0000,222.2222,-3.2870
0.0000,444.4444,-2.2436
0.0000,666.6667,-3.3371
0.0000,888.8889,-2.1914
0.0000,1111.1111,-1.0914
0.0000,1333.3333,-2.4665
0.0000,1555.5556,-1.7413
0.0000,1777.7778,-1.2865
0.0000,2000.0000,-1.2865
48.3871,0.0000,-4.0691
48.3871,222.2222,-2.9187
48.3871,444.4444,-1.6591
48.3871,666.6667,-3.3914
48.3871,888.8889,-1.9174
48.3871,1111.1111,-0.5288
48.3871,1333.3333,-2.6054
48.3871,1555.5556,-1.5356
48.3871,1777.7778,-0.7841
48.3871,2000.0000,-0.7841
96.7742,0.0000,-2.3913
96.7742,222.2222,-1.1644
96.7742,444.4444,0.2043
96.7742,666.6667,-1.9461
96.7742,888.8889,-0.3450
96.7742,1111.1111,1.1905
96.7742,1333.3333,-1.2530
96.7742,1555.5556,-0.0811
96.7742,1777.7778,0.8129
96.7742,2000.0000,0.8129
145.1613,0.0000,-1.2536
145.1613,222.2222,-0.0934
145.1613,444.4444,1.2182
145.1613,666.6667,-0.9737
145.1613,888.8889,0.6324
145.1613,1111.1111,2.1726
145.1613,1333.3333,-0.3637
145.1613,1555.5556,0.8603
145.1613,1777.7778,1.7882
145.1613,2000.0000,1.7882
193.5484,0.0000,-0.6503
193.5484,222.2222,0.3460
193.5484,444.4444,1.5896
193.5484,666.6667,-0.4527
193.5484,888.8889,1.0084
193.5484,1111.1111,2.4976
193.5484,1333.3333,0.2003
193.5484,1555.5556,1.2794
193.5484,1777.7778,2.1587
193.5484,2000.0000,2.1587
241.9355,0.0000,-0.8674
241.9355,222.2222,0.1919
241.9355,444.4444,1.5308
241.9355,666.6667,-0.8157
241.9355,888.8889,0.7063
241.9355,1111.1111,2.2999
241.9355,1333.3333,-0.1902
241.9355,1555.5556,0.9393
241.9355,1777.7778,1.9226
241.9355,2000.0000,1.9226
290.3226,0.0000,-1.3301
290.3226,222.2222,-0.2205
290.3226,444.4444,1.1686
290.3226,666.6667,-1.5159
290.3226,888.8889,0.0767
290.3226,1111.1111,1.7558
290.3226,1333.3333,-1.0194
290.3226,1555.5556,0.2002
290.3226,1777.7778,1.3055
290.3226,2000.0000,1.3055
338.7097,0.0000,-1.6286
338.7097,222.2222,-0.4414
338.7097,444.4444,1.0243
338.7097,666.6667,-2.0489
338.7097,888.8889,-0.3563
338.7097,1111.1111,1.4303
338.7097,1333.3333,-1.6963
338.7097,1555.5556,-0.3476
338.7097,1777.7778,0.9096
338.7097,2000.0000,0.9096
387.0968,0.0000,-1.6962
387.0968,222.2222,-0.4200
387.0968,444.4444,1.1250
387.0968,666.6667,-2.3551
387.0968,888.8889,-0.5595
387.0968,1111.1111,1.3301
387.0968,1333.3333,-2.1641
387.0968,1555.5556,-0.6882
387.0968,1777.7778,0.7166
387.0968,2000.0000,0.7166
435.4839,0.0000,-1.4386
435.4839,222.2222,-0.1676
435.4839,444.4444,1.3722
435.4839,666.6667,-2.3160
435.4839,888.8889,-0.5171
435.4839,1111.1111,1.3825
435.4839,1333.3333,-2.2905
435.4839,1555.5556,-0.7777
435.4839,1777.7778,0.6942
435.4839,2000.0000,0.6942
483.8710,0.0000,-1.0935
483.8710,222.2222,0.0956
483.8710,444.4444,1.5313
483.8710,666.6667,-2.0638
483.8710,888.8889,-0.3477
483.8710,1111.1111,1.4535
483.8710,1333.3333,-2.1557
483.8710,1555.5556,-0.6866
483.8710,1777.7778,0.7576
483.8710,2000.0000,0.7576
532.2581,0.0000,-0.5246
532.2581,222.2222,0.5334
532.2581,444.4444,1.8315
532.2581,666.6667,-1.5348
532.2581,888.8889,0.0108
532.2581,1111.1111,1.6464
532.2581,1333.3333,-1.7587
532.2581,1555.5556,-0.4124
532.2581,1777.7778,0.9543
532.2581,2000.0000,0.9543
580.6452,0.0000,0.2409
580.6452,222.2222,1.1047
580.6452,444.4444,2.1688
580.6452,666.6667,-0.6747
580.6452,888.8889,0.6121
580.6452,1111.1111,1.9659
580.6452,1333.3333,-0.9514
580.6452,1555.5556,0.1781
580.6452,1777.7778,1.3470
580.6452,2000.0000,1.3470
629.0323,0.0000,0.6644
629.0323,222.2222,1.3238
629.0323,444.4444,2.1653
629.0323,666.6667,-0.1640
629.0323,888.8889,0.8660
629.0323,1111.1111,1.9566
629.0323,1333.3333,-0.4581
629.0323,1555.5556,0.4660
629.0323,1777.7778,1.4527
629.0323,2000.0000,1.4527
677.4194,0.0000,0.7910
677.4194,222.2222,1.2922
677.4194,444.4444,1.9499
677.4194,666.6667,0.1228
677.4194,888.8889,0.9399
677.4194,1111.1111,1.8019
677.4194,1333.3333,-0.1247
677.4194,1555.5556,0.6244
677.4194,1777.7778,1.4425
677.4194,2000.0000,1.4425
725.8065,0.0000,0.7368
725.8065,222.2222,1.0960
725.8065,444.4444,1.5814
725.8065,666.6667,0.1373
725.8065,888.8889,0.7583
725.8065,1111.1111,1.4076
725.8065,1333.3333,-0.1275
725.8065,1555.5556,0.4588
725.8065,1777.7778,1.1170
725.8065,2000.0000,1.1170
774.1935,0.0000,0.4617
774.1935,222.2222,0.7136
774.1935,444.4444,1.0739
774.1935,666.6667,-0.0949
774.1935,888.8889,0.3603
774.1935,1111.1111,0.8417
774.1935,1333.3333,-0.4068
774.1935,1555.5556,0.0349
774.1935,1777.7778,0.5611
774.1935,2000.0000,0.5611
822.5806,0.0000,0.2250
822.5806,222.2222,0.4058
822.5806,444.4444,0.6746
822.5806,666.6667,-0.2887
822.5806,888.8889,0.0297
822.5806,1111.1111,0.3730
822.5806,1333.3333,-0.6501
822.5806,1555.5556,-0.3345
822.5806,1777.7778,0.0767
822.5806,2000.0000,0.0767
870.9677,0.0000,0.1598
870.9677,222.2222,0.3213
870.9677,444.4444,0.5422
870.9677,666.6667,-0.3110
870.9677,888.8889,-0.0703
870.9677,1111.1111,0.1865
870.9677,1333.3333,-0.7151
870.9677,1555.5556,-0.4675
870.9677,1777.7778,-0.1240
870.9677,2000.0000,-0.1240
919.3548,0.0000,0.1358
919.3548,222.2222,0.2847
919.3548,444.4444,0.4784
919.3548,666.6667,-0.2590
919.3548,888.8889,-0.0897
919.3548,1111.1111,0.1023
919.3548,1333.3333,-0.6756
919.3548,1555.5556,-0.4927
919.3548,1777.7778,-0.2049
919.3548,2000.0000,-0.2049
967.7419,0.0000,0.2579
967.7419,222.2222,0.4301
967.7419,444.4444,0.6134
967.7419,666.6667,-0.0547
967.7419,888.8889,0.0960
967.7419,1111.1111,0.2552
967.7419,1333.3333,-0.4620
967.7419,1555.5556,-0.2986
967.7419,1777.7778,-0.0470
967.7419,2000.0000,-0.0470
1016.1290,0.0000,0.2677
1016.1290,222.2222,0.4441
1016.1290,444.4444,0.6429
1016.1290,666.6667,0.0705
1016.1290,888.8889,0.2416
1016.1290,1111.1111,0.4119
1016.1290,1333.3333,-0.2218
1016.1290,1555.5556,-0.0641
1016.1290,1777.7778,0.1551
1016.1290,2000.0000,0.1551
1064.5161,0.0000,0.2656
1064.5161,222.2222,0.4218
1064.5161,444.4444,0.6159
1064.5161,666.6667,0.1826
1064.5161,888.8889,0.3648
1064.5161,1111.1111,0.5389
1064.5161,1333.3333,0.0367
1064.5161,1555.5556,0.1762
1064.5161,1777.7778,0.3495
1064.5161,2000.0000,0.3495
1112.9032,0.0000,0.2356
1112.9032,222.2222,0.3764
1112.9032,444.4444,0.5696
1112.9032,666.6667,0.2564
1112.9032,888.8889,0.4539
1112.9032,1111.1111,0.6364
1112.9032,1333.3333,0.2460
1112.9032,1555.5556,0.3736
1112.9032,1777.7778,0.5078
1112.9032,2000.0000,0.5078
1161.2903,0.0000,0.0777
1161.2903,222.2222,0.2208
1161.2903,444.4444,0.4258
1161.2903,666.6667,0.1987
1161.2903,888.8889,0.4246
1161.2903,1111.1111,0.6294
1161.2903,1333.3333,0.3218
1161.2903,1555.5556,0.4520
1161.2903,1777.7778,0.5658
1161.2903,2000.0000,0.5658
1209.6774,0.0000,-0.1268
1209.6774,222.2222,0.0181
1209.6774,444.4444,0.2335
1209.6774,666.6667,0.0872
1209.6774,888.8889,0.3341
1209.6774,1111.1111,0.5553
1209.6774,1333.3333,0.3227
1209.6774,1555.5556,0.4530
1209.6774,1777.7778,0.5475
1209.6774,2000.0000,0.5475
1258.0645,0.0000,-0.4346
1258.0645,222.2222,-0.2902
