y,val
0.0000,1511.7472
100.0000,1511.1662
200.0000,1509.6426
300.0000,1507.4809
400.0000,1505.0728
500.0000,1502.7501
600.0000,1500.6603
700.0000,1498.8332
800.0000,1497.2927
900.0000,1496.0567
1000.0000,1495.1353
1100.0000,1494.5313
1200.0000,1494.2388
1300.0000,1494.2427
1400.0000,1494.5328
1500.0000,1495.0917
1600.0000,1495.8926
1700.0000,1496.8993
1800.0000,1498.0642
1900.0000,1499.3640
2000.0000,1500.7655
2100.0000,1502.2249
2200.0000,1503.6870
2300.0000,1505.1402
2400.0000,1506.5621
2500.0000,1507.9193
2600.0000,1509.1675
2700.0000,1510.2506
2800.0000,1511.1822
2900.0000,1511.9655
3000.0000,1512.5938
3100.0000,1513.0499
3200.0000,1513.3065
3300.0000,1513.3978
3400.0000,1513.3483
3500.0000,1513.1739
3600.0000,1512.8815
3700.0000,1512.4694
3800.0000,1511.9681
3900.0000,1511.4006
4000.0000,1510.7825
4100.0000,1510.1221
4200.0000,1509.4545
4300.0000,1508.8094
4400.0000,1508.2120
4500.0000,1507.6879
4600.0000,1507.2589
4700.0000,1506.9405
4800.0000,1506.7433
4900.0000,1506.6723
5000.0000,1506.6723
