y,val
0.0000,1511.0423
100.0000,1510.8495
200.0000,1510.3123
300.0000,1509.4635
400.0000,1508.3553
500.0000,1507.0549
600.0000,1505.6367
700.0000,1504.1712
800.0000,1502.7189
900.0000,1501.3297
1000.0000,1500.0417
1100.0000,1498.8818
1200.0000,1497.8643
1300.0000,1496.9884
1400.0000,1496.3047
1500.0000,1495.8592
1600.0000,1495.6894
1700.0000,1495.8230
1800.0000,1496.2797
1900.0000,1497.0436
2000.0000,1498.0767
2100.0000,1499.3245
2200.0000,1500.7143
2300.0000,1502.2308
2400.0000,1503.8582
2500.0000,1505.5717
2600.0000,1507.3340
2700.0000,1509.0939
2800.0000,1510.8248
2900.0000,1512.4833
3000.0000,1514.0113
3100.0000,1515.3354
3200.0000,1516.3646
3300.0000,1517.0771
3400.0000,1517.4424
3500.0000,1517.4184
3600.0000,1516.9503
3700.0000,1515.9211
3800.0000,1514.4356
3900.0000,1512.6058
4000.0000,1510.5451
4100.0000,1508.3709
4200.0000,1506.2002
4300.0000,1504.1222
4400.0000,1502.2209
4500.0000,1500.5986
4600.0000,1499.3004
4700.0000,1498.3540
4800.0000,1497.7757
4900.0000,1497.5699
5000.0000,1497.5699
