y,val
0.0000,1498.8716
100.0000,1498.7254
200.0000,1498.3164
300.0000,1497.6587
400.0000,1496.7762
500.0000,1495.7019
600.0000,1494.4777
700.0000,1493.1545
800.0000,1491.7917
900.0000,1490.4573
1000.0000,1489.2276
1100.0000,1488.1880
1200.0000,1487.4170
1300.0000,1486.9719
1400.0000,1486.8942
1500.0000,1487.2059
1600.0000,1487.9087
1700.0000,1488.9837
1800.0000,1490.3908
1900.0000,1492.0840
2000.0000,1493.9965
2100.0000,1496.0391
2200.0000,1498.1180
2300.0000,1500.1535
2400.0000,1502.0909
2500.0000,1503.8904
2600.0000,1505.5273
2700.0000,1506.9909
2800.0000,1508.3037
2900.0000,1509.5059
3000.0000,1510.6561
3100.0000,1511.7182
3200.0000,1512.6793
3300.0000,1513.5293
3400.0000,1514.2804
3500.0000,1514.9680
3600.0000,1515.6506
3700.0000,1516.4110
3800.0000,1517.3320
3900.0000,1518.5218
4000.0000,1520.1169
4100.0000,1521.9959
4200.0000,1524.0080
4300.0000,1526.0214
4400.0000,1527.9223
4500.0000,1529.6157
4600.0000,1531.0217
4700.0000,1532.0772
4800.0000,1532.7369
4900.0000,1532.9735
5000.0000,1532.9735
