y,val
50.0000,1512.5094
150.0000,1511.6439
250.0000,1509.2715
350.0000,1505.6023
450.0000,1500.9841
550.0000,1495.8965
650.0000,1490.9465
750.0000,1486.6953
850.0000,1483.4965
950.0000,1481.5086
1050.0000,1480.7020
1150.0000,1480.8599
1250.0000,1481.7014
1350.0000,1483.0033
1450.0000,1484.5943
1550.0000,1486.3541
1650.0000,1488.2126
1750.0000,1490.1273
1850.0000,1492.0606
1950.0000,1493.9818
2050.0000,1495.8650
2150.0000,1497.6894
2250.0000,1499.4375
2350.0000,1501.0942
2450.0000,1502.6620
2550.0000,1504.1442
2650.0000,1505.5406
2750.0000,1506.8428
2850.0000,1508.0746
2950.0000,1509.2515
3050.0000,1510.3812
3150.0000,1511.4643
3250.0000,1512.4955
3350.0000,1513.4845
3450.0000,1514.4351
3550.0000,1515.3446
3650.0000,1516.2262
3750.0000,1517.1105
3850.0000,1518.0633
3950.0000,1519.1716
4050.0000,1520.5444
4150.0000,1522.2252
4250.0000,1524.1499
4350.0000,1526.1848
4450.0000,1528.1240
4550.0000,1529.6871
4650.0000,1530.8920
4750.0000,1531.7500
4850.0000,1532.2683
4950.0000,1532.4507
