y,val
50.0000,1499.6792
150.0000,1499.5098
250.0000,1499.0368
350.0000,1498.2815
450.0000,1497.2700
550.0000,1496.0358
650.0000,1494.6189
750.0000,1493.0882
850.0000,1491.5210
950.0000,1489.9944
1050.0000,1488.5940
1150.0000,1487.4148
1250.0000,1486.5471
1350.0000,1486.0494
1450.0000,1485.9649
1550.0000,1486.3192
1650.0000,1487.1211
1750.0000,1488.3305
1850.0000,1489.8991
1950.0000,1491.7647
2050.0000,1493.8429
2150.0000,1496.0264
2250.0000,1498.2200
2350.0000,1500.3381
2450.0000,1502.3180
2550.0000,1504.1080
2650.0000,1505.6950
2750.0000,1507.0801
2850.0000,1508.2883
2950.0000,1509.3598
3050.0000,1510.3503
3150.0000,1511.3173
3250.0000,1512.2961
3350.0000,1513.3279
3450.0000,1514.4418
3550.0000,1515.6556
3650.0000,1516.9609
3750.0000,1518.3359
3850.0000,1519.7659
3950.0000,1521.2226
4050.0000,1522.6646
4150.0000,1524.0443
4250.0000,1525.3327
4350.0000,1526.5026
4450.0000,1527.5292
4550.0000,1528.3914
4650.0000,1529.0777
4750.0000,1529.5780
4850.0000,1529.8850
4950.0000,1529.9937
