y,val
50.0000,1500.2742
150.0000,1500.0746
250.0000,1499.5155
350.0000,1498.6185
450.0000,1497.4182
550.0000,1495.9626
650.0000,1494.3123
750.0000,1492.5410
850.0000,1490.7344
950.0000,1488.9904
1050.0000,1487.4191
1150.0000,1486.1432
1250.0000,1485.2724
1350.0000,1484.8768
1450.0000,1485.0075
1550.0000,1485.6815
1650.0000,1486.8806
1750.0000,1488.5501
1850.0000,1490.5965
1950.0000,1492.9469
2050.0000,1495.4936
2150.0000,1498.0918
2250.0000,1500.5884
2350.0000,1502.8814
2450.0000,1504.9041
2550.0000,1506.6147
2650.0000,1507.9979
2750.0000,1509.0668
2850.0000,1509.8963
2950.0000,1510.5446
3050.0000,1511.1023
3150.0000,1511.6258
3250.0000,1512.1919
3350.0000,1512.7898
3450.0000,1513.4250
3550.0000,1514.1186
3650.0000,1514.9075
3750.0000,1515.8424
3850.0000,1516.9504
3950.0000,1518.2813
4050.0000,1519.9046
4150.0000,1521.7393
4250.0000,1523.6622
4350.0000,1525.5577
4450.0000,1527.3188
4550.0000,1528.8427
4650.0000,1530.0823
4750.0000,1530.9995
4850.0000,1531.5670
4950.0000,1531.7701
