y,val
0.0000,1481.7135
48.3871,1481.8054
96.7742,1482.0484
145.1613,1482.4264
193.5484,1482.9241
241.9355,1483.5270
290.3226,1484.2208
338.7097,1484.9923
387.0968,1485.8285
435.4839,1486.7169
483.8710,1487.6457
532.2581,1488.6035
580.6452,1489.5795
629.0323,1490.5632
677.4194,1491.5449
725.8065,1492.5152
774.1935,1493.4653
822.5806,1494.3870
870.9677,1495.2723
919.3548,1496.1142
967.7419,1496.9060
1016.1290,1497.6414
1064.5161,1498.3149
1112.9032,1498.9216
1161.2903,1499.4570
1209.6774,1499.9171
1258.0645,1500.2988
1306.4516,1500.5994
1354.8387,1500.8167
1403.2258,1500.9492
1451.6129,1500.9962
1500.0000,1500.9962
