y,val
0.0000,1518.0991
48.3871,1517.5874
96.7742,1516.2822
145.1613,1514.3276
193.5484,1511.8721
241.9355,1509.0442
290.3226,1505.9722
338.7097,1502.7838
387.0968,1499.5806
435.4839,1496.4600
483.8710,1493.5152
532.2581,1490.8098
580.6452,1488.4008
629.0323,1486.3386
677.4194,1484.6427
725.8065,1483.3239
774.1935,1482.3846
822.5806,1481.7954
870.9677,1481.5163
919.3548,1481.4965
967.7419,1481.6284
1016.1290,1481.7881
1064.5161,1481.8334
1112.9032,1481.9246
1161.2903,1482.2379
1209.6774,1482.9698
1258.0645,1483.9128
1306.4516,1484.8407
1354.8387,1485.5045
1403.2258,1485.9069
1451.6129,1486.0492
1500.0000,1486.0492
