y,val
0.0000,1518.7371
48.3871,1518.1880
96.7742,1516.8241
145.1613,1514.8127
193.5484,1512.3079
241.9355,1509.4509
290.3226,1506.3697
338.7097,1503.1792
387.0968,1499.9815
435.4839,1496.8659
483.8710,1493.9094
532.2581,1491.1767
580.6452,1488.7200
629.0323,1486.5787
677.4194,1484.7793
725.8065,1483.3361
774.1935,1482.2508
822.5806,1481.5136
870.9677,1481.1026
919.3548,1480.9839
967.7419,1481.1122
1016.1290,1481.4314
1064.5161,1481.8823
1112.9032,1482.4106
1161.2903,1482.9680
1209.6774,1483.5124
1258.0645,1484.0078
1306.4516,1484.4248
1354.8387,1484.7404
1403.2258,1484.9384
1451.6129,1485.0094
1500.0000,1485.0094
