y,val
24.1935,1481.7135
72.5806,1481.8054
120.9677,1482.0484
169.3548,1482.4264
217.7419,1482.9241
266.1290,1483.5270
314.5161,1484.2208
362.9032,1484.9923
411.2903,1485.8285
459.6774,1486.7169
508.0645,1487.6457
556.4516,1488.6035
604.8387,1489.5795
653.2258,1490.5632
701.6129,1491.5449
750.0000,1492.5152
798.3871,1493.4653
846.7742,1494.3870
895.1613,1495.2723
943.5484,1496.1142
991.9355,1496.9060
1040.3226,1497.6414
1088.7097,1498.3149
1137.0968,1498.9216
1185.4839,1499.4570
1233.8710,1499.9171
1282.2581,1500.2988
1330.6452,1500.5994
1379.0323,1500.8167
1427.4194,1500.9492
1475.8065,1500.9962
