y,val
24.1935,1520.0563
72.5806,1519.3576
120.9677,1517.7122
169.3548,1515.4320
217.7419,1512.8134
266.1290,1509.9412
314.5161,1506.8806
362.9032,1503.6776
411.2903,1500.4014
459.6774,1497.1208
508.0645,1493.9049
556.4516,1490.8801
604.8387,1488.1745
653.2258,1485.9183
701.6129,1484.1210
750.0000,1482.7853
798.3871,1481.9059
846.7742,1481.3991
895.1613,1481.1774
943.5484,1481.1484
991.9355,1481.2816
1040.3226,1481.5445
1088.7097,1481.9022
1137.0968,1482.3532
1185.4839,1482.8905
1233.8710,1483.5020
1282.2581,1484.1256
1330.6452,1484.6954
1379.0323,1485.1418
1427.4194,1485.4281
1475.8065,1485.5318
