y,val
24.1935,1519.1322
72.5806,1518.5759
120.9677,1517.1801
169.3548,1515.1170
217.7419,1512.5485
266.1290,1509.6235
314.5161,1506.4770
362.9032,1503.2289
411.2903,1499.9846
459.6774,1496.8342
508.0645,1493.8533
556.4516,1491.1036
604.8387,1488.6332
653.2258,1486.4773
701.6129,1484.6588
750.0000,1483.1895
798.3871,1482.0699
846.7742,1481.2905
895.1613,1480.8330
943.5484,1480.6698
991.9355,1480.7661
1040.3226,1481.0811
1088.7097,1481.5678
1137.0968,1482.1752
1185.4839,1482.8514
1233.8710,1483.5422
1282.2581,1484.1954
1330.6452,1484.7639
1379.0323,1485.2053
1427.4194,1485.4866
1475.8065,1485.5886
