y,val
24.1935,1514.9273
72.5806,1514.6162
120.9677,1513.7354
169.3548,1512.3080
217.7419,1510.3788
266.1290,1508.0147
314.5161,1505.3030
362.9032,1502.3514
411.2903,1499.2875
459.6774,1496.2578
508.0645,1493.4287
556.4516,1490.9874
604.8387,1488.9328
653.2258,1487.2572
701.6129,1485.9448
750.0000,1484.9707
798.3871,1484.3010
846.7742,1483.8921
895.1613,1483.6906
943.5484,1483.6328
991.9355,1483.6442
1040.3226,1483.6389
1088.7097,1483.6231
1137.0968,1483.6011
1185.4839,1483.5763
1233.8710,1483.5513
1282.2581,1483.5280
1330.6452,1483.5082
1379.0323,1483.4930
1427.4194,1483.4834
1475.8065,1483.4800
