y,x,val
0.0000,0.0000,-28.5871
0.0000,222.2222,-28.0880
0.0000,444.4444,-27.5898
0.0000,666.6667,-29.3192
0.0000,888.8889,-28.8027
0.0000,1111.1111,-28.2676
0.0000,1333.3333,-30.0818
0.0000,1555.5556,-29.5639
0.0000,1777.7778,-29.0206
0.0000,2000.0000,-29.0206
48.3871,0.0000,-27.9371
48.3871,222.2222,-27.1825
48.3871,444.4444,-26.4846
48.3871,666.6667,-28.8772
48.3871,888.8889,-28.0690
48.3871,1111.1111,-27.2821
48.3871,1333.3333,-29.8235
48.3871,1555.5556,-28.9799
48.3871,1777.7778,-28.1326
48.3871,2000.0000,-28.1326
96.7742,0.0000,-25.0306
96.7742,222.2222,-24.1790
96.7742,444.4444,-23.3699
96.7742,666.6667,-26.1924
96.7742,888.8889,-25.2842
96.7742,1111.1111,-24.3810
96.7742,1333.3333,-27.3139
96.7742,1555.5556,-26.3936
96.7742,1777.7778,-25.4315
96.7742,2000.0000,-25.4315
145.1613,0.0000,-22.0735
145.1613,222.2222,-21.2569
145.1613,444.4444,-20.4913
145.1613,666.6667,-23.3570
145.1613,888.8889,-22.4589
145.1613,1111.1111,-21.5730
145.1613,1333.3333,-24.6228
145.1613,1555.5556,-23.6793
145.1613,1777.7778,-22.7201
145.1613,2000.0000,-22.7201
193.5484,0.0000,-19.1635
193.5484,222.2222,-18.4741
193.5484,444.4444,-17.7551
193.5484,666.6667,-20.4636
193.5484,888.8889,-19.7152
193.5484,1111.1111,-18.8940
193.5484,1333.3333,-21.7251
193.5484,1555.5556,-20.9551
193.5484,1777.7778,-20.0833
193.5484,2000.0000,-20.0833
241.9355,0.0000,-16.6953
241.9355,222.2222,-15.9028
241.9355,444.4444,-15.0609
241.9355,666.6667,-18.0579
241.9355,888.8889,-17.2440
241.9355,1111.1111,-16.3236
241.9355,1333.3333,-19.3620
241.9355,1555.5556,-18.5670
241.9355,1777.7778,-17.6292
241.9355,2000.0000,-17.6292
290.3226,0.0000,-14.2043
290.3226,222.2222,-13.3188
290.3226,444.4444,-12.3938
290.3226,666.6667,-15.7057
290.3226,888.8889,-14.8079
290.3226,1111.1111,-13.7984
290.3226,1333.3333,-17.1291
290.3226,1555.5556,-16.2639
290.3226,1777.7778,-15.2396
290.3226,2000.0000,-15.2396
338.7097,0.0000,-11.3922
338.7097,222.2222,-10.3841
338.7097,444.4444,-9.3443
338.7097,666.6667,-13.0144
338.7097,888.8889,-11.9945
338.7097,1111.1111,-10.8645
338.7097,1333.3333,-14.5448
338.7097,1555.5556,-13.5632
338.7097,1777.7778,-12.4190
338.7097,2000.0000,-12.4190
387.0968,0.0000,-8.3044
387.0968,222.2222,-7.1598
387.0968,444.4444,-5.9974
387.0968,666.6667,-10.0364
387.0968,888.8889,-8.8819
387.0968,1111.1111,-7.6253
387.0968,1333.3333,-11.6605
387.0968,1555.5556,-10.5547
387.0968,1777.7778,-9.2889
387.0968,2000.0000,-9.2889
435.4839,0.0000,-4.9589
435.4839,222.2222,-3.7699
435.4839,444.4444,-2.5641
435.4839,666.6667,-6.7649
435.4839,888.8889,-5.5644
435.4839,1111.1111,-4.2613
435.4839,1333.3333,-8.4489
435.4839,1555.5556,-7.2966
435.4839,1777.7778,-5.9814
435.4839,2000.0000,-5.9814
483.8710,0.0000,-1.7050
483.8710,222.2222,-0.5488
483.8710,444.4444,0.6059
483.8710,666.6667,-3.4451
483.8710,888.8889,-2.2701
483.8710,1111.1111,-1.0116
483.8710,1333.3333,-5.0914
483.8710,1555.5556,-3.9577
483.8710,1777.7778,-2.6768
483.8710,2000.0000,-2.6768
532.2581,0.0000,1.4884
532.2581,222.2222,2.5460
532.2581,444.4444,3.6194
532.2581,666.6667,-0.1302
532.2581,888.8889,0.9549
532.2581,1111.1111,2.1284
532.2581,1333.3333,-1.6778
532.2581,1555.5556,-0.6230
532.2581,1777.7778,0.5770
532.2581,2000.0000,0.5770
580.6452,0.0000,4.5570
580.6452,222.2222,5.4490
580.6452,444.4444,6.3434
580.6452,666.6667,3.1918
580.6452,888.8889,4.1048
580.6452,1111.1111,5.0839
580.6452,1333.3333,1.8410
580.6452,1555.5556,2.7267
580.6452,1777.7778,3.7314
580.6452,2000.0000,3.7314
629.0323,0.0000,6.9339
629.0323,222.2222,7.6464
629.0323,444.4444,8.3689
629.0323,666.6667,5.8029
629.0323,888.8889,6.5425
629.0323,1111.1111,7.3428
629.0323,1333.3333,4.6751
629.0323,1555.5556,5.4023
629.0323,1777.7778,6.2329
629.0323,2000.0000,6.2329
677.4194,0.0000,8.6444
677.4194,222.2222,9.2180
677.4194,444.4444,9.8012
677.4194,666.6667,7.8020
677.4194,888.8889,8.4048
677.4194,1111.1111,9.0539
677.4194,1333.3333,6.9411
677.4194,1555.5556,7.5382
677.4194,1777.7778,8.2130
677.4194,2000.0000,8.2130
725.8065,0.0000,9.7967
725.8065,222.2222,10.2407
725.8065,444.4444,10.6885
725.8065,666.6667,9.1287
725.8065,888.8889,9.6032
725.8065,1111.1111,10.1088
725.8065,1333.3333,8.4481
725.8065,1555.5556,8.9247
725.8065,1777.7778,9.4568
725.8065,2000.0000,9.4568
774.1935,0.0000,10.3573
774.1935,222.2222,10.6986
774.1935,444.4444,11.0502
774.1935,666.6667,9.8136
774.1935,888.8889,10.1815
774.1935,1111.1111,10.5807
774.1935,1333.3333,9.2611
774.1935,1555.5556,9.6331
774.1935,1777.7778,10.0538
774.1935,2000.0000,10.0538
822.5806,0.0000,10.6095
822.5806,222.2222,10.8755
822.5806,444.4444,11.1559
822.5806,666.6667,10.1645
822.5806,888.8889,10.4469
822.5806,1111.1111,10.7617
822.5806,1333.3333,9.7158
822.5806,1555.5556,9.9986
822.5806,1777.7778,10.3274
822.5806,2000.0000,10.3274
870.9677,0.0000,10.7300
870.9677,222.2222,10.9628
870.9677,444.4444,11.2069
870.9677,666.6667,10.3568
870.9677,888.8889,10.6038
870.9677,1111.1111,10.8772
870.9677,1333.3333,9.9934
870.9677,1555.5556,10.2406
870.9677,1777.7778,10.5253
870.9677,2000.0000,10.5253
919.3548,0.0000,10.6544
919.3548,222.2222,10.8504
919.3548,444.4444,11.0693
919.3548,666.6667,10.3558
919.3548,888.8889,10.5621
919.3548,1111.1111,10.8037
919.3548,1333.3333,10.0734
919.3548,1555.5556,10.2801
919.3548,1777.7778,10.5307
919.3548,2000.0000,10.5307
967.7419,0.0000,10.5776
967.7419,222.2222,10.7655
967.7419,444.4444,10.9654
967.7419,666.6667,10.3254
967.7419,888.8889,10.5238
967.7419,1111.1111,10.7455
967.7419,1333.3333,10.0882
967.7419,1555.5556,10.2873
967.7419,1777.7778,10.5178
967.7419,2000.0000,10.5178
1016.1290,0.0000,10.3500
1016.1290,222.2222,10.5312
1016.1290,444.4444,10.7218
1016.1290,666.6667,10.1476
1016.1290,888.8889,10.3370
1016.1290,1111.1111,10.5450
1016.1290,1333.3333,9.9544
1016.1290,1555.5556,10.1427
1016.1290,1777.7778,10.3560
1016.1290,2000.0000,10.3560
1064.5161,0.0000,10.0743
1064.5161,222.2222,10.2225
1064.5161,444.4444,10.3785
1064.5161,666.6667,9.9026
1064.5161,888.8889,10.0591
1064.5161,1111.1111,10.2310
1064.5161,1333.3333,9.7424
1064.5161,1555.5556,9.8993
1064.5161,1777.7778,10.0770
1064.5161,2000.0000,10.0770
1112.9032,0.0000,9.7419
1112.9032,222.2222,9.8596
1112.9032,444.4444,9.9839
1112.9032,666.6667,9.5865
1112.9032,888.8889,9.7125
1112.9032,1111.1111,9.8502
1112.9032,1333.3333,9.4411
1112.9032,1555.5556,9.5702
1112.9032,1777.7778,9.7147
1112.9032,2000.0000,9.7147
1161.2903,0.0000,9.2669
1161.2903,222.2222,9.3715
1161.2903,444.4444,9.4793
1161.2903,666.6667,9.1303
1161.2903,888.8889,9.2432
1161.2903,1111.1111,9.3643
1161.2903,1333.3333,9.0079
1161.2903,1555.5556,9.1241
1161.2903,1777.7778,9.2516
1161.2903,2000.0000,9.2516
1209.6774,0.0000,8.7484
1209.6774,222.2222,8.8408
1209.6774,444.4444,8.9351
1209.6774,666.6667,8.6356
1209.6774,888.8889,8.7351
1209.6774,1111.1111,8.8402
1209.6774,1333.3333,8.5333
1209.6774,1555.5556,8.6361
1209.6774,1777.7778,8.7463
1209.6774,2000.0000,8.7463
1258.0645,0.0000,8.1479
1258.0645,222.2222,8.2283
1258.0645,444.4444,8.3072
1258.0645,666.6667,8.0530
1258.0645,888.8889,8.1391
1258.0645,1111.1111,8.2266
1258.0645,1333.3333,7.9675
1258.0645,1555.5556,8.0561
1258.0645,1777.7778,8.1477
1258.0645,2000.0000,8.1477
1306.4516,0.0000,7.4794
1306.4516,222.2222,7.5472
1306.4516,444.4444,7.6133
1306.4516,666.6667,7.4007
1306.4516,888.8889,7.4751
1306.4516,1111.1111,7.5496
1306.4516,1333.3333,7.3252
1306.4516,1555.5556,7.4038
1306.4516,1777.7778,7.4836
1306.4516,2000.0000,7.4836
1354.8387,0.0000,6.7639
1354.8387,222.2222,6.8235
1354.8387,444.4444,6.8770
1354.8387,666.6667,6.6888
1354.8387,888.8889,6.7561
1354.8387,1111.1111,6.8183
1354.8387,1333.3333,6.6188
1354.8387,1555.5556,6.6919
1354.8387,1777.7778,6.7605
1354.8387,2000.0000,6.7605
1403.2258,0.0000,6.0075
1403.2258,222.2222,6.0623
1403.2258,444.4444,6.1073
1403.2258,666.6667,5.9412
1403.2258,888.8889,6.0039
1403.2258,1111.1111,6.0569
1403.2258,1333.3333,5.8763
1403.2258,1555.5556,5.9453
1403.2258,1777.7778,6.0042
1403.2258,2000.0000,6.0042
1451.6129,0.0000,5.1464
1451.6129,222.2222,5.1995
1451.6129,444.4444,5.2413
1451.6129,666.6667,5.0796
1451.6129,888.8889,5.1424
1451.6129,1111.1111,5.1932
1451.6129,1333.3333,5.0164
1451.6129,1555.5556,5.0871
1451.6129,1777.7778,5.1452
1451.6129,2000.0000,5.1452
1500.0000,0.0000,5.1464
1500.0000,222.2222,5.1995
1500.0000,444.4444,5.2413
1500.0000,666.6667,5.0796
1500.0000,888.8889,5.1424
1500.0000,1111.1111,5.1932
1500.0000,1333.3333,5.0164
1500.0000,1555.5556,5.0871
1500.0000,1777.7778,5.1452
1500.0000,2000.0000,5.1452
