y,x,val
0.0000,0.0000,1532.6044
0.0000,222.2222,1532.9330
0.0000,444.4444,1533.3951
0.0000,666.6667,1533.9391
0.0000,888.8889,1534.4933
0.0000,1111.1111,1534.9876
0.0000,1333.3333,1535.3482
0.0000,1555.5556,1535.4947
0.0000,1777.7778,1535.3949
0.0000,2000.0000,1535.3949
48.3871,0.0000,1532.2205
48.3871,222.2222,1533.0373
48.3871,444.4444,1533.8883
48.3871,666.6667,1534.6943
48.3871,888.8889,1535.3572
48.3871,1111.1111,1535.7907
48.3871,1333.3333,1535.9250
48.3871,1555.5556,1535.7062
48.3871,1777.7778,1535.1185
48.3871,2000.0000,1535.1185
96.7742,0.0000,1530.0872
96.7742,222.2222,1531.5167
96.7742,444.4444,1532.9082
96.7742,666.6667,1534.0923
96.7742,888.8889,1534.9025
96.7742,1111.1111,1535.2224
96.7742,1333.3333,1535.0021
96.7742,1555.5556,1534.2569
96.7742,1777.7778,1533.0608
96.7742,2000.0000,1533.0608
145.1613,0.0000,1524.7912
145.1613,222.2222,1526.7473
145.1613,444.4444,1528.6201
145.1613,666.6667,1530.1504
145.1613,888.8889,1531.0957
145.1613,1111.1111,1531.3080
145.1613,1333.3333,1530.7606
145.1613,1555.5556,1529.5407
145.1613,1777.7778,1527.8147
145.1613,2000.0000,1527.8147
193.5484,0.0000,1515.1869
193.5484,222.2222,1517.4827
193.5484,444.4444,1519.6713
193.5484,666.6667,1521.4343
193.5484,888.8889,1522.4708
193.5484,1111.1111,1522.6097
193.5484,1333.3333,1521.8414
193.5484,1555.5556,1520.3021
193.5484,1777.7778,1518.2216
193.5484,2000.0000,1518.2216
241.9355,0.0000,1500.6100
241.9355,222.2222,1502.9571
241.9355,444.4444,1505.1877
241.9355,666.6667,1506.9831
241.9355,888.8889,1508.0276
241.9355,1111.1111,1508.1482
241.9355,1333.3333,1507.3396
241.9355,1555.5556,1505.7400
241.9355,1777.7778,1503.5849
241.9355,2000.0000,1503.5849
290.3226,0.0000,1481.0547
290.3226,222.2222,1482.9642
290.3226,444.4444,1484.7660
290.3226,666.6667,1486.2323
290.3226,888.8889,1487.1308
290.3226,1111.1111,1487.3205
290.3226,1333.3333,1486.7747
290.3226,1555.5556,1485.5726
290.3226,1777.7778,1483.8592
290.3226,2000.0000,1483.8592
338.7097,0.0000,1457.6701
338.7097,222.2222,1458.7057
338.7097,444.4444,1459.7066
338.7097,666.6667,1460.5866
338.7097,888.8889,1461.2396
338.7097,1111.1111,1461.5769
338.7097,1333.3333,1461.5366
338.7097,1555.5556,1461.0912
338.7097,1777.7778,1460.2481
338.7097,2000.0000,1460.2481
387.0968,0.0000,1432.6240
387.0968,222.2222,1432.4493
387.0968,444.4444,1432.3765
387.0968,666.6667,1432.4933
387.0968,888.8889,1432.8396
387.0968,1111.1111,1433.3868
387.0968,1333.3333,1434.0288
387.0968,1555.5556,1434.6065
387.0968,1777.7778,1434.9604
387.0968,2000.0000,1434.9604
435.4839,0.0000,1408.7663
435.4839,222.2222,1407.2126
435.4839,444.4444,1405.9587
435.4839,666.6667,1405.2600
435.4839,888.8889,1405.2874
435.4839,1111.1111,1406.0646
435.4839,1333.3333,1407.4467
435.4839,1555.5556,1409.1524
435.4839,1777.7778,1410.8642
435.4839,2000.0000,1410.8642
483.8710,0.0000,1389.2410
483.8710,222.2222,1386.5105
483.8710,444.4444,1384.3325
483.8710,666.6667,1383.0248
483.8710,888.8889,1382.8124
483.8710,1111.1111,1383.7444
483.8710,1333.3333,1385.6637
483.8710,1555.5556,1388.2393
483.8710,1777.7778,1391.1029
483.8710,2000.0000,1391.1029
532.2581,0.0000,1376.9130
532.2581,222.2222,1374.2863
532.2581,444.4444,1372.3017
532.2581,666.6667,1371.1392
532.2581,888.8889,1370.9485
532.2581,1111.1111,1371.7587
532.2581,1333.3333,1373.4482
532.2581,1555.5556,1375.7814
532.2581,1777.7778,1378.5312
532.2581,2000.0000,1378.5312
580.6452,0.0000,1371.5033
580.6452,222.2222,1369.2912
580.6452,444.4444,1367.7839
580.6452,666.6667,1366.9733
580.6452,888.8889,1366.8818
580.6452,1111.1111,1367.4996
580.6452,1333.3333,1368.7595
580.6452,1555.5556,1370.5686
580.6452,1777.7778,1372.8921
580.6452,2000.0000,1372.8921
629.0323,0.0000,1372.2029
629.0323,222.2222,1370.4436
629.0323,444.4444,1369.4186
629.0323,666.6667,1368.9613
629.0323,888.8889,1368.9742
629.0323,1111.1111,1369.4078
629.0323,1333.3333,1370.2476
629.0323,1555.5556,1371.5322
629.0323,1777.7778,1373.3896
629.0323,2000.0000,1373.3896
677.4194,0.0000,1378.1486
677.4194,222.2222,1376.8094
677.4194,444.4444,1376.2013
677.4194,666.6667,1376.0433
677.4194,888.8889,1376.1446
677.4194,1111.1111,1376.4240
677.4194,1333.3333,1376.9091
677.4194,1555.5556,1377.7401
677.4194,1777.7778,1379.1641
677.4194,2000.0000,1379.1641
725.8065,0.0000,1388.5434
725.8065,222.2222,1387.5816
725.8065,444.4444,1387.3235
725.8065,666.6667,1387.4093
725.8065,888.8889,1387.5818
725.8065,1111.1111,1387.7369
725.8065,1333.3333,1387.9332
725.8065,1555.5556,1388.3835
725.8065,1777.7778,1389.4179
725.8065,2000.0000,1389.4179
774.1935,0.0000,1402.6681
774.1935,222.2222,1402.0476
774.1935,444.4444,1402.0883
774.1935,666.6667,1402.3758
774.1935,888.8889,1402.6068
774.1935,1111.1111,1402.6612
774.1935,1333.3333,1402.6197
774.1935,1555.5556,1402.7463
774.1935,1777.7778,1403.4287
774.1935,2000.0000,1403.4287
822.5806,0.0000,1419.8619
822.5806,222.2222,1419.5562
822.5806,444.4444,1419.8604
822.5806,666.6667,1420.3214
822.5806,888.8889,1420.6029
822.5806,1111.1111,1420.5737
822.5806,1333.3333,1420.3304
822.5806,1555.5556,1420.1734
822.5806,1777.7778,1420.5320
822.5806,2000.0000,1420.5320
870.9677,0.0000,1439.4985
870.9677,222.2222,1439.4885
870.9677,444.4444,1440.0333
870.9677,666.6667,1440.6499
870.9677,888.8889,1440.9775
870.9677,1111.1111,1440.8766
870.9677,1333.3333,1440.4556
870.9677,1555.5556,1440.0423
870.9677,1777.7778,1440.0977
870.9677,2000.0000,1440.0977
919.3548,0.0000,1460.9652
919.3548,222.2222,1461.2369
919.3548,444.4444,1462.0071
919.3548,666.6667,1462.7681
919.3548,888.8889,1463.1395
919.3548,1111.1111,1462.9752
919.3548,1333.3333,1462.3928
919.3548,1555.5556,1461.7420
919.3548,1777.7778,1461.5096
919.3548,2000.0000,1461.5096
967.7419,0.0000,1483.6479
967.7419,222.2222,1484.1898
967.7419,444.4444,1485.1742
967.7419,666.6667,1486.0721
967.7419,888.8889,1486.4861
967.7419,1111.1111,1486.2645
967.7419,1333.3333,1485.5324
967.7419,1555.5556,1484.6579
967.7419,1777.7778,1484.1506
967.7419,2000.0000,1484.1506
1016.1290,0.0000,1506.9228
1016.1290,222.2222,1507.7234
1016.1290,444.4444,1508.9123
1016.1290,666.6667,1509.9409
1016.1290,888.8889,1510.3965
1016.1290,1111.1111,1510.1223
1016.1290,1333.3333,1509.2500
1016.1290,1555.5556,1508.1639
1016.1290,1777.7778,1507.3939
1016.1290,2000.0000,1507.3939
1064.5161,0.0000,1530.1540
1064.5161,222.2222,1531.2005
1064.5161,444.4444,1532.5833
1064.5161,666.6667,1533.7356
1064.5161,888.8889,1534.2314
1064.5161,1111.1111,1533.9090
1064.5161,1333.3333,1532.9058
1064.5161,1555.5556,1531.6205
1064.5161,1777.7778,1530.6015
1064.5161,2000.0000,1530.6015
1112.9032,0.0000,1552.6984
1112.9032,222.2222,1553.9748
1112.9032,444.4444,1555.5380
1112.9032,666.6667,1556.8053
1112.9032,888.8889,1557.3388
1112.9032,1111.1111,1556.9726
1112.9032,1333.3333,1555.8491
1112.9032,1555.5556,1554.3793
1112.9032,1777.7778,1553.1279
1112.9032,2000.0000,1553.1279
1161.2903,0.0000,1573.9161
1161.2903,222.2222,1575.4018
1161.2903,444.4444,1577.1274
1161.2903,666.6667,1578.4976
1161.2903,888.8889,1579.0648
1161.2903,1111.1111,1578.6602
1161.2903,1333.3333,1577.4299
1161.2903,1555.5556,1575.7944
1161.2903,1777.7778,1574.3316
1161.2903,2000.0000,1574.3316
1209.6774,0.0000,1593.1872
1209.6774,222.2222,1594.8555
1209.6774,444.4444,1596.7192
1209.6774,666.6667,1598.1750
1209.6774,888.8889,1598.7699
1209.6774,1111.1111,1598.3337
1209.6774,1333.3333,1597.0144
1209.6774,1555.5556,1595.2382
1209.6774,1777.7778,1593.5909
1209.6774,2000.0000,1593.5909
1258.0645,0.0000,1609.9329
1258.0645,222.2222,1611.7496
1258.0645,444.4444,1613.7180
1258.0645,666.6667,1615.2351
1258.0645,888.8889,1615.8490
1258.0645,1111.1111,1615.3901
1258.0645,1333.3333,1614.0062
1258.0645,1555.5556,1612.1228
1258.0645,1777.7778,1610.3258
1258.0645,2000.0000,1610.3258
1306.4516,0.0000,1623.6411
1306.4516,222.2222,1625.5611
1306.4516,444.4444,1627.5886
1306.4516,666.6667,1629.1336
1306.4516,888.8889,1629.7541
1306.4516,1111.1111,1629.2844
1306.4516,1333.3333,1627.8691
1306.4516,1555.5556,1625.9244
1306.4516,1777.7778,1624.0228
1306.4516,2000.0000,1624.0228
1354.8387,0.0000,1633.8937
1354.8387,222.2222,1635.8558
1354.8387,444.4444,1637.8793
1354.8387,666.6667,1639.4071
1354.8387,888.8889,1640.0178
1354.8387,1111.1111,1639.5528
1354.8387,1333.3333,1638.1506
1354.8387,1555.5556,1636.2072
