y,x,val
0.0000,0.0000,1422.0234
0.0000,222.2222,1438.4395
0.0000,444.4444,1483.4316
0.0000,666.6667,1532.5685
0.0000,888.8889,1548.3151
0.0000,1111.1111,1535.6702
0.0000,1333.3333,1534.8619
0.0000,1555.5556,1564.2874
0.0000,1777.7778,1600.8217
0.0000,2000.0000,1600.8217
48.3871,0.0000,1407.3490
48.3871,222.2222,1401.1890
48.3871,444.4444,1420.1181
48.3871,666.6667,1458.4062
48.3871,888.8889,1491.0468
48.3871,1111.1111,1512.9992
48.3871,1333.3333,1547.9149
48.3871,1555.5556,1600.8732
48.3871,1777.7778,1636.3333
48.3871,2000.0000,1636.3333
96.7742,0.0000,1411.5651
96.7742,222.2222,1394.1486
96.7742,444.4444,1380.8105
96.7742,666.6667,1404.1226
96.7742,888.8889,1450.2494
96.7742,1111.1111,1501.7861
96.7742,1333.3333,1561.8024
96.7742,1555.5556,1621.0875
96.7742,1777.7778,1646.9861
96.7742,2000.0000,1646.9861
145.1613,0.0000,1397.9227
145.1613,222.2222,1389.2488
145.1613,444.4444,1370.8264
145.1613,666.6667,1384.6146
145.1613,888.8889,1437.4394
145.1613,1111.1111,1501.4649
145.1613,1333.3333,1564.5458
145.1613,1555.5556,1611.1612
145.1613,1777.7778,1623.3793
145.1613,2000.0000,1623.3793
193.5484,0.0000,1351.7542
193.5484,222.2222,1349.9311
193.5484,444.4444,1349.3626
193.5484,666.6667,1375.3070
193.5484,888.8889,1434.3033
193.5484,1111.1111,1500.4892
193.5484,1333.3333,1553.1382
193.5484,1555.5556,1578.5522
193.5484,1777.7778,1576.2382
193.5484,2000.0000,1576.2382
241.9355,0.0000,1297.2299
241.9355,222.2222,1299.5705
241.9355,444.4444,1311.9424
241.9355,666.6667,1341.9308
241.9355,888.8889,1398.2174
241.9355,1111.1111,1464.2814
241.9355,1333.3333,1509.0568
241.9355,1555.5556,1522.0013
241.9355,1777.7778,1513.3616
241.9355,2000.0000,1513.3616
290.3226,0.0000,1254.2938
290.3226,222.2222,1243.2937
290.3226,444.4444,1241.6658
290.3226,666.6667,1249.9512
290.3226,888.8889,1291.2133
290.3226,1111.1111,1365.0658
290.3226,1333.3333,1419.3341
290.3226,1555.5556,1441.9679
290.3226,1777.7778,1443.0221
290.3226,2000.0000,1443.0221
338.7097,0.0000,1270.4093
338.7097,222.2222,1263.4647
338.7097,444.4444,1264.8964
338.7097,666.6667,1263.1777
338.7097,888.8889,1273.3616
338.7097,1111.1111,1322.6137
338.7097,1333.3333,1368.9389
338.7097,1555.5556,1389.1338
338.7097,1777.7778,1391.7524
338.7097,2000.0000,1391.7524
387.0968,0.0000,1351.8155
387.0968,222.2222,1362.6022
387.0968,444.4444,1380.4965
387.0968,666.6667,1381.2282
387.0968,888.8889,1368.3927
387.0968,1111.1111,1370.9815
387.0968,1333.3333,1376.0636
387.0968,1555.5556,1371.7411
387.0968,1777.7778,1363.7539
387.0968,2000.0000,1363.7539
435.4839,0.0000,1472.1622
435.4839,222.2222,1500.3141
435.4839,444.4444,1529.4155
435.4839,666.6667,1527.6895
435.4839,888.8889,1491.4426
435.4839,1111.1111,1445.2224
435.4839,1333.3333,1401.5078
435.4839,1555.5556,1363.1369
435.4839,1777.7778,1343.5784
435.4839,2000.0000,1343.5784
483.8710,0.0000,1587.5488
483.8710,222.2222,1617.5633
483.8710,444.4444,1634.9247
483.8710,666.6667,1611.1932
483.8710,888.8889,1544.6847
483.8710,1111.1111,1460.9280
483.8710,1333.3333,1386.2842
483.8710,1555.5556,1335.3264
483.8710,1777.7778,1322.8670
483.8710,2000.0000,1322.8670
532.2581,0.0000,1663.9629
532.2581,222.2222,1681.8819
532.2581,444.4444,1679.1425
532.2581,666.6667,1639.5635
532.2581,888.8889,1565.4182
532.2581,1111.1111,1477.5472
532.2581,1333.3333,1401.2725
532.2581,1555.5556,1351.4213
532.2581,1777.7778,1336.5974
532.2581,2000.0000,1336.5974
580.6452,0.0000,1699.1649
580.6452,222.2222,1705.3373
580.6452,444.4444,1688.7322
580.6452,666.6667,1643.2844
580.6452,888.8889,1573.4899
580.6452,1111.1111,1494.6683
580.6452,1333.3333,1427.1653
