y,x,val
0.0000,0.0000,1518.4201
0.0000,222.2222,1518.8541
0.0000,444.4444,1519.3604
0.0000,666.6667,1519.8721
0.0000,888.8889,1520.3084
0.0000,1111.1111,1520.6157
0.0000,1333.3333,1520.7586
0.0000,1555.5556,1520.7017
0.0000,1777.7778,1520.4454
0.0000,2000.0000,1520.4454
48.3871,0.0000,1517.7337
48.3871,222.2222,1518.1494
48.3871,444.4444,1518.6416
48.3871,666.6667,1519.1525
48.3871,888.8889,1519.6056
48.3871,1111.1111,1519.9415
48.3871,1333.3333,1520.1173
48.3871,1555.5556,1520.0956
48.3871,1777.7778,1519.8565
48.3871,2000.0000,1519.8565
96.7742,0.0000,1516.1960
96.7742,222.2222,1516.5386
96.7742,444.4444,1516.9819
96.7742,666.6667,1517.4694
96.7742,888.8889,1517.9287
96.7742,1111.1111,1518.2957
96.7742,1333.3333,1518.5198
96.7742,1555.5556,1518.5616
96.7742,1777.7778,1518.3992
96.7742,2000.0000,1518.3992
145.1613,0.0000,1514.0290
145.1613,222.2222,1514.2923
145.1613,444.4444,1514.6825
145.1613,666.6667,1515.1436
145.1613,888.8889,1515.6053
145.1613,1111.1111,1516.0007
145.1613,1333.3333,1516.2731
145.1613,1555.5556,1516.3793
145.1613,1777.7778,1516.2991
145.1613,2000.0000,1516.2991
193.5484,0.0000,1511.4570
193.5484,222.2222,1511.6764
193.5484,444.4444,1512.0307
193.5484,666.6667,1512.4726
193.5484,888.8889,1512.9379
193.5484,1111.1111,1513.3585
193.5484,1333.3333,1513.6722
193.5484,1555.5556,1513.8277
193.5484,1777.7778,1513.7968
193.5484,2000.0000,1513.7968
241.9355,0.0000,1508.5862
241.9355,222.2222,1508.7729
241.9355,444.4444,1509.1022
241.9355,666.6667,1509.5327
241.9355,888.8889,1510.0048
241.9355,1111.1111,1510.4506
241.9355,1333.3333,1510.8038
241.9355,1555.5556,1511.0054
241.9355,1777.7778,1511.0175
241.9355,2000.0000,1511.0175
290.3226,0.0000,1505.5013
290.3226,222.2222,1505.6596
290.3226,444.4444,1505.9688
290.3226,666.6667,1506.3922
290.3226,888.8889,1506.8742
290.3226,1111.1111,1507.3468
290.3226,1333.3333,1507.7410
290.3226,1555.5556,1507.9914
290.3226,1777.7778,1508.0473
290.3226,2000.0000,1508.0473
338.7097,0.0000,1502.2764
338.7097,222.2222,1502.4027
338.7097,444.4444,1502.6925
338.7097,666.6667,1503.1110
338.7097,888.8889,1503.6045
338.7097,1111.1111,1504.1053
338.7097,1333.3333,1504.5414
338.7097,1555.5556,1504.8412
338.7097,1777.7778,1504.9402
338.7097,2000.0000,1504.9402
387.0968,0.0000,1499.0001
387.0968,222.2222,1499.0936
387.0968,444.4444,1499.3619
387.0968,666.6667,1499.7724
387.0968,888.8889,1500.2732
387.0968,1111.1111,1500.7962
387.0968,1333.3333,1501.2671
387.0968,1555.5556,1501.6082
387.0968,1777.7778,1501.7445
387.0968,2000.0000,1501.7445
435.4839,0.0000,1495.7597
435.4839,222.2222,1495.8179
435.4839,444.4444,1496.0594
435.4839,666.6667,1496.4546
435.4839,888.8889,1496.9534
435.4839,1111.1111,1497.4878
435.4839,1333.3333,1497.9817
435.4839,1555.5556,1498.3541
435.4839,1777.7778,1498.5239
435.4839,2000.0000,1498.5239
483.8710,0.0000,1492.6428
483.8710,222.2222,1492.6576
483.8710,444.4444,1492.8641
483.8710,666.6667,1493.2338
483.8710,888.8889,1493.7177
483.8710,1111.1111,1494.2483
483.8710,1333.3333,1494.7503
483.8710,1555.5556,1495.1441
483.8710,1777.7778,1495.3516
483.8710,2000.0000,1495.3516
532.2581,0.0000,1489.7565
532.2581,222.2222,1489.7260
532.2581,444.4444,1489.8933
532.2581,666.6667,1490.2300
532.2581,888.8889,1490.6884
532.2581,1111.1111,1491.2019
532.2581,1333.3333,1491.6976
532.2581,1555.5556,1492.1003
532.2581,1777.7778,1492.3397
532.2581,2000.0000,1492.3397
580.6452,0.0000,1487.2069
580.6452,222.2222,1487.1359
580.6452,444.4444,1487.2650
580.6452,666.6667,1487.5651
580.6452,888.8889,1487.9894
580.6452,1111.1111,1488.4735
580.6452,1333.3333,1488.9481
580.6452,1555.5556,1489.3438
580.6452,1777.7778,1489.6026
580.6452,2000.0000,1489.6026
629.0323,0.0000,1485.0891
629.0323,222.2222,1485.0025
629.0323,444.4444,1485.1025
629.0323,666.6667,1485.3651
629.0323,888.8889,1485.7478
629.0323,1111.1111,1486.1903
629.0323,1333.3333,1486.6278
629.0323,1555.5556,1486.9977
629.0323,1777.7778,1487.2524
629.0323,2000.0000,1487.2524
677.4194,0.0000,1483.4140
677.4194,222.2222,1483.3195
677.4194,444.4444,1483.3965
677.4194,666.6667,1483.6240
677.4194,888.8889,1483.9637
677.4194,1111.1111,1484.3603
677.4194,1333.3333,1484.7553
677.4194,1555.5556,1485.0938
677.4194,1777.7778,1485.3378
677.4194,2000.0000,1485.3378
725.8065,0.0000,1482.1776
725.8065,222.2222,1482.0820
725.8065,444.4444,1482.1422
725.8065,666.6667,1482.3389
725.8065,888.8889,1482.6377
725.8065,1111.1111,1482.9887
725.8065,1333.3333,1483.3401
725.8065,1555.5556,1483.6449
725.8065,1777.7778,1483.8730
725.8065,2000.0000,1483.8730
774.1935,0.0000,1481.3622
774.1935,222.2222,1481.2808
774.1935,444.4444,1481.3341
774.1935,666.6667,1481.5064
774.1935,888.8889,1481.7684
774.1935,1111.1111,1482.0759
774.1935,1333.3333,1482.3832
774.1935,1555.5556,1482.6489
774.1935,1777.7778,1482.8458
774.1935,2000.0000,1482.8458
822.5806,0.0000,1480.9050
822.5806,222.2222,1480.8432
822.5806,444.4444,1480.8943
822.5806,666.6667,1481.0460
822.5806,888.8889,1481.2740
822.5806,1111.1111,1481.5397
822.5806,1333.3333,1481.8033
822.5806,1555.5556,1482.0282
822.5806,1777.7778,1482.1896
822.5806,2000.0000,1482.1896
870.9677,0.0000,1480.7324
870.9677,222.2222,1480.6908
870.9677,444.4444,1480.7400
870.9677,666.6667,1480.8723
870.9677,888.8889,1481.0682
870.9677,1111.1111,1481.2944
870.9677,1333.3333,1481.5164
870.9677,1555.5556,1481.7022
870.9677,1777.7778,1481.8291
870.9677,2000.0000,1481.8291
919.3548,0.0000,1480.7672
919.3548,222.2222,1480.7337
919.3548,444.4444,1480.7776
919.3548,666.6667,1480.8911
919.3548,888.8889,1481.0577
919.3548,1111.1111,1481.2483
919.3548,1333.3333,1481.4333
919.3548,1555.5556,1481.5862
919.3548,1777.7778,1481.6882
919.3548,2000.0000,1481.6882
967.7419,0.0000,1480.9746
967.7419,222.2222,1480.9485
967.7419,444.4444,1480.9852
967.7419,666.6667,1481.0790
967.7419,888.8889,1481.2162
967.7419,1111.1111,1481.3718
967.7419,1333.3333,1481.5209
967.7419,1555.5556,1481.6419
967.7419,1777.7778,1481.7208
967.7419,2000.0000,1481.7208
1016.1290,0.0000,1481.3186
1016.1290,222.2222,1481.3000
1016.1290,444.4444,1481.3286
1016.1290,666.6667,1481.4018
1016.1290,888.8889,1481.5096
1016.1290,1111.1111,1481.6306
1016.1290,1333.3333,1481.7444
1016.1290,1555.5556,1481.8340
1016.1290,1777.7778,1481.8907
1016.1290,2000.0000,1481.8907
1064.5161,0.0000,1481.7591
1064.5161,222.2222,1481.7408
1064.5161,444.4444,1481.7600
1064.5161,666.6667,1481.8143
1064.5161,888.8889,1481.8957
1064.5161,1111.1111,1481.9860
1064.5161,1333.3333,1482.0687
1064.5161,1555.5556,1482.1316
1064.5161,1777.7778,1482.1719
1064.5161,2000.0000,1482.1719
1112.9032,0.0000,1482.2836
1112.9032,222.2222,1482.2678
1112.9032,444.4444,1482.2790
1112.9032,666.6667,1482.3159
