y,x,val
0.0000,0.0000,1507.8471
0.0000,222.2222,1507.9666
0.0000,444.4444,1508.0684
0.0000,666.6667,1508.2177
0.0000,888.8889,1508.3496
0.0000,1111.1111,1508.4556
0.0000,1333.3333,1508.5508
0.0000,1555.5556,1508.5761
0.0000,1777.7778,1508.5337
0.0000,2000.0000,1508.5337
48.3871,0.0000,1507.6816
48.3871,222.2222,1507.7936
48.3871,444.4444,1507.9100
48.3871,666.6667,1508.0351
48.3871,888.8889,1508.1821
48.3871,1111.1111,1508.3002
48.3871,1333.3333,1508.4120
48.3871,1555.5556,1508.4596
48.3871,1777.7778,1508.3928
48.3871,2000.0000,1508.3928
96.7742,0.0000,1507.2561
96.7742,222.2222,1507.3598
96.7742,444.4444,1507.4815
96.7742,666.6667,1507.6151
96.7742,888.8889,1507.7663
96.7742,1111.1111,1507.8986
96.7742,1333.3333,1508.0087
96.7742,1555.5556,1508.0638
96.7742,1777.7778,1508.0398
96.7742,2000.0000,1508.0398
145.1613,0.0000,1506.6075
145.1613,222.2222,1506.6999
145.1613,444.4444,1506.8168
145.1613,666.6667,1506.9722
145.1613,888.8889,1507.1000
145.1613,1111.1111,1507.2308
145.1613,1333.3333,1507.3643
145.1613,1555.5556,1507.4282
145.1613,1777.7778,1507.3711
145.1613,2000.0000,1507.3711
193.5484,0.0000,1505.7508
193.5484,222.2222,1505.8426
193.5484,444.4444,1505.9364
193.5484,666.6667,1506.0723
193.5484,888.8889,1506.2226
193.5484,1111.1111,1506.3567
193.5484,1333.3333,1506.4911
193.5484,1555.5556,1506.5666
193.5484,1777.7778,1506.5369
193.5484,2000.0000,1506.5369
241.9355,0.0000,1504.7120
241.9355,222.2222,1504.7877
241.9355,444.4444,1504.8821
241.9355,666.6667,1505.0079
241.9355,888.8889,1505.1549
241.9355,1111.1111,1505.3019
241.9355,1333.3333,1505.4378
241.9355,1555.5556,1505.5410
241.9355,1777.7778,1505.5377
241.9355,2000.0000,1505.5377
290.3226,0.0000,1503.4880
290.3226,222.2222,1503.5654
290.3226,444.4444,1503.6530
290.3226,666.6667,1503.7761
290.3226,888.8889,1503.9205
290.3226,1111.1111,1504.0848
290.3226,1333.3333,1504.2131
290.3226,1555.5556,1504.3066
290.3226,1777.7778,1504.3201
290.3226,2000.0000,1504.3201
338.7097,0.0000,1502.1630
338.7097,222.2222,1502.2154
338.7097,444.4444,1502.2979
338.7097,666.6667,1502.4202
338.7097,888.8889,1502.5669
338.7097,1111.1111,1502.7324
338.7097,1333.3333,1502.8685
338.7097,1555.5556,1502.9685
338.7097,1777.7778,1502.9814
338.7097,2000.0000,1502.9814
387.0968,0.0000,1500.7205
387.0968,222.2222,1500.7695
387.0968,444.4444,1500.8348
387.0968,666.6667,1500.9558
387.0968,888.8889,1501.1060
387.0968,1111.1111,1501.2651
387.0968,1333.3333,1501.4189
387.0968,1555.5556,1501.5278
387.0968,1777.7778,1501.5537
387.0968,2000.0000,1501.5537
435.4839,0.0000,1499.1924
435.4839,222.2222,1499.2368
435.4839,444.4444,1499.3325
435.4839,666.6667,1499.4232
435.4839,888.8889,1499.5694
435.4839,1111.1111,1499.7322
435.4839,1333.3333,1499.9013
435.4839,1555.5556,1500.0149
435.4839,1777.7778,1500.0568
435.4839,2000.0000,1500.0568
483.8710,0.0000,1497.6395
483.8710,222.2222,1497.6724
483.8710,444.4444,1497.7496
483.8710,666.6667,1497.8425
483.8710,888.8889,1497.9880
483.8710,1111.1111,1498.1546
483.8710,1333.3333,1498.3186
483.8710,1555.5556,1498.4453
483.8710,1777.7778,1498.4977
483.8710,2000.0000,1498.4977
532.2581,0.0000,1496.0401
532.2581,222.2222,1496.0668
532.2581,444.4444,1496.1387
532.2581,666.6667,1496.2294
532.2581,888.8889,1496.3851
532.2581,1111.1111,1496.5568
532.2581,1333.3333,1496.7244
532.2581,1555.5556,1496.8456
532.2581,1777.7778,1496.9216
532.2581,2000.0000,1496.9216
580.6452,0.0000,1494.4305
580.6452,222.2222,1494.4350
580.6452,444.4444,1494.5125
580.6452,666.6667,1494.6184
580.6452,888.8889,1494.7691
580.6452,1111.1111,1494.9385
580.6452,1333.3333,1495.1174
580.6452,1555.5556,1495.2471
580.6452,1777.7778,1495.3247
580.6452,2000.0000,1495.3247
629.0323,0.0000,1492.8366
629.0323,222.2222,1492.8378
629.0323,444.4444,1492.9016
629.0323,666.6667,1493.0067
629.0323,888.8889,1493.1624
629.0323,1111.1111,1493.3325
629.0323,1333.3333,1493.5197
629.0323,1555.5556,1493.6637
629.0323,1777.7778,1493.7297
629.0323,2000.0000,1493.7297
677.4194,0.0000,1491.2543
677.4194,222.2222,1491.2611
677.4194,444.4444,1491.3074
677.4194,666.6667,1491.4244
677.4194,888.8889,1491.5819
677.4194,1111.1111,1491.7586
677.4194,1333.3333,1491.9392
677.4194,1555.5556,1492.0895
677.4194,1777.7778,1492.1522
677.4194,2000.0000,1492.1522
725.8065,0.0000,1489.7061
725.8065,222.2222,1489.7183
725.8065,444.4444,1489.7665
725.8065,666.6667,1489.8613
725.8065,888.8889,1490.0171
725.8065,1111.1111,1490.2095
725.8065,1333.3333,1490.3968
725.8065,1555.5556,1490.5424
