y,x,val
0.0000,0.0000,1518.7494
0.0000,222.2222,1519.1864
0.0000,444.4444,1519.6641
0.0000,666.6667,1520.1152
0.0000,888.8889,1520.4643
0.0000,1111.1111,1520.6738
0.0000,1333.3333,1520.7281
0.0000,1555.5556,1520.6056
0.0000,1777.7778,1520.3196
0.0000,2000.0000,1520.3196
48.3871,0.0000,1518.0342
48.3871,222.2222,1518.4478
48.3871,444.4444,1518.9100
48.3871,666.6667,1519.3620
48.3871,888.8889,1519.7320
48.3871,1111.1111,1519.9747
48.3871,1333.3333,1520.0647
48.3871,1555.5556,1519.9795
48.3871,1777.7778,1519.7132
48.3871,2000.0000,1519.7132
96.7742,0.0000,1516.4375
96.7742,222.2222,1516.7709
96.7742,444.4444,1517.1834
96.7742,666.6667,1517.6176
96.7742,888.8889,1518.0043
96.7742,1111.1111,1518.2900
96.7742,1333.3333,1518.4388
96.7742,1555.5556,1518.4254
96.7742,1777.7778,1518.2421
96.7742,2000.0000,1518.2421
145.1613,0.0000,1514.2082
145.1613,222.2222,1514.4587
145.1613,444.4444,1514.8203
145.1613,666.6667,1515.2361
145.1613,888.8889,1515.6382
145.1613,1111.1111,1515.9670
145.1613,1333.3333,1516.1772
145.1613,1555.5556,1516.2383
145.1613,1777.7778,1516.1440
145.1613,2000.0000,1516.1440
193.5484,0.0000,1511.5864
193.5484,222.2222,1511.7943
193.5484,444.4444,1512.1272
193.5484,666.6667,1512.5363
193.5484,888.8889,1512.9584
193.5484,1111.1111,1513.3300
193.5484,1333.3333,1513.5970
193.5484,1555.5556,1513.7173
193.5484,1777.7778,1513.6741
193.5484,2000.0000,1513.6741
241.9355,0.0000,1508.6817
241.9355,222.2222,1508.8620
241.9355,444.4444,1509.1791
241.9355,666.6667,1509.5901
241.9355,888.8889,1510.0357
241.9355,1111.1111,1510.4502
241.9355,1333.3333,1510.7722
241.9355,1555.5556,1510.9489
241.9355,1777.7778,1510.9506
241.9355,2000.0000,1510.9506
