y,x,val
0.0000,0.0000,1517.7041
0.0000,222.2222,1517.7962
0.0000,444.4444,1518.0916
0.0000,666.6667,1518.6244
0.0000,888.8889,1519.1911
0.0000,1111.1111,1519.8343
0.0000,1333.3333,1520.3707
0.0000,1555.5556,1520.5072
0.0000,1777.7778,1520.0702
0.0000,2000.0000,1520.0702
48.3871,0.0000,1517.2065
48.3871,222.2222,1517.1830
48.3871,444.4444,1517.5533
48.3871,666.6667,1518.1626
48.3871,888.8889,1518.6399
48.3871,1111.1111,1519.2173
48.3871,1333.3333,1519.7804
48.3871,1555.5556,1520.0048
48.3871,1777.7778,1519.4355
48.3871,2000.0000,1519.4355
96.7742,0.0000,1515.9207
96.7742,222.2222,1515.8402
96.7742,444.4444,1516.2443
96.7742,666.6667,1516.8661
96.7742,888.8889,1517.2537
96.7742,1111.1111,1517.7327
96.7742,1333.3333,1518.2662
96.7742,1555.5556,1518.5285
96.7742,1777.7778,1517.9682
96.7742,2000.0000,1517.9682
145.1613,0.0000,1514.0088
145.1613,222.2222,1513.8843
145.1613,444.4444,1514.2791
145.1613,666.6667,1514.8740
145.1613,888.8889,1515.1843
145.1613,1111.1111,1515.5794
145.1613,1333.3333,1516.0714
145.1613,1555.5556,1516.3458
145.1613,1777.7778,1515.8261
145.1613,2000.0000,1515.8261
193.5484,0.0000,1511.6090
193.5484,222.2222,1511.4393
193.5484,444.4444,1511.8006
193.5484,666.6667,1512.3510
193.5484,888.8889,1512.5955
193.5484,1111.1111,1512.9248
193.5484,1333.3333,1513.3791
193.5484,1555.5556,1513.6569
193.5484,1777.7778,1513.1802
193.5484,2000.0000,1513.1802
241.9355,0.0000,1508.8510
241.9355,222.2222,1508.6347
241.9355,444.4444,1508.9524
241.9355,666.6667,1509.4536
241.9355,888.8889,1509.6425
241.9355,1111.1111,1509.9206
241.9355,1333.3333,1510.3446
241.9355,1555.5556,1510.6247
241.9355,1777.7778,1510.1877
241.9355,2000.0000,1510.1877
290.3226,0.0000,1505.8583
290.3226,222.2222,1505.5964
290.3226,444.4444,1505.8688
290.3226,666.6667,1506.3226
290.3226,888.8889,1506.4648
290.3226,1111.1111,1506.7033
290.3226,1333.3333,1507.1045
290.3226,1555.5556,1507.3877
290.3226,1777.7778,1506.9864
290.3226,2000.0000,1506.9864
338.7097,0.0000,1502.7453
338.7097,222.2222,1502.4413
338.7097,444.4444,1502.6711
338.7097,666.6667,1503.0824
338.7097,888.8889,1503.1861
338.7097,1111.1111,1503.3937
338.7097,1333.3333,1503.7781
338.7097,1555.5556,1504.0658
338.7097,1777.7778,1503.6965
338.7097,2000.0000,1503.6965
387.0968,0.0000,1499.6155
387.0968,222.2222,1499.2743
387.0968,444.4444,1499.4664
387.0968,666.6667,1499.8413
387.0968,888.8889,1499.9137
387.0968,1111.1111,1500.0973
387.0968,1333.3333,1500.4694
387.0968,1555.5556,1500.7622
387.0968,1777.7778,1500.4211
387.0968,2000.0000,1500.4211
435.4839,0.0000,1496.5595
435.4839,222.2222,1496.1866
435.4839,444.4444,1496.3468
435.4839,666.6667,1496.6916
435.4839,888.8889,1496.7392
435.4839,1111.1111,1496.9040
435.4839,1333.3333,1497.2669
435.4839,1555.5556,1497.5648
435.4839,1777.7778,1497.2479
435.4839,2000.0000,1497.2479
483.8710,0.0000,1493.6546
483.8710,222.2222,1493.2556
483.8710,444.4444,1493.3898
483.8710,666.6667,1493.7105
483.8710,888.8889,1493.7388
483.8710,1111.1111,1493.8889
483.8710,1333.3333,1494.2446
483.8710,1555.5556,1494.5469
483.8710,1777.7778,1494.2501
483.8710,2000.0000,1494.2501
532.2581,0.0000,1490.9640
532.2581,222.2222,1490.5447
532.2581,444.4444,1490.6587
532.2581,666.6667,1490.9608
532.2581,888.8889,1490.9744
532.2581,1111.1111,1491.1128
532.2581,1333.3333,1491.4624
532.2581,1555.5556,1491.7677
532.2581,1777.7778,1491.4869
532.2581,2000.0000,1491.4869
580.6452,0.0000,1488.5379
580.6452,222.2222,1488.1037
580.6452,444.4444,1488.2029
580.6452,666.6667,1488.4916
580.6452,888.8889,1488.4945
580.6452,1111.1111,1488.6232
580.6452,1333.3333,1488.9671
580.6452,1555.5556,1489.2736
580.6452,1777.7778,1489.0045
580.6452,2000.0000,1489.0045
629.0323,0.0000,1486.4131
629.0323,222.2222,1485.9692
629.0323,444.4444,1486.0588
629.0323,666.6667,1486.3385
629.0323,888.8889,1486.3340
629.0323,1111.1111,1486.4547
629.0323,1333.3333,1486.7925
629.0323,1555.5556,1487.0982
629.0323,1777.7778,1486.8366
629.0323,2000.0000,1486.8366
677.4194,0.0000,1484.6143
677.4194,222.2222,1484.1656
677.4194,444.4444,1484.2503
677.4194,666.6667,1484.5251
677.4194,888.8889,1484.5157
677.4194,1111.1111,1484.6295
677.4194,1333.3333,1484.9608
677.4194,1555.5556,1485.2633
677.4194,1777.7778,1485.0049
677.4194,2000.0000,1485.0049
725.8065,0.0000,1483.1543
725.8065,222.2222,1482.7054
725.8065,444.4444,1482.7896
725.8065,666.6667,1483.0634
725.8065,888.8889,1483.0519
725.8065,1111.1111,1483.1590
725.8065,1333.3333,1483.4826
725.8065,1555.5556,1483.7794
725.8065,1777.7778,1483.5200
725.8065,2000.0000,1483.5200
774.1935,0.0000,1482.0349
774.1935,222.2222,1481.5902
774.1935,444.4444,1481.6780
774.1935,666.6667,1481.9542
774.1935,888.8889,1481.9425
774.1935,1111.1111,1482.0431
774.1935,1333.3333,1482.3578
774.1935,1555.5556,1482.6464
774.1935,1777.7778,1482.3820
774.1935,2000.0000,1482.3820
822.5806,0.0000,1481.2479
822.5806,222.2222,1480.8112
822.5806,444.4444,1480.9064
822.5806,666.6667,1481.1879
822.5806,888.8889,1481.1775
822.5806,1111.1111,1481.2720
822.5806,1333.3333,1481.5764
822.5806,1555.5556,1481.8542
822.5806,1777.7778,1481.5811
822.5806,2000.0000,1481.5811
870.9677,0.0000,1480.7754
870.9677,222.2222,1480.3504
870.9677,444.4444,1480.4565
870.9677,666.6667,1480.7465
870.9677,888.8889,1480.7393
870.9677,1111.1111,1480.8269
870.9677,1333.3333,1481.1194
870.9677,1555.5556,1481.3839
870.9677,1777.7778,1481.0984
870.9677,2000.0000,1481.0984
919.3548,0.0000,1480.5912
919.3548,222.2222,1480.1810
919.3548,444.4444,1480.3011
919.3548,666.6667,1480.6022
919.3548,888.8889,1480.5996
919.3548,1111.1111,1480.6800
919.3548,1333.3333,1480.9590
919.3548,1555.5556,1481.2077
919.3548,1777.7778,1480.9067
919.3548,2000.0000,1480.9067
967.7419,0.0000,1480.6613
967.7419,222.2222,1480.2687
967.7419,444.4444,1480.4055
967.7419,666.6667,1480.7197
967.7419,888.8889,1480.7224
967.7419,1111.1111,1480.7956
967.7419,1333.3333,1481.0599
967.7419,1555.5556,1481.2907
967.7419,1777.7778,1480.9714
967.7419,2000.0000,1480.9714
1016.1290,0.0000,1480.9455
1016.1290,222.2222,1480.5728
1016.1290,444.4444,1480.7287
1016.1290,666.6667,1481.0583
1016.1290,888.8889,1481.0681
1016.1290,1111.1111,1481.1328
1016.1290,1333.3333,1481.3807
1016.1290,1555.5556,1481.5916
1016.1290,1777.7778,1481.2516
1016.1290,2000.0000,1481.2516
1064.5161,0.0000,1481.3983
1064.5161,222.2222,1481.0470
1064.5161,444.4444,1481.2237
1064.5161,666.6667,1481.5704
1064.5161,888.8889,1481.5879
1064.5161,1111.1111,1481.6437
1064.5161,1333.3333,1481.8739
1064.5161,1555.5556,1482.0636
1064.5161,1777.7778,1481.7012
1064.5161,2000.0000,1481.7012
1112.9032,0.0000,1481.9704
1112.9032,222.2222,1481.6415
1112.9032,444.4444,1481.8401
1112.9032,666.6667,1482.2044
1112.9032,888.8889,1482.2294
1112.9032,1111.1111,1482.2764
1112.9032,1333.3333,1482.4885
1112.9032,1555.5556,1482.6560
1112.9032,1777.7778,1482.2705
1112.9032,2000.0000,1482.2705
1161.2903,0.0000,1482.6107
1161.2903,222.2222,1482.3044
1161.2903,444.4444,1482.5251
1161.2903,666.6667,1482.9077
1161.2903,888.8889,1482.9414
1161.2903,1111.1111,1482.9782
1161.2903,1333.3333,1483.1712
1161.2903,1555.5556,1483.3162
1161.2903,1777.7778,1482.9074
1161.2903,2000.0000,1482.9074
1209.6774,0.0000,1483.2677
1209.6774,222.2222,1482.9832
1209.6774,444.4444,1483.2252
1209.6774,666.6667,1483.6252
1209.6774,888.8889,1483.6669
1209.6774,1111.1111,1483.6932
1209.6774,1333.3333,1483.8672
1209.6774,1555.5556,1483.9908
1209.6774,1777.7778,1483.5601
1209.6774,2000.0000,1483.5601
1258.0645,0.0000,1483.8920
1258.0645,222.2222,1483.6282
1258.0645,444.4444,1483.8889
1258.0645,666.6667,1484.3029
1258.0645,888.8889,1484.3505
1258.0645,1111.1111,1484.3670
1258.0645,1333.3333,1484.5232
1258.0645,1555.5556,1484.6277
1258.0645,1777.7778,1484.1786
1258.0645,2000.0000,1484.1786
1306.4516,0.0000,1484.4380
1306.4516,222.2222,1484.1947
1306.4516,444.4444,1484.4695
1306.4516,666.6667,1484.8918
1306.4516,888.8889,1484.9445
1306.4516,1111.1111,1484.9506
1306.4516,1333.3333,1485.0894
1306.4516,1555.5556,1485.1782
1306.4516,1777.7778,1484.7184
1306.4516,2000.0000,1484.7184
1354.8387,0.0000,1484.8654
1354.8387,222.2222,1484.6475
1354.8387,444.4444,1484.9272
1354.8387,666.6667,1485.3444
1354.8387,888.8889,1485.4009
1354.8387,1111.1111,1485.3997
1354.8387,1333.3333,1485.5211
1354.8387,1555.5556,1485.5972
1354.8387,1777.7778,1485.1441
1354.8387,2000.0000,1485.1441
1403.2258,0.0000,1485.1373
1403.2258,222.2222,1484.9677
1403.2258,444.4444,1485.2332
1403.2258,666.6667,1485.6164
1403.2258,888.8889,1485.6802
1403.2258,1111.1111,1485.6831
1403.2258,1333.3333,1485.7829
1403.2258,1555.5556,1485.8413
1403.2258,1777.7778,1485.4374
1403.2258,2000.0000,1485.4374
1451.6129,0.0000,1485.2138
1451.6129,222.2222,1485.1593
1451.6129,444.4444,1485.3713
1451.6129,666.6667,1485.6671
1451.6129,888.8889,1485.7630
1451.6129,1111.1111,1485.7929
1451.6129,1333.3333,1485.8575
1451.6129,1555.5556,1485.8632
1451.6129,1777.7778,1485.6096
1451.6129,2000.0000,1485.6096
1500.0000,0.0000,1485.2138
1500.0000,222.2222,1485.1593
1500.0000,444.4444,1485.3713
1500.0000,666.6667,1485.6671
1500.0000,888.8889,1485.7630
1500.0000,1111.1111,1485.7929
1500.0000,1333.3333,1485.8575
1500.0000,1555.5556,1485.8632
1500.0000,1777.7778,1485.6096
1500.0000,2000.0000,1485.6096
