y,x,val
0.0000,0.0000,1515.1993
0.0000,222.2222,1515.5684
0.0000,444.4444,1516.1691
0.0000,666.6667,1516.9292
0.0000,888.8889,1517.7230
0.0000,1111.1111,1518.4468
0.0000,1333.3333,1518.9968
0.0000,1555.5556,1519.2521
0.0000,1777.7778,1519.1631
0.0000,2000.0000,1519.1631
48.3871,0.0000,1514.7359
48.3871,222.2222,1515.1180
48.3871,444.4444,1515.7288
48.3871,666.6667,1516.4964
48.3871,888.8889,1517.3029
48.3871,1111.1111,1518.0403
48.3871,1333.3333,1518.5996
48.3871,1555.5556,1518.8632
48.3871,1777.7778,1518.7592
48.3871,2000.0000,1518.7592
96.7742,0.0000,1513.6918
96.7742,222.2222,1514.0582
96.7742,444.4444,1514.6464
96.7742,666.6667,1515.3817
96.7742,888.8889,1516.1559
96.7742,1111.1111,1516.8670
96.7742,1333.3333,1517.4119
96.7742,1555.5556,1517.6814
96.7742,1777.7778,1517.6016
96.7742,2000.0000,1517.6016
145.1613,0.0000,1512.1101
145.1613,222.2222,1512.4433
145.1613,444.4444,1512.9892
145.1613,666.6667,1513.6701
145.1613,888.8889,1514.3844
145.1613,1111.1111,1515.0457
145.1613,1333.3333,1515.5650
145.1613,1555.5556,1515.8390
145.1613,1777.7778,1515.7932
145.1613,2000.0000,1515.7932
193.5484,0.0000,1510.0652
193.5484,222.2222,1510.3581
193.5484,444.4444,1510.8526
193.5484,666.6667,1511.4710
193.5484,888.8889,1512.1212
193.5484,1111.1111,1512.7259
193.5484,1333.3333,1513.2072
193.5484,1555.5556,1513.4751
193.5484,1777.7778,1513.4589
193.5484,2000.0000,1513.4589
241.9355,0.0000,1507.6421
241.9355,222.2222,1507.8885
241.9355,444.4444,1508.3252
241.9355,666.6667,1508.8751
241.9355,888.8889,1509.4540
241.9355,1111.1111,1509.9971
241.9355,1333.3333,1510.4399
241.9355,1555.5556,1510.7021
241.9355,1777.7778,1510.7163
241.9355,2000.0000,1510.7163
290.3226,0.0000,1504.9363
290.3226,222.2222,1505.1329
290.3226,444.4444,1505.5091
290.3226,666.6667,1505.9881
290.3226,888.8889,1506.4920
290.3226,1111.1111,1506.9719
290.3226,1333.3333,1507.3788
290.3226,1555.5556,1507.6384
290.3226,1777.7778,1507.6845
290.3226,2000.0000,1507.6845
338.7097,0.0000,1502.0502
338.7097,222.2222,1502.1972
338.7097,444.4444,1502.5136
338.7097,666.6667,1502.9255
338.7097,888.8889,1503.3646
338.7097,1111.1111,1503.7895
338.7097,1333.3333,1504.1596
338.7097,1555.5556,1504.4123
338.7097,1777.7778,1504.4858
338.7097,2000.0000,1504.4858
387.0968,0.0000,1499.0857
387.0968,222.2222,1499.1836
387.0968,444.4444,1499.4421
387.0968,666.6667,1499.7898
387.0968,888.8889,1500.1663
387.0968,1111.1111,1500.5396
387.0968,1333.3333,1500.8787
387.0968,1555.5556,1501.1280
387.0968,1777.7778,1501.2291
387.0968,2000.0000,1501.2291
435.4839,0.0000,1496.1425
435.4839,222.2222,1496.1946
435.4839,444.4444,1496.3994
435.4839,666.6667,1496.6875
435.4839,888.8889,1497.0042
435.4839,1111.1111,1497.3293
435.4839,1333.3333,1497.6422
435.4839,1555.5556,1497.8912
435.4839,1777.7778,1498.0194
435.4839,2000.0000,1498.0194
483.8710,0.0000,1493.3154
483.8710,222.2222,1493.3292
483.8710,444.4444,1493.4896
483.8710,666.6667,1493.7295
483.8710,888.8889,1494.0002
483.8710,1111.1111,1494.2852
