y,x,val
0.0000,0.0000,-2.5651
0.0000,222.2222,-1.8485
0.0000,444.4444,-0.7799
0.0000,666.6667,-1.7116
0.0000,888.8889,-0.3020
0.0000,1111.1111,1.0382
0.0000,1333.3333,-0.0970
0.0000,1555.5556,0.7026
0.0000,1777.7778,1.0938
0.0000,2000.0000,1.0938
48.3871,0.0000,-2.3943
48.3871,222.2222,-1.4982
48.3871,444.4444,-0.1749
48.3871,666.6667,-1.7644
48.3871,888.8889,-0.0816
48.3871,1111.1111,1.4543
48.3871,1333.3333,-0.3687
48.3871,1555.5556,0.7769
48.3871,1777.7778,1.4497
48.3871,2000.0000,1.4497
96.7742,0.0000,-0.7100
96.7742,222.2222,0.2398
96.7742,444.4444,1.6677
96.7742,666.6667,-0.3939
96.7742,888.8889,1.3160
96.7742,1111.1111,2.8876
96.7742,1333.3333,0.6503
96.7742,1555.5556,1.8821
96.7742,1777.7778,2.7015
96.7742,2000.0000,2.7015
145.1613,0.0000,0.3494
145.1613,222.2222,1.2198
145.1613,444.4444,2.5603
145.1613,666.6667,0.3896
145.1613,888.8889,2.0047
145.1613,1111.1111,3.4786
145.1613,1333.3333,1.0832
145.1613,1555.5556,2.3386
145.1613,1777.7778,3.1955
145.1613,2000.0000,3.1955
193.5484,0.0000,0.7760
193.5484,222.2222,1.4664
193.5484,444.4444,2.6988
193.5484,666.6667,0.6108
193.5484,888.8889,1.9941
193.5484,1111.1111,3.3314
193.5484,1333.3333,1.1128
193.5484,1555.5556,2.1931
193.5484,1777.7778,3.0035
193.5484,2000.0000,3.0035
241.9355,0.0000,0.2886
241.9355,222.2222,1.0219
241.9355,444.4444,2.3089
241.9355,666.6667,-0.1421
241.9355,888.8889,1.2323
241.9355,1111.1111,2.6077
241.9355,1333.3333,0.1465
241.9355,1555.5556,1.2528
241.9355,1777.7778,2.1706
241.9355,2000.0000,2.1706
290.3226,0.0000,-0.5149
290.3226,222.2222,0.2463
290.3226,444.4444,1.5466
290.3226,666.6667,-1.2899
290.3226,888.8889,0.1033
290.3226,1111.1111,1.5173
290.3226,1333.3333,-1.2633
290.3226,1555.5556,-0.0811
290.3226,1777.7778,0.9663
290.3226,2000.0000,0.9663
338.7097,0.0000,-1.1876
338.7097,222.2222,-0.3724
338.7097,444.4444,0.9738
338.7097,666.6667,-2.2860
338.7097,888.8889,-0.8275
338.7097,1111.1111,0.6657
338.7097,1333.3333,-2.4839
338.7097,1555.5556,-1.1753
338.7097,1777.7778,0.0370
338.7097,2000.0000,0.0370
387.0968,0.0000,-1.6151
387.0968,222.2222,-0.7344
387.0968,444.4444,0.6678
387.0968,666.6667,-3.0206
387.0968,888.8889,-1.4774
387.0968,1111.1111,0.1074
387.0968,1333.3333,-3.4120
387.0968,1555.5556,-1.9671
387.0968,1777.7778,-0.5882
387.0968,2000.0000,-0.5882
435.4839,0.0000,-1.6471
435.4839,222.2222,-0.7945
435.4839,444.4444,0.5897
435.4839,666.6667,-3.3149
435.4839,888.8889,-1.7719
435.4839,1111.1111,-0.1742
435.4839,1333.3333,-3.8609
435.4839,1555.5556,-2.3608
435.4839,1777.7778,-0.8915
435.4839,2000.0000,-0.8915
483.8710,0.0000,-1.4608
483.8710,222.2222,-0.7080
483.8710,444.4444,0.5752
483.8710,666.6667,-3.2296
483.8710,888.8889,-1.7592
483.8710,1111.1111,-0.2464
483.8710,1333.3333,-3.8480
483.8710,1555.5556,-2.3707
483.8710,1777.7778,-0.9077
483.8710,2000.0000,-0.9077
532.2581,0.0000,-0.8646
532.2581,222.2222,-0.2279
532.2581,444.4444,0.9374
532.2581,666.6667,-2.6157
532.2581,888.8889,-1.2914
532.2581,1111.1111,0.0780
532.2581,1333.3333,-3.2957
532.2581,1555.5556,-1.9278
532.2581,1777.7778,-0.5535
532.2581,2000.0000,-0.5535
580.6452,0.0000,0.0512
580.6452,222.2222,0.5192
580.6452,444.4444,1.4785
580.6452,666.6667,-1.5206
580.6452,888.8889,-0.4231
580.6452,1111.1111,0.6931
580.6452,1333.3333,-2.1695
580.6452,1555.5556,-1.0095
580.6452,1777.7778,0.1518
580.6452,2000.0000,0.1518
629.0323,0.0000,0.6846
629.0323,222.2222,0.9750
629.0323,444.4444,1.7428
