y,x,val
0.0000,0.0000,1512.7067
0.0000,222.2222,1512.9986
0.0000,444.4444,1513.5324
0.0000,666.6667,1514.2421
0.0000,888.8889,1515.0039
0.0000,1111.1111,1515.7161
0.0000,1333.3333,1516.2755
0.0000,1555.5556,1516.5607
0.0000,1777.7778,1516.5232
0.0000,2000.0000,1516.5232
48.3871,0.0000,1512.3840
48.3871,222.2222,1512.7031
48.3871,444.4444,1513.2572
48.3871,666.6667,1513.9779
48.3871,888.8889,1514.7496
48.3871,1111.1111,1515.4647
48.3871,1333.3333,1516.0160
48.3871,1555.5556,1516.2916
48.3871,1777.7778,1516.2296
48.3871,2000.0000,1516.2296
96.7742,0.0000,1511.6358
96.7742,222.2222,1511.9667
96.7742,444.4444,1512.5172
96.7742,666.6667,1513.2169
96.7742,888.8889,1513.9593
96.7742,1111.1111,1514.6383
96.7742,1333.3333,1515.1515
96.7742,1555.5556,1515.4032
96.7742,1777.7778,1515.3385
96.7742,2000.0000,1515.3385
145.1613,0.0000,1510.4260
145.1613,222.2222,1510.7495
145.1613,444.4444,1511.2764
145.1613,666.6667,1511.9363
145.1613,888.8889,1512.6300
145.1613,1111.1111,1513.2577
145.1613,1333.3333,1513.7262
145.1613,1555.5556,1513.9533
145.1613,1777.7778,1513.8923
145.1613,2000.0000,1513.8923
193.5484,0.0000,1508.7562
193.5484,222.2222,1509.0562
193.5484,444.4444,1509.5441
193.5484,666.6667,1510.1525
193.5484,888.8889,1510.7887
193.5484,1111.1111,1511.3618
193.5484,1333.3333,1511.7879
193.5484,1555.5556,1511.9953
193.5484,1777.7778,1511.9443
193.5484,2000.0000,1511.9443
241.9355,0.0000,1506.6639
241.9355,222.2222,1506.9267
241.9355,444.4444,1507.3641
241.9355,666.6667,1507.9129
241.9355,888.8889,1508.4884
241.9355,1111.1111,1509.0084
241.9355,1333.3333,1509.3982
241.9355,1555.5556,1509.5941
241.9355,1777.7778,1509.5608
241.9355,2000.0000,1509.5608
290.3226,0.0000,1504.2172
290.3226,222.2222,1504.4316
290.3226,444.4444,1504.8090
290.3226,666.6667,1505.2922
290.3226,888.8889,1505.8053
290.3226,1111.1111,1506.2758
290.3226,1333.3333,1506.6372
290.3226,1555.5556,1506.8310
290.3226,1777.7778,1506.8246
290.3226,2000.0000,1506.8246
338.7097,0.0000,1501.5116
338.7097,222.2222,1501.6680
338.7097,444.4444,1501.9772
338.7097,666.6667,1502.3894
338.7097,888.8889,1502.8388
338.7097,1111.1111,1503.2637
338.7097,1333.3333,1503.6050
338.7097,1555.5556,1503.8071
338.7097,1777.7778,1503.8374
338.7097,2000.0000,1503.8374
387.0968,0.0000,1498.6642
387.0968,222.2222,1498.7556
387.0968,444.4444,1498.9906
387.0968,666.6667,1499.3271
387.0968,888.8889,1499.7113
387.0968,1111.1111,1500.0942
387.0968,1333.3333,1500.4238
387.0968,1555.5556,1500.6442
387.0968,1777.7778,1500.7205
387.0968,2000.0000,1500.7205
435.4839,0.0000,1495.8091
435.4839,222.2222,1495.8333
435.4839,444.4444,1495.9929
435.4839,666.6667,1496.2526
435.4839,888.8889,1496.5711
435.4839,1111.1111,1496.9149
435.4839,1333.3333,1497.2393
435.4839,1555.5556,1497.4853
435.4839,1777.7778,1497.6134
435.4839,2000.0000,1497.6134
483.8710,0.0000,1493.0875
483.8710,222.2222,1493.0526
483.8710,444.4444,1493.1481
483.8710,666.6667,1493.3414
483.8710,888.8889,1493.5999
483.8710,1111.1111,1493.9069
483.8710,1333.3333,1494.2256
483.8710,1555.5556,1494.4928
483.8710,1777.7778,1494.6675
483.8710,2000.0000,1494.6675
532.2581,0.0000,1490.6314
532.2581,222.2222,1490.5682
532.2581,444.4444,1490.6374
532.2581,666.6667,1490.8040
532.2581,888.8889,1491.0345
532.2581,1111.1111,1491.3079
532.2581,1333.3333,1491.5933
532.2581,1555.5556,1491.8436
532.2581,1777.7778,1492.0284
532.2581,2000.0000,1492.0284
580.6452,0.0000,1488.5084
580.6452,222.2222,1488.4329
580.6452,444.4444,1488.4920
580.6452,666.6667,1488.6465
580.6452,888.8889,1488.8584
580.6452,1111.1111,1489.1027
580.6452,1333.3333,1489.3534
580.6452,1555.5556,1489.5780
580.6452,1777.7778,1489.7584
580.6452,2000.0000,1489.7584
629.0323,0.0000,1486.7500
629.0323,222.2222,1486.6716
629.0323,444.4444,1486.7277
629.0323,666.6667,1486.8753
629.0323,888.8889,1487.0721
629.0323,1111.1111,1487.2913
629.0323,1333.3333,1487.5114
629.0323,1555.5556,1487.7103
629.0323,1777.7778,1487.8799
629.0323,2000.0000,1487.8799
677.4194,0.0000,1485.3636
677.4194,222.2222,1485.2889
677.4194,444.4444,1485.3461
677.4194,666.6667,1485.4890
677.4194,888.8889,1485.6726
677.4194,1111.1111,1485.8697
677.4194,1333.3333,1486.0627
677.4194,1555.5556,1486.2369
677.4194,1777.7778,1486.3916
677.4194,2000.0000,1486.3916
725.8065,0.0000,1484.3377
725.8065,222.2222,1484.2726
725.8065,444.4444,1484.3342
725.8065,666.6667,1484.4741
725.8065,888.8889,1484.6458
725.8065,1111.1111,1484.8224
725.8065,1333.3333,1484.9899
725.8065,1555.5556,1485.1392
725.8065,1777.7778,1485.2749
725.8065,2000.0000,1485.2749
774.1935,0.0000,1483.6446
774.1935,222.2222,1483.5947
