y,x,val
0.0000,0.0000,-6.8345
0.0000,222.2222,-6.0518
0.0000,444.4444,-4.7161
0.0000,666.6667,-5.3274
0.0000,888.8889,-3.7043
0.0000,1111.1111,-2.2440
0.0000,1333.3333,-3.4377
0.0000,1555.5556,-2.8090
0.0000,1777.7778,-2.7254
0.0000,2000.0000,-2.7254
48.3871,0.0000,-6.6390
48.3871,222.2222,-5.6866
48.3871,444.4444,-4.0744
48.3871,666.6667,-5.3418
48.3871,888.8889,-3.4919
48.3871,1111.1111,-1.8350
48.3871,1333.3333,-3.7145
48.3871,1555.5556,-2.6712
48.3871,1777.7778,-2.4384
48.3871,2000.0000,-2.4384
96.7742,0.0000,-4.8035
96.7742,222.2222,-3.8050
96.7742,444.4444,-2.1032
96.7742,666.6667,-3.8786
96.7742,888.8889,-2.0528
96.7742,1111.1111,-0.3784
96.7742,1333.3333,-2.6588
96.7742,1555.5556,-1.4850
96.7742,1777.7778,-1.1347
96.7742,2000.0000,-1.1347
145.1613,0.0000,-3.4742
145.1613,222.2222,-2.5647
145.1613,444.4444,-0.9767
145.1613,666.6667,-2.9037
145.1613,888.8889,-1.2182
145.1613,1111.1111,0.3350
145.1613,1333.3333,-2.0997
145.1613,1555.5556,-0.8818
145.1613,1777.7778,-0.4943
145.1613,2000.0000,-0.4943
193.5484,0.0000,-2.6648
193.5484,222.2222,-1.9435
193.5484,444.4444,-0.4901
193.5484,666.6667,-2.3737
193.5484,888.8889,-0.9599
193.5484,1111.1111,0.4303
193.5484,1333.3333,-1.8352
193.5484,1555.5556,-0.7884
193.5484,1777.7778,-0.4458
193.5484,2000.0000,-0.4458
241.9355,0.0000,-2.6654
241.9355,222.2222,-1.9056
241.9355,444.4444,-0.4201
241.9355,666.6667,-2.7010
241.9355,888.8889,-1.3322
241.9355,1111.1111,0.0673
241.9355,1333.3333,-2.4572
241.9355,1555.5556,-1.3920
241.9355,1777.7778,-0.9451
241.9355,2000.0000,-0.9451
290.3226,0.0000,-2.8958
290.3226,222.2222,-2.1074
290.3226,444.4444,-0.6262
290.3226,666.6667,-3.3222
290.3226,888.8889,-1.9681
290.3226,1111.1111,-0.5604
290.3226,1333.3333,-3.4266
290.3226,1555.5556,-2.3007
290.3226,1777.7778,-1.7328
290.3226,2000.0000,-1.7328
338.7097,0.0000,-2.9384
338.7097,222.2222,-2.0895
338.7097,444.4444,-0.5749
338.7097,666.6667,-3.7199
338.7097,888.8889,-2.3316
338.7097,1111.1111,-0.8752
338.7097,1333.3333,-4.1358
338.7097,1555.5556,-2.9029
338.7097,1777.7778,-2.1829
338.7097,2000.0000,-2.1829
387.0968,0.0000,-2.7219
387.0968,222.2222,-1.7947
387.0968,444.4444,-0.2314
387.0968,666.6667,-3.8260
387.0968,888.8889,-2.3808
387.0968,1111.1111,-0.8612
387.0968,1333.3333,-4.5153
387.0968,1555.5556,-3.1660
387.0968,1777.7778,-2.2947
387.0968,2000.0000,-2.2947
435.4839,0.0000,-2.1541
435.4839,222.2222,-1.2362
435.4839,444.4444,0.3072
435.4839,666.6667,-3.5173
435.4839,888.8889,-2.0934
435.4839,1111.1111,-0.5819
435.4839,1333.3333,-4.4201
435.4839,1555.5556,-3.0299
435.4839,1777.7778,-2.0841
435.4839,2000.0000,-2.0841
483.8710,0.0000,-1.4863
483.8710,222.2222,-0.6482
483.8710,444.4444,0.7984
483.8710,666.6667,-2.9260
483.8710,888.8889,-1.5814
483.8710,1111.1111,-0.1591
483.8710,1333.3333,-3.9132
483.8710,1555.5556,-2.5459
483.8710,1777.7778,-1.6203
483.8710,2000.0000,-1.6203
532.2581,0.0000,-0.6110
532.2581,222.2222,0.1007
532.2581,444.4444,1.4491
532.2581,666.6667,-1.9968
532.2581,888.8889,-0.7692
532.2581,1111.1111,0.5392
532.2581,1333.3333,-2.9640
532.2581,1555.5556,-1.6845
532.2581,1777.7778,-0.8462
532.2581,2000.0000,-0.8462
580.6452,0.0000,0.4654
580.6452,222.2222,0.9991
580.6452,444.4444,2.1610
580.6452,666.6667,-0.6974
580.6452,888.8889,0.3433
580.6452,1111.1111,1.4383
580.6452,1333.3333,-1.5207
580.6452,1555.5556,-0.4235
580.6452,1777.7778,0.2120
580.6452,2000.0000,0.2120
629.0323,0.0000,1.2052
629.0323,222.2222,1.5564
629.0323,444.4444,2.5442
629.0323,666.6667,0.2664
629.0323,888.8889,1.1240
629.0323,1111.1111,2.0260
629.0323,1333.3333,-0.3745
629.0323,1555.5556,0.5494
629.0323,1777.7778,1.0020
629.0323,2000.0000,1.0020
677.4194,0.0000,1.6409
677.4194,222.2222,1.8571
677.4194,444.4444,2.7068
677.4194,666.6667,0.9931
677.4194,888.8889,1.7062
677.4194,1111.1111,2.4439
677.4194,1333.3333,0.5819
677.4194,1555.5556,1.3595
677.4194,1777.7778,1.6446
677.4194,2000.0000,1.6446
725.8065,0.0000,1.8698
725.8065,222.2222,1.9659
725.8065,444.4444,2.6847
725.8065,666.6667,1.4090
725.8065,888.8889,1.9860
725.8065,1111.1111,2.5662
725.8065,1333.3333,1.1383
725.8065,1555.5556,1.7765
725.8065,1777.7778,1.9031
