y,0,1,2,3,4,5,6,7,8
24.193548387096776,-7.8435,-7.1071,-6.3116,-7.6767,-6.7969,-5.9461,-7.5377,-6.9524,-6.4757
72.58064516129033,-7.5707,-6.5807,-5.5785,-7.5638,-6.3358,-5.1776,-7.4559,-6.5417,-5.7845
120.96774193548387,-5.5302,-4.4565,-3.3282,-5.6951,-4.2986,-2.9543,-5.5712,-4.5553,-3.6802
169.35483870967744,-3.8542,-2.8288,-1.7282,-4.0943,-2.6455,-1.2529,-3.9322,-2.858,-1.9689
217.74193548387098,-2.5713,-1.6863,-0.6205,-2.795,-1.4461,-0.0637,-2.4754,-1.5378,-0.7125
266.1290322580645,-2.0122,-1.039,0.1548,-2.2858,-0.8364,0.6858,-1.8936,-0.897,0.0204
314.5161290322581,-1.6509,-0.6024,0.6716,-2.0741,-0.5212,1.1159,-1.7273,-0.6318,0.3986
362.90322580645164,-1.1282,0.0221,1.3995,-1.7073,-0.0279,1.7406,-1.4351,-0.2005,0.9763
411.2903225806452,-0.4282,0.8348,2.3156,-1.1751,0.6289,2.5202,-1.0049,0.3714,1.696
459.6774193548387,0.4929,1.774,3.2724,-0.4053,1.4214,3.3412,-0.3429,1.0939,2.4948
508.0645161290323,1.3467,2.5676,3.9846,0.4237,2.1912,4.0362,0.4412,1.8724,3.2668
556.4516129032259,2.2231,3.3183,4.6215,1.325,2.9637,4.6876,1.3421,2.7027,4.0408
604.8387096774194,3.1119,4.0164,5.1084,2.3725,3.7997,5.2934,2.4879,3.6793,4.8392
653.2258064516129,3.4939,4.1965,5.0866,2.9002,4.116,5.3967,3.143,4.1695,5.1655
701.6129032258065,3.4335,3.9785,4.7018,3.048,4.0906,5.1865,3.4632,4.3485,5.1929
750.0,3.0676,3.4685,4.0318,2.785,3.6633,4.5818,3.2838,4.0335,4.7337
798.3870967741937,2.3813,2.6693,3.1143,2.1592,2.8945,3.6705,2.6838,3.3095,3.8921
846.7741935483872,1.6646,1.8717,2.2261,1.4846,2.0956,2.748,2.0012,2.5141,2.9938
895.1612903225807,1.0886,1.2621,1.5637,0.9305,1.4637,2.0313,1.4086,1.8578,2.278
943.5483870967743,0.5701,0.7125,0.9766,0.4439,0.8894,1.3772,0.8657,1.2428,1.61
991.9354838709678,0.2709,0.417,0.6563,0.157,0.5432,0.9598,0.4768,0.8122,1.1381
1040.3225806451615,-0.0037,0.1492,0.375,-0.097,0.2304,0.5833,0.123,0.4135,0.7001
1088.7096774193549,-0.2,-0.0693,0.1148,-0.2896,-0.0375,0.2348,-0.1637,0.0633,0.2925
1137.0967741935485,-0.37,-0.2619,-0.1171,-0.4671,-0.2797,-0.0789,-0.4328,-0.2621,-0.0861
1185.483870967742,-0.6363,-0.5351,-0.4135,-0.7339,-0.5865,-0.4324,-0.7623,-0.6287,-0.4873
1233.8709677419356,-0.9298,-0.8358,-0.7331,-1.0184,-0.9049,-0.7902,-1.0934,-0.9928,-0.8837
1282.258064516129,-1.3138,-1.2279,-1.1444,-1.3949,-1.3101,-1.2306,-1.5033,-1.4321,-1.3535
1330.6451612903227,-1.794,-1.7175,-1.6494,-1.8657,-1.8036,-1.7494,-1.9997,-1.9494,-1.8915
1379.0322580645163,-2.3643,-2.2939,-2.2401,-2.4369,-2.3889,-2.3548,-2.5879,-2.5498,-2.5088
1427.4193548387098,-3.0293,-2.9626,-2.9183,-3.0959,-3.056,-3.035,-3.2527,-3.2213,-3.192
1475.8064516129034,-3.8582,-3.7941,-3.7537,-3.9279,-3.8886,-3.87,-4.0834,-4.0487,-4.0178
