y,x,val
0.0000,0.0000,-6.5934
0.0000,222.2222,-5.7694
0.0000,444.4444,-4.7618
0.0000,666.6667,-5.8642
0.0000,888.8889,-4.6891
0.0000,1111.1111,-3.5385
0.0000,1333.3333,-4.8636
0.0000,1555.5556,-4.0839
0.0000,1777.7778,-3.5722
0.0000,2000.0000,-3.5722
48.3871,0.0000,-6.3423
48.3871,222.2222,-5.2449
48.3871,444.4444,-4.0191
48.3871,666.6667,-5.7670
48.3871,888.8889,-4.2805
48.3871,1111.1111,-2.8605
48.3871,1333.3333,-4.9001
48.3871,1555.5556,-3.7847
48.3871,1777.7778,-2.9772
48.3871,2000.0000,-2.9772
96.7742,0.0000,-4.3183
96.7742,222.2222,-3.1279
96.7742,444.4444,-1.7917
96.7742,666.6667,-3.9712
96.7742,888.8889,-2.3858
96.7742,1111.1111,-0.8519
96.7742,1333.3333,-3.2862
96.7742,1555.5556,-2.0896
96.7742,1777.7778,-1.1526
96.7742,2000.0000,-1.1526
145.1613,0.0000,-2.6957
145.1613,222.2222,-1.5568
145.1613,444.4444,-0.2784
145.1613,666.6667,-2.5159
145.1613,888.8889,-0.9552
145.1613,1111.1111,0.5478
145.1613,1333.3333,-2.0121
145.1613,1555.5556,-0.7899
145.1613,1777.7778,0.1628
145.1613,2000.0000,0.1628
193.5484,0.0000,-1.5243
193.5484,222.2222,-0.5365
193.5484,444.4444,0.6719
193.5484,666.6667,-1.4323
193.5484,888.8889,-0.0444
193.5484,1111.1111,1.3740
193.5484,1333.3333,-0.9797
193.5484,1555.5556,0.0700
193.5484,1777.7778,0.9544
193.5484,2000.0000,0.9544
241.9355,0.0000,-1.1396
241.9355,222.2222,-0.0774
241.9355,444.4444,1.2244
241.9355,666.6667,-1.1984
241.9355,888.8889,0.2260
241.9355,1111.1111,1.7190
241.9355,1333.3333,-0.8576
241.9355,1555.5556,0.2164
241.9355,1777.7778,1.1855
241.9355,2000.0000,1.1855
290.3226,0.0000,-1.0099
290.3226,222.2222,0.1134
290.3226,444.4444,1.4651
290.3226,666.6667,-1.3068
290.3226,888.8889,0.1681
290.3226,1111.1111,1.7211
290.3226,1333.3333,-1.1671
290.3226,1555.5556,-0.0263
290.3226,1777.7778,1.0474
290.3226,2000.0000,1.0474
338.7097,0.0000,-0.7641
338.7097,222.2222,0.4482
338.7097,444.4444,1.8792
338.7097,666.6667,-1.2882
338.7097,888.8889,0.2716
338.7097,1111.1111,1.9117
338.7097,1333.3333,-1.3499
338.7097,1555.5556,-0.0998
338.7097,1777.7778,1.1109
338.7097,2000.0000,1.1109
387.0968,0.0000,-0.3712
387.0968,222.2222,0.9434
387.0968,444.4444,2.4607
387.0968,666.6667,-1.1146
387.0968,888.8889,0.5397
387.0968,1111.1111,2.2685
387.0968,1333.3333,-1.3773
387.0968,1555.5556,-0.0153
387.0968,1777.7778,1.3318
387.0968,2000.0000,1.3318
435.4839,0.0000,0.2293
435.4839,222.2222,1.5547
435.4839,444.4444,3.0799
435.4839,666.6667,-0.6964
435.4839,888.8889,0.9614
435.4839,1111.1111,2.6949
435.4839,1333.3333,-1.1385
435.4839,1555.5556,0.2511
435.4839,1777.7778,1.6589
435.4839,2000.0000,1.6589
483.8710,0.0000,0.7671
483.8710,222.2222,2.0286
483.8710,444.4444,3.4692
483.8710,666.6667,-0.1960
483.8710,888.8889,1.3933
483.8710,1111.1111,3.0381
483.8710,1333.3333,-0.7271
483.8710,1555.5556,0.6187
483.8710,1777.7778,1.9983
483.8710,2000.0000,1.9983
