y,x,val
0.0000,0.0000,-5.6434
0.0000,222.2222,-4.4035
0.0000,444.4444,-2.7736
0.0000,666.6667,-3.1652
0.0000,888.8889,-1.4445
0.0000,1111.1111,0.0723
0.0000,1333.3333,-0.9921
0.0000,1555.5556,-0.1003
0.0000,1777.7778,0.4071
0.0000,2000.0000,0.4071
48.3871,0.0000,-5.6851
48.3871,222.2222,-4.1223
48.3871,444.4444,-2.2893
48.3871,666.6667,-3.2868
48.3871,888.8889,-1.2658
48.3871,1111.1111,0.5131
48.3871,1333.3333,-1.2122
48.3871,1555.5556,0.0461
48.3871,1777.7778,0.8694
48.3871,2000.0000,0.8694
96.7742,0.0000,-4.1150
96.7742,222.2222,-2.4707
96.7742,444.4444,-0.5643
96.7742,666.6667,-2.0095
96.7742,888.8889,0.0944
96.7742,1111.1111,1.9959
96.7742,1333.3333,-0.0735
96.7742,1555.5556,1.3167
96.7742,1777.7778,2.3104
96.7742,2000.0000,2.3104
145.1613,0.0000,-3.0634
145.1613,222.2222,-1.5006
145.1613,444.4444,0.3080
145.1613,666.6667,-1.2258
145.1613,888.8889,0.8371
145.1613,1111.1111,2.7169
145.1613,1333.3333,0.5593
145.1613,1555.5556,2.0210
145.1613,1777.7778,3.0719
145.1613,2000.0000,3.0719
193.5484,0.0000,-2.5150
193.5484,222.2222,-1.1352
193.5484,444.4444,0.5667
193.5484,666.6667,-0.8644
193.5484,888.8889,1.0094
193.5484,1111.1111,2.8095
193.5484,1333.3333,0.8830
193.5484,1555.5556,2.2071
193.5484,1777.7778,3.2245
193.5484,2000.0000,3.2245
241.9355,0.0000,-2.7414
241.9355,222.2222,-1.3153
241.9355,444.4444,0.4486
241.9355,666.6667,-1.3289
241.9355,888.8889,0.5654
241.9355,1111.1111,2.4402
241.9355,1333.3333,0.3056
241.9355,1555.5556,1.6780
241.9355,1777.7778,2.8066
241.9355,2000.0000,2.8066
290.3226,0.0000,-3.1570
290.3226,222.2222,-1.6927
290.3226,444.4444,0.0941
290.3226,666.6667,-2.0578
290.3226,888.8889,-0.1290
290.3226,1111.1111,1.8019
290.3226,1333.3333,-0.6370
290.3226,1555.5556,0.8175
290.3226,1777.7778,2.0691
290.3226,2000.0000,2.0691
338.7097,0.0000,-3.3505
338.7097,222.2222,-1.8154
338.7097,444.4444,0.0268
338.7097,666.6667,-2.5444
338.7097,888.8889,-0.5477
338.7097,1111.1111,1.4632
338.7097,1333.3333,-1.3473
338.7097,1555.5556,0.2253
338.7097,1777.7778,1.6254
338.7097,2000.0000,1.6254
387.0968,0.0000,-3.2654
387.0968,222.2222,-1.6424
387.0968,444.4444,0.2633
387.0968,666.6667,-2.7401
387.0968,888.8889,-0.6675
387.0968,1111.1111,1.4222
387.0968,1333.3333,-1.7742
387.0968,1555.5556,-0.0852
387.0968,1777.7778,1.4574
387.0968,2000.0000,1.4574
435.4839,0.0000,-2.8306
435.4839,222.2222,-1.2090
435.4839,444.4444,0.6810
435.4839,666.6667,-2.5495
435.4839,888.8889,-0.4941
435.4839,1111.1111,1.5877
435.4839,1333.3333,-1.8006
435.4839,1555.5556,-0.0819
435.4839,1777.7778,1.5236
435.4839,2000.0000,1.5236
483.8710,0.0000,-2.3206
483.8710,222.2222,-0.7749
483.8710,444.4444,1.0050
483.8710,666.6667,-2.1428
483.8710,888.8889,-0.1795
483.8710,1111.1111,1.7984
483.8710,1333.3333,-1.5285
483.8710,1555.5556,0.1466
483.8710,1777.7778,1.7238
483.8710,2000.0000,1.7238
532.2581,0.0000,-1.6473
532.2581,222.2222,-0.2391
532.2581,444.4444,1.4025
532.2581,666.6667,-1.5107
532.2581,888.8889,0.2946
532.2581,1111.1111,2.1247
532.2581,1333.3333,-0.9791
532.2581,1555.5556,0.5871
532.2581,1777.7778,2.0838
532.2581,2000.0000,2.0838
580.6452,0.0000,-0.8290
580.6452,222.2222,0.3798
580.6452,444.4444,1.7892
580.6452,666.6667,-0.5911
580.6452,888.8889,0.9738
580.6452,1111.1111,2.5453
580.6452,1333.3333,-0.0478
580.6452,1555.5556,1.3172
580.6452,1777.7778,2.6155
580.6452,2000.0000,2.6155
629.0323,0.0000,-0.3935
629.0323,222.2222,0.6068
629.0323,444.4444,1.7948
629.0323,666.6667,-0.0634
629.0323,888.8889,1.2597
629.0323,1111.1111,2.5873
629.0323,1333.3333,0.5155
629.0323,1555.5556,1.6877
629.0323,1777.7778,2.8047
629.0323,2000.0000,2.8047
677.4194,0.0000,-0.2847
677.4194,222.2222,0.5518
677.4194,444.4444,1.5532
677.4194,666.6667,0.1988
677.4194,888.8889,1.3157
677.4194,1111.1111,2.4250
677.4194,1333.3333,0.8517
677.4194,1555.5556,1.8566
677.4194,1777.7778,2.8061
677.4194,2000.0000,2.8061
725.8065,0.0000,-0.3746
