y,0,1,2,3,4,5,6,7,8
24.193548387096776,-6.5934,-5.7694,-4.7618,-5.8642,-4.6891,-3.5385,-4.8636,-4.0839,-3.5722
72.58064516129033,-6.3423,-5.2449,-4.0191,-5.767,-4.2805,-2.8605,-4.9001,-3.7847,-2.9772
120.96774193548387,-4.3183,-3.1279,-1.7917,-3.9712,-2.3858,-0.8519,-3.2862,-2.0896,-1.1526
169.35483870967744,-2.6957,-1.5568,-0.2784,-2.5159,-0.9552,0.5478,-2.0121,-0.7899,0.1628
217.74193548387098,-1.5243,-0.5365,0.6719,-1.4323,-0.0444,1.374,-0.9797,0.07,0.9544
266.1290322580645,-1.1396,-0.0774,1.2244,-1.1984,0.226,1.719,-0.8576,0.2164,1.1855
314.5161290322581,-1.0099,0.1134,1.4651,-1.3068,0.1681,1.7211,-1.1671,-0.0263,1.0474
362.90322580645164,-0.7641,0.4482,1.8792,-1.2882,0.2716,1.9117,-1.3499,-0.0998,1.1109
411.2903225806452,-0.3712,0.9434,2.4607,-1.1146,0.5397,2.2685,-1.3773,-0.0153,1.3318
459.6774193548387,0.2293,1.5547,3.0799,-0.6964,0.9614,2.6949,-1.1385,0.2511,1.6589
508.0645161290323,0.7671,2.0286,3.4692,-0.196,1.3933,3.0381,-0.7271,0.6187,1.9983
556.4516129032259,1.3532,2.4874,3.815,0.4141,1.8715,3.3874,-0.1437,1.097,2.3996
604.8387096774194,1.9967,2.9389,4.0576,1.2195,2.4653,3.7463,0.7428,1.7925,2.9047
653.2258064516129,2.1899,2.9298,3.8491,1.5642,2.6008,3.6674,1.2087,2.0824,3.0246
701.6129032258065,2.0042,2.5869,3.3427,1.5955,2.4637,3.3481,1.4188,2.1479,2.9366
750.0,1.58,2.0197,2.6196,1.2861,1.9981,2.7126,1.2139,1.8096,2.4548
798.3870967741937,0.9025,1.231,1.7172,0.684,1.2648,1.8499,0.6738,1.1532,1.683
846.7741935483872,0.2592,0.5082,0.9081,0.099,0.5718,1.0523,0.1342,0.5135,0.9443
895.1612903225807,-0.1833,0.0318,0.3809,-0.3075,0.1089,0.5303,-0.2389,0.0952,0.4722
943.5483870967743,-0.5141,-0.3347,-0.0262,-0.5994,-0.2439,0.13,-0.4959,-0.2098,0.1221
991.9354838709678,-0.5791,-0.4069,-0.1342,-0.6553,-0.3272,0.0129,-0.5481,-0.2747,0.0264
1040.3225806451615,-0.5893,-0.4208,-0.1722,-0.6472,-0.3457,-0.0318,-0.5334,-0.2761,-0.004
1088.7096774193549,-0.508,-0.3654,-0.1607,-0.5527,-0.2991,-0.0329,-0.4406,-0.2226,-0.0007
1137.0967741935485,-0.3979,-0.2765,-0.1077,-0.4319,-0.2207,0.0007,-0.3368,-0.1566,0.0168
1185.483870967742,-0.3919,-0.2735,-0.122,-0.4047,-0.2159,-0.0206,-0.3148,-0.1585,-0.017
1233.8709677419356,-0.4314,-0.3157,-0.1766,-0.414,-0.2457,-0.0748,-0.3285,-0.1962,-0.0856
1282.258064516129,-0.5898,-0.4778,-0.3522,-0.547,-0.3975,-0.2513,-0.4653,-0.3567,-0.2764
1330.6451612903227,-0.8816,-0.7757,-0.6609,-0.816,-0.6828,-0.5554,-0.7416,-0.6508,-0.5914
1379.0322580645163,-1.3082,-1.2059,-1.1027,-1.2351,-1.1126,-1.0024,-1.1693,-1.0897,-1.0478
1427.4193548387098,-1.8792,-1.7797,-1.6851,-1.7974,-1.6827,-1.5858,-1.738,-1.666,-1.6361
1475.8064516129034,-2.667,-2.5712,-2.4813,-2.5916,-2.4798,-2.3884,-2.5401,-2.4677,-2.4345
