y,x,val
0.0000,0.0000,-2.6568
0.0000,222.2222,-1.6686
0.0000,444.4444,-0.5162
0.0000,666.6667,-1.5105
0.0000,888.8889,-0.3004
0.0000,1111.1111,0.7914
0.0000,1333.3333,-0.6795
0.0000,1555.5556,-0.1112
0.0000,1777.7778,0.1705
0.0000,2000.0000,0.1705
48.3871,0.0000,-2.7040
48.3871,222.2222,-1.4874
48.3871,444.4444,-0.1692
48.3871,666.6667,-1.8532
48.3871,888.8889,-0.3585
48.3871,1111.1111,0.9962
48.3871,1333.3333,-1.1769
48.3871,1555.5556,-0.2402
48.3871,1777.7778,0.3771
48.3871,2000.0000,0.3771
96.7742,0.0000,-1.4542
96.7742,222.2222,-0.2415
96.7742,444.4444,1.1131
96.7742,666.6667,-1.0544
96.7742,888.8889,0.5154
96.7742,1111.1111,1.9905
96.7742,1333.3333,-0.5431
96.7742,1555.5556,0.5355
96.7742,1777.7778,1.3778
96.7742,2000.0000,1.3778
145.1613,0.0000,-0.6729
145.1613,222.2222,0.4093
145.1613,444.4444,1.6190
145.1613,666.6667,-0.6798
145.1613,888.8889,0.8214
145.1613,1111.1111,2.2556
145.1613,1333.3333,-0.3804
145.1613,1555.5556,0.7762
145.1613,1777.7778,1.7072
145.1613,2000.0000,1.7072
193.5484,0.0000,-0.2184
193.5484,222.2222,0.6483
193.5484,444.4444,1.7337
193.5484,666.6667,-0.4804
193.5484,888.8889,0.8145
193.5484,1111.1111,2.1526
193.5484,1333.3333,-0.2668
193.5484,1555.5556,0.7473
193.5484,1777.7778,1.6732
193.5484,2000.0000,1.6732
241.9355,0.0000,-0.5179
241.9355,222.2222,0.4332
241.9355,444.4444,1.6126
241.9355,666.6667,-0.9135
241.9355,888.8889,0.4353
241.9355,1111.1111,1.8769
241.9355,1333.3333,-0.7293
241.9355,1555.5556,0.3422
241.9355,1777.7778,1.3570
241.9355,2000.0000,1.3570
290.3226,0.0000,-0.9072
290.3226,222.2222,0.1567
290.3226,444.4444,1.4120
290.3226,666.6667,-1.4376
290.3226,888.8889,-0.0048
290.3226,1111.1111,1.5367
290.3226,1333.3333,-1.3408
290.3226,1555.5556,-0.1760
290.3226,1777.7778,0.9136
290.3226,2000.0000,0.9136
338.7097,0.0000,-1.1852
338.7097,222.2222,-0.0316
338.7097,444.4444,1.3444
338.7097,666.6667,-1.8420
338.7097,888.8889,-0.2572
338.7097,1111.1111,1.4386
338.7097,1333.3333,-1.7539
338.7097,1555.5556,-0.4381
338.7097,1777.7778,0.8172
338.7097,2000.0000,0.8172
387.0968,0.0000,-1.3942
387.0968,222.2222,-0.1076
387.0968,444.4444,1.3768
387.0968,666.6667,-2.1932
387.0968,888.8889,-0.4789
387.0968,1111.1111,1.3534
387.0968,1333.3333,-2.1696
387.0968,1555.5556,-0.7014
387.0968,1777.7778,0.6813
387.0968,2000.0000,0.6813
435.4839,0.0000,-1.2448
435.4839,222.2222,0.0270
435.4839,444.4444,1.5058
435.4839,666.6667,-2.2695
435.4839,888.8889,-0.5442
435.4839,1111.1111,1.3107
435.4839,1333.3333,-2.3723
