y,x,val
0.0000,0.0000,1517.7253
0.0000,222.2222,1518.1872
0.0000,444.4444,1518.7949
0.0000,666.6667,1519.4673
0.0000,888.8889,1520.1016
0.0000,1111.1111,1520.6135
0.0000,1333.3333,1520.9356
0.0000,1555.5556,1521.0065
0.0000,1777.7778,1520.8027
0.0000,2000.0000,1520.8027
48.3871,0.0000,1517.0496
48.3871,222.2222,1517.4977
48.3871,444.4444,1518.0952
48.3871,666.6667,1518.7687
48.3871,888.8889,1519.4194
48.3871,1111.1111,1519.9590
48.3871,1333.3333,1520.3143
48.3871,1555.5556,1520.4214
48.3871,1777.7778,1520.2343
48.3871,2000.0000,1520.2343
96.7742,0.0000,1515.5557
96.7742,222.2222,1515.9353
96.7742,444.4444,1516.4835
96.7742,666.6667,1517.1280
96.7742,888.8889,1517.7748
96.7742,1111.1111,1518.3339
96.7742,1333.3333,1518.7280
96.7742,1555.5556,1518.8919
96.7742,1777.7778,1518.7777
96.7742,2000.0000,1518.7777
145.1613,0.0000,1513.4462
145.1613,222.2222,1513.7466
145.1613,444.4444,1514.2364
145.1613,666.6667,1514.8431
145.1613,888.8889,1515.4764
145.1613,1111.1111,1516.0464
145.1613,1333.3333,1516.4733
145.1613,1555.5556,1516.6908
145.1613,1777.7778,1516.6529
145.1613,2000.0000,1516.6529
193.5484,0.0000,1510.9389
193.5484,222.2222,1511.1939
193.5484,444.4444,1511.6365
193.5484,666.6667,1512.2049
193.5484,888.8889,1512.8170
193.5484,1111.1111,1513.3862
193.5484,1333.3333,1513.8317
193.5484,1555.5556,1514.0835
193.5484,1777.7778,1514.0920
193.5484,2000.0000,1514.0920
241.9355,0.0000,1508.1297
241.9355,222.2222,1508.3465
241.9355,444.4444,1508.7500
241.9355,666.6667,1509.2852
241.9355,888.8889,1509.8772
241.9355,1111.1111,1510.4433
241.9355,1333.3333,1510.9031
241.9355,1555.5556,1511.1839
241.9355,1777.7778,1511.2306
241.9355,2000.0000,1511.2306
290.3226,0.0000,1505.1049
290.3226,222.2222,1505.2849
290.3226,444.4444,1505.6528
290.3226,666.6667,1506.1583
290.3226,888.8889,1506.7324
290.3226,1111.1111,1507.2959
290.3226,1333.3333,1507.7701
290.3226,1555.5556,1508.0804
290.3226,1777.7778,1508.1638
290.3226,2000.0000,1508.1638
338.7097,0.0000,1501.9493
338.7097,222.2222,1502.0926
338.7097,444.4444,1502.4245
338.7097,666.6667,1502.8990
338.7097,888.8889,1503.4527
338.7097,1111.1111,1504.0107
338.7097,1333.3333,1504.4963
338.7097,1555.5556,1504.8343
338.7097,1777.7778,1504.9544
338.7097,2000.0000,1504.9544
387.0968,0.0000,1498.7456
387.0968,222.2222,1498.8506
387.0968,444.4444,1499.1454
387.0968,666.6667,1499.5876
387.0968,888.8889,1500.1184
387.0968,1111.1111,1500.6668
387.0968,1333.3333,1501.1581
387.0968,1555.5556,1501.5167
387.0968,1777.7778,1501.6669
387.0968,2000.0000,1501.6669
435.4839,0.0000,1495.5797
435.4839,222.2222,1495.6438
435.4839,444.4444,1495.8980
435.4839,666.6667,1496.3035
435.4839,888.8889,1496.8056
435.4839,1111.1111,1497.3367
435.4839,1333.3333,1497.8252
435.4839,1555.5556,1498.1960
435.4839,1777.7778,1498.3717
435.4839,2000.0000,1498.3717
483.8710,0.0000,1492.5423
483.8710,222.2222,1492.5607
483.8710,444.4444,1492.7673
483.8710,666.6667,1493.1269
483.8710,888.8889,1493.5885
483.8710,1111.1111,1494.0888
483.8710,1333.3333,1494.5609
483.8710,1555.5556,1494.9355
483.8710,1777.7778,1495.1420
483.8710,2000.0000,1495.1420
532.2581,0.0000,1489.7318
532.2581,222.2222,1489.7034
532.2581,444.4444,1489.8607
532.2581,666.6667,1490.1705
532.2581,888.8889,1490.5852
532.2581,1111.1111,1491.0460
532.2581,1333.3333,1491.4915
532.2581,1555.5556,1491.8601
532.2581,1777.7778,1492.0911
532.2581,2000.0000,1492.0911
580.6452,0.0000,1487.2475
580.6452,222.2222,1487.1768
580.6452,444.4444,1487.2878
580.6452,666.6667,1487.5474
580.6452,888.8889,1487.9112
580.6452,1111.1111,1488.3249
580.6452,1333.3333,1488.7334
580.6452,1555.5556,1489.0834
580.6452,1777.7778,1489.3271
580.6452,2000.0000,1489.3271
629.0323,0.0000,1485.1800
629.0323,222.2222,1485.0895
629.0323,444.4444,1485.1628
629.0323,666.6667,1485.3726
629.0323,888.8889,1485.6804
629.0323,1111.1111,1486.0377
629.0323,1333.3333,1486.3967
629.0323,1555.5556,1486.7128
629.0323,1777.7778,1486.9509
629.0323,2000.0000,1486.9509
677.4194,0.0000,1483.5443
677.4194,222.2222,1483.4419
677.4194,444.4444,1483.4850
677.4194,666.6667,1483.6500
677.4194,888.8889,1483.9036
