y,x,val
0.0000,0.0000,-2.7904
0.0000,222.2222,-1.8293
0.0000,444.4444,-0.7234
0.0000,666.6667,-1.7805
0.0000,888.8889,-0.6296
0.0000,1111.1111,0.4174
0.0000,1333.3333,-1.0747
0.0000,1555.5556,-0.4859
0.0000,1777.7778,-0.1464
0.0000,2000.0000,-0.1464
48.3871,0.0000,-2.8161
48.3871,222.2222,-1.6133
48.3871,444.4444,-0.3179
48.3871,666.6667,-2.0370
48.3871,888.8889,-0.5781
48.3871,1111.1111,0.7484
48.3871,1333.3333,-1.4377
48.3871,1555.5556,-0.4871
48.3871,1777.7778,0.1732
48.3871,2000.0000,0.1732
96.7742,0.0000,-1.4034
96.7742,222.2222,-0.1721
96.7742,444.4444,1.1851
96.7742,666.6667,-0.9929
96.7742,888.8889,0.5621
96.7742,1111.1111,2.0245
96.7742,1333.3333,-0.5145
96.7742,1555.5556,0.5698
96.7742,1777.7778,1.4177
96.7742,2000.0000,1.4177
145.1613,0.0000,-0.5558
145.1613,222.2222,0.5611
145.1613,444.4444,1.8166
145.1613,666.6667,-0.4424
145.1613,888.8889,1.0890
145.1613,1111.1111,2.5448
145.1613,1333.3333,-0.0780
145.1613,1555.5556,1.0829
145.1613,1777.7778,2.0042
145.1613,2000.0000,2.0042
193.5484,0.0000,-0.1531
193.5484,222.2222,0.7912
193.5484,444.4444,1.9529
193.5484,666.6667,-0.1872
193.5484,888.8889,1.1734
193.5484,1111.1111,2.5638
193.5484,1333.3333,0.1781
193.5484,1555.5556,1.1999
193.5484,1777.7778,2.0802
193.5484,2000.0000,2.0802
241.9355,0.0000,-0.4941
241.9355,222.2222,0.5151
241.9355,444.4444,1.7606
241.9355,666.6667,-0.7012
241.9355,888.8889,0.7047
241.9355,1111.1111,2.1912
241.9355,1333.3333,-0.3874
241.9355,1555.5556,0.6884
241.9355,1777.7778,1.6729
241.9355,2000.0000,1.6729
290.3226,0.0000,-1.0279
290.3226,222.2222,0.0375
290.3226,444.4444,1.3305
290.3226,666.6667,-1.4758
290.3226,888.8889,-0.0040
290.3226,1111.1111,1.5691
290.3226,1333.3333,-1.2876
290.3226,1555.5556,-0.1119
290.3226,1777.7778,0.9957
290.3226,2000.0000,0.9957
338.7097,0.0000,-1.3714
338.7097,222.2222,-0.2200
338.7097,444.4444,1.1517
338.7097,666.6667,-2.0438
338.7097,888.8889,-0.4703
338.7097,1111.1111,1.2177
338.7097,1333.3333,-1.9770
338.7097,1555.5556,-0.6574
338.7097,1777.7778,0.6069
338.7097,2000.0000,0.6069
387.0968,0.0000,-1.4874
387.0968,222.2222,-0.2376
387.0968,444.4444,1.2195
387.0968,666.6667,-2.3773
387.0968,888.8889,-0.6919
387.0968,1111.1111,1.1129
387.0968,1333.3333,-2.4308
387.0968,1555.5556,-0.9665
387.0968,1777.7778,0.4495
387.0968,2000.0000,0.4495
435.4839,0.0000,-1.3077
435.4839,222.2222,-0.0546
435.4839,444.4444,1.4054
435.4839,666.6667,-2.3899
435.4839,888.8889,-0.6873
435.4839,1111.1111,1.1469
435.4839,1333.3333,-2.5523
435.4839,1555.5556,-1.0291
435.4839,1777.7778,0.4617
435.4839,2000.0000,0.4617
483.8710,0.0000,-1.0912
483.8710,222.2222,0.0834
483.8710,444.4444,1.4448
483.8710,666.6667,-2.2467
483.8710,888.8889,-0.6102
483.8710,1111.1111,1.1488
483.8710,1333.3333,-2.4590
483.8710,1555.5556,-0.9506
483.8710,1777.7778,0.5367
483.8710,2000.0000,0.5367
532.2581,0.0000,-0.7083
532.2581,222.2222,0.3209
532.2581,444.4444,1.5516
532.2581,666.6667,-1.8882
532.2581,888.8889,-0.3884
532.2581,1111.1111,1.2458
532.2581,1333.3333,-2.1147
532.2581,1555.5556,-0.6915
532.2581,1777.7778,0.7396
532.2581,2000.0000,0.7396
580.6452,0.0000,-0.1240
580.6452,222.2222,0.6973
580.6452,444.4444,1.7027
580.6452,666.6667,-1.1893
580.6452,888.8889,0.0876
580.6452,1111.1111,1.4803
580.6452,1333.3333,-1.3541
580.6452,1555.5556,-0.1185
580.6452,1777.7778,1.1300
580.6452,2000.0000,1.1300
629.0323,0.0000,0.1854
629.0323,222.2222,0.8074
629.0323,444.4444,1.6031
629.0323,666.6667,-0.7530
629.0323,888.8889,0.2944
629.0323,1111.1111,1.4520
629.0323,1333.3333,-0.8567
629.0323,1555.5556,0.1867
629.0323,1777.7778,1.2553
629.0323,2000.0000,1.2553
677.4194,0.0000,0.2602
677.4194,222.2222,0.7314
677.4194,444.4444,1.3577
677.4194,666.6667,-0.4765
677.4194,888.8889,0.3799
677.4194,1111.1111,1.3291
677.4194,1333.3333,-0.4771
677.4194,1555.5556,0.3981
677.4194,1777.7778,1.2982
677.4194,2000.0000,1.2982
725.8065,0.0000,0.2092
725.8065,222.2222,0.5463
725.8065,444.4444,1.0151
725.8065,666.6667,-0.4179
725.8065,888.8889,0.2608
725.8065,1111.1111,1.0121
725.8065,1333.3333,-0.3937
725.8065,1555.5556,0.3208
725.8065,1777.7778,1.0590
725.8065,2000.0000,1.0590
774.1935,0.0000,-0.0141
774.1935,222.2222,0.2312
774.1935,444.4444,0.5913
774.1935,666.6667,-0.5495
774.1935,888.8889,-0.0217
774.1935,1111.1111,0.5718
774.1935,1333.3333,-0.5449
774.1935,1555.5556,0.0195
774.1935,1777.7778,0.6135
774.1935,2000.0000,0.6135
822.5806,0.0000,-0.1844
822.5806,222.2222,0.0035
822.5806,444.4444,0.2871
822.5806,666.6667,-0.6333
822.5806,888.8889,-0.2300
822.5806,1111.1111,0.2318
822.5806,1333.3333,-0.6617
822.5806,1555.5556,-0.2355
822.5806,1777.7778,0.2266
822.5806,2000.0000,0.2266
870.9677,0.0000,-0.1967
870.9677,222.2222,-0.0207
870.9677,444.4444,0.2249
870.9677,666.6667,-0.5749
870.9677,888.8889,-0.2411
870.9677,1111.1111,0.1373
870.9677,1333.3333,-0.6407
870.9677,1555.5556,-0.3010
870.9677,1777.7778,0.0723
870.9677,2000.0000,0.0723
919.3548,0.0000,-0.1963
919.3548,222.2222,-0.0395
919.3548,444.4444,0.1790
919.3548,666.6667,-0.5035
919.3548,888.8889,-0.2414
919.3548,1111.1111,0.0691
919.3548,1333.3333,-0.5933
919.3548,1555.5556,-0.3433
919.3548,1777.7778,-0.0480
919.3548,2000.0000,-0.0480
967.7419,0.0000,-0.0541
967.7419,222.2222,0.1143
967.7419,444.4444,0.3134
967.7419,666.6667,-0.3131
967.7419,888.8889,-0.0883
967.7419,1111.1111,0.1699
967.7419,1333.3333,-0.4456
967.7419,1555.5556,-0.2465
967.7419,1777.7778,-0.0161
967.7419,2000.0000,-0.0161
1016.1290,0.0000,0.0066
1016.1290,222.2222,0.1878
1016.1290,444.4444,0.3784
1016.1290,666.6667,-0.1958
1016.1290,888.8889,-0.0064
1016.1290,1111.1111,0.2016
1016.1290,1333.3333,-0.3890
1016.1290,1555.5556,-0.2008
1016.1290,1777.7778,0.0126
1016.1290,2000.0000,0.0126
1064.5161,0.0000,0.0086
1064.5161,222.2222,0.1568
1064.5161,444.4444,0.3128
1064.5161,666.6667,-0.1631
1064.5161,888.8889,-0.0067
1064.5161,1111.1111,0.1653
1064.5161,1333.3333,-0.3233
1064.5161,1555.5556,-0.1664
1064.5161,1777.7778,0.0113
1064.5161,2000.0000,0.0113
1112.9032,0.0000,0.0236
1112.9032,222.2222,0.1413
1112.9032,444.4444,0.2656
1112.9032,666.6667,-0.1318
1112.9032,888.8889,-0.0058
1112.9032,1111.1111,0.1319
1112.9032,1333.3333,-0.2772
1112.9032,1555.5556,-0.1481
1112.9032,1777.7778,-0.0036
1112.9032,2000.0000,-0.0036
1161.2903,0.0000,0.0178
1161.2903,222.2222,0.1224
1161.2903,444.4444,0.2303
1161.2903,666.6667,-0.1188
1161.2903,888.8889,-0.0059
1161.2903,1111.1111,0.1153
1161.2903,1333.3333,-0.2412
1161.2903,1555.5556,-0.1250
1161.2903,1777.7778,0.0025
1161.2903,2000.0000,0.0025
1209.6774,0.0000,0.0092
1209.6774,222.2222,0.1017
1209.6774,444.4444,0.1959
1209.6774,666.6667,-0.1036
1209.6774,888.8889,-0.0041
1209.6774,1111.1111,0.1010
1209.6774,1333.3333,-0.2058
1209.6774,1555.5556,-0.1031
1209.6774,1777.7778,0.0071
1209.6774,2000.0000,0.0071
1258.0645,0.0000,0.0062
1258.0645,222.2222,0.0866
1258.0645,444.4444,0.1655
1258.0645,666.6667,-0.0887
1258.0645,888.8889,-0.0026
1258.0645,1111.1111,0.0849
1258.0645,1333.3333,-0.1742
1258.0645,1555.5556,-0.0856
1258.0645,1777.7778,0.0060
1258.0645,2000.0000,0.0060
1306.4516,0.0000,0.0039
1306.4516,222.2222,0.0717
1306.4516,444.4444,0.1378
1306.4516,666.6667,-0.0748
1306.4516,888.8889,-0.0004
1306.4516,1111.1111,0.0741
1306.4516,1333.3333,-0.1503
1306.4516,1555.5556,-0.0718
1306.4516,1777.7778,0.0081
1306.4516,2000.0000,0.0081
1354.8387,0.0000,0.0084
1354.8387,222.2222,0.0679
1354.8387,444.4444,0.1214
1354.8387,666.6667,-0.0667
1354.8387,888.8889,0.0005
1354.8387,1111.1111,0.0627
1354.8387,1333.3333,-0.1368
1354.8387,1555.5556,-0.0636
1354.8387,1777.7778,0.0050
1354.8387,2000.0000,0.0050
1403.2258,0.0000,0.0069
1403.2258,222.2222,0.0616
1403.2258,444.4444,0.1066
1403.2258,666.6667,-0.0595
1403.2258,888.8889,0.0032
