y,0,1,2,3,4,5,6,7,8
24.193548387096776,-2.6568,-1.6686,-0.5162,-1.5105,-0.3004,0.7914,-0.6795,-0.1112,0.1705
72.58064516129033,-2.704,-1.4874,-0.1692,-1.8532,-0.3585,0.9962,-1.1769,-0.2402,0.3771
120.96774193548387,-1.4542,-0.2415,1.1131,-1.0544,0.5154,1.9905,-0.5431,0.5355,1.3778
169.35483870967744,-0.6729,0.4093,1.619,-0.6798,0.8214,2.2556,-0.3804,0.7762,1.7072
217.74193548387098,-0.2184,0.6483,1.7337,-0.4804,0.8145,2.1526,-0.2668,0.7473,1.6732
266.1290322580645,-0.5179,0.4332,1.6126,-0.9135,0.4353,1.8769,-0.7293,0.3422,1.357
314.5161290322581,-0.9072,0.1567,1.412,-1.4376,-0.0048,1.5367,-1.3408,-0.176,0.9136
362.90322580645164,-1.1852,-0.0316,1.3444,-1.842,-0.2572,1.4386,-1.7539,-0.4381,0.8172
411.2903225806452,-1.3942,-0.1076,1.3768,-2.1932,-0.4789,1.3534,-2.1696,-0.7014,0.6813
459.6774193548387,-1.2448,0.027,1.5058,-2.2695,-0.5442,1.3107,-2.3723,-0.8425,0.633
508.0645161290323,-1.1025,0.0657,1.4198,-2.2712,-0.6275,1.1423,-2.4496,-0.9204,0.5766
556.4516129032259,-0.64,0.3497,1.5549,-1.9025,-0.416,1.2086,-2.1527,-0.7139,0.7526
604.8387096774194,-0.2427,0.5529,1.5471,-1.3513,-0.0858,1.2851,-1.5753,-0.3532,0.9142
653.2258064516129,-0.1179,0.5101,1.3208,-1.0324,0.0012,1.1239,-1.2337,-0.2367,0.8182
701.6129032258065,-0.0216,0.4979,1.1679,-0.6436,0.2096,1.1276,-0.733,0.0763,0.9234
750.0,0.0177,0.4116,0.9255,-0.4866,0.1866,0.9048,-0.5579,0.0856,0.7622
798.3870967741937,0.0623,0.3469,0.7253,-0.4188,0.0867,0.6391,-0.5312,-0.0247,0.5175
846.7741935483872,0.1048,0.3109,0.6028,-0.3192,0.0712,0.5097,-0.412,-0.0122,0.4267
895.1612903225807,0.0312,0.2,0.4573,-0.3292,0.0116,0.3894,-0.3914,-0.0464,0.3437
943.5483870967743,-0.0047,0.1249,0.3448,-0.332,-0.0673,0.2405,-0.4228,-0.147,0.1963
991.9354838709678,0.0109,0.1342,0.3274,-0.2872,-0.0425,0.2339,-0.3659,-0.1045,0.2138
1040.3225806451615,-0.1472,0.0391,0.2529,-0.2834,-0.0435,0.216,-0.3295,-0.1077,0.1237
1088.7096774193549,-0.1619,-0.0054,0.1715,-0.2732,-0.0764,0.1369,-0.315,-0.1315,0.0561
1137.0967741935485,-0.1469,-0.0121,0.1274,-0.2508,-0.0977,0.067,-0.3195,-0.177,-0.0387
1185.483870967742,-0.0958,0.0342,0.1585,-0.1712,-0.0312,0.117,-0.2171,-0.0893,0.0252
1233.8709677419356,-0.1207,0.0189,0.1407,-0.1331,-0.0033,0.1289,-0.1591,-0.0539,0.022
1282.258064516129,-0.1201,0.001,0.1039,-0.1273,-0.014,0.098,-0.1437,-0.0522,0.0087
1330.6451612903227,-0.1395,-0.0181,0.0771,-0.1107,-0.009,0.0884,-0.1223,-0.0473,-0.0112
1379.0322580645163,-0.1424,-0.032,0.0541,-0.1038,-0.0045,0.0853,-0.0965,-0.0237,0.0058
1427.4193548387098,-0.17,-0.061,0.0159,-0.1215,-0.0287,0.0503,-0.1135,-0.0454,-0.0291
1475.8064516129034,-0.1542,-0.037,0.0405,-0.092,0.0004,0.0751,-0.0886,-0.0251,-0.0193
