y,0,1,2,3,4,5,6,7,8
24.193548387096776,8.2256,3.0867,4.5759,3.976,5.0831,6.3892,6.3531,9.3945,16.3284
72.58064516129033,3.9935,-0.3008,1.28,-0.1048,1.2544,2.7304,1.816,5.0137,10.417
120.96774193548387,2.4188,-1.2374,0.3554,-1.5713,-0.1484,1.3688,-0.076,3.043,6.8757
169.35483870967744,1.2668,-1.928,-0.4697,-2.5422,-1.1626,0.2682,-1.4207,1.5786,3.8616
217.74193548387098,0.4132,-2.4537,-1.1254,-3.1348,-1.9354,-0.6324,-2.2195,0.4755,1.2528
266.1290322580645,-0.5616,-2.9087,-1.5338,-3.9178,-2.6809,-1.3366,-3.2378,-0.6375,-1.0934
314.5161290322581,-1.2159,-3.089,-1.7008,-4.4783,-3.183,-1.8025,-4.0938,-1.5329,-3.0906
362.90322580645164,-1.2728,-2.6754,-1.236,-4.4436,-3.0496,-1.5969,-4.327,-1.7498,-4.2729
411.2903225806452,-0.7975,-1.7465,-0.2425,-3.8844,-2.377,-0.8417,-4.008,-1.3978,-4.7894
459.6774193548387,0.1736,-0.4424,1.0522,-2.8109,-1.2769,0.2648,-3.128,-0.5543,-4.7979
508.0645161290323,1.2741,0.8874,2.2831,-1.4843,0.0066,1.4674,-1.8848,0.5949,-4.5022
556.4516129032259,2.5192,2.2715,3.5425,0.0276,1.4127,2.7555,-0.3839,1.9484,-3.9724
604.8387096774194,3.8299,3.6314,4.6843,1.7232,2.9219,4.0404,1.4091,3.5106,-3.2774
653.2258064516129,4.6257,4.4412,5.287,2.8718,3.884,4.7969,2.6913,4.5786,-2.9898
701.6129032258065,4.9193,4.7698,5.4446,3.5604,4.4243,5.1618,3.5666,5.2736,-2.9957
750.0,4.8069,4.6834,5.1947,3.7179,4.443,5.0155,3.8325,5.3742,-3.5263
798.3870967741937,4.2442,4.1568,4.5466,3.3647,3.974,4.4208,3.5433,4.9405,-4.5072
846.7741935483872,3.5044,3.4646,3.7611,2.7992,3.3147,3.6601,3.0248,4.2974,-5.6292
895.1612903225807,2.7547,2.7901,3.0307,2.188,2.6609,2.9499,2.449,3.6546,-6.6577
943.5483870967743,1.9221,2.0154,2.2138,1.4883,1.9142,2.1583,1.7866,2.9244,-7.7217
991.9354838709678,1.1931,1.3606,1.5253,0.8567,1.2692,1.4819,1.1621,2.2687,-8.6581
1040.3225806451615,0.4109,0.6422,0.785,0.1679,0.5667,0.756,0.4849,1.5602,-9.6079
1088.7096774193549,-0.329,-0.0709,0.0266,-0.5042,-0.1424,0.0026,-0.1817,0.8449,-10.5494
1137.0967741935485,-1.0417,-0.7645,-0.7073,-1.1696,-0.8415,-0.7376,-0.8551,0.1293,-11.4576
1185.483870967742,-1.819,-1.5145,-1.4809,-1.9028,-1.5905,-1.5087,-1.5838,-0.624,-12.3582
1233.8709677419356,-2.5674,-2.2435,-2.2289,-2.6074,-2.3105,-2.2492,-2.2828,-1.3456,-13.2006
1282.258064516129,-3.3307,-2.9952,-2.9999,-3.3377,-3.0557,-3.0152,-3.0071,-2.0909,-14.0429
1330.6451612903227,-4.0996,-3.7606,-3.7806,-4.0797,-3.8106,-3.7854,-3.7466,-2.8452,-14.8642
1379.0322580645163,-4.8576,-4.5176,-4.5516,-4.8278,-4.5664,-4.5547,-4.4933,-3.6001,-15.664
1427.4193548387098,-5.6028,-5.2649,-5.3075,-5.5618,-5.3051,-5.3029,-5.2232,-4.3352,-16.4224
1475.8064516129034,-6.4029,-6.0699,-6.1147,-6.3636,-6.1066,-6.1061,-6.0216,-5.1311,-17.2144
