y,x,val
0.0000,0.0000,1519.7325
0.0000,222.2222,1518.6290
0.0000,444.4444,1518.6118
0.0000,666.6667,1519.5406
0.0000,888.8889,1520.4262
0.0000,1111.1111,1521.3313
0.0000,1333.3333,1522.3052
0.0000,1555.5556,1522.3301
0.0000,1777.7778,1521.2772
0.0000,2000.0000,1521.2772
48.3871,0.0000,1519.6995
48.3871,222.2222,1519.6016
48.3871,444.4444,1519.6694
48.3871,666.6667,1519.8041
48.3871,888.8889,1519.9103
48.3871,1111.1111,1520.0169
48.3871,1333.3333,1520.1486
48.3871,1555.5556,1520.2102
48.3871,1777.7778,1520.1028
48.3871,2000.0000,1520.1028
96.7742,0.0000,1517.0889
96.7742,222.2222,1517.1224
96.7742,444.4444,1517.1813
96.7742,666.6667,1517.1972
96.7742,888.8889,1517.1937
96.7742,1111.1111,1517.1886
96.7742,1333.3333,1517.1977
96.7742,1555.5556,1517.2469
96.7742,1777.7778,1517.2667
96.7742,2000.0000,1517.2667
145.1613,0.0000,1514.1758
145.1613,222.2222,1514.1558
145.1613,444.4444,1514.2493
145.1613,666.6667,1514.3368
145.1613,888.8889,1514.3902
145.1613,1111.1111,1514.4423
145.1613,1333.3333,1514.5216
145.1613,1555.5556,1514.6023
145.1613,1777.7778,1514.5640
145.1613,2000.0000,1514.5640
193.5484,0.0000,1511.4076
193.5484,222.2222,1511.3072
193.5484,444.4444,1511.3651
193.5484,666.6667,1511.4946
193.5484,888.8889,1511.5989
193.5484,1111.1111,1511.7039
193.5484,1333.3333,1511.8315
193.5484,1555.5556,1511.8848
193.5484,1777.7778,1511.7769
193.5484,2000.0000,1511.7769
241.9355,0.0000,1509.0026
241.9355,222.2222,1509.0077
241.9355,444.4444,1509.0631
241.9355,666.6667,1509.1006
241.9355,888.8889,1509.1186
241.9355,1111.1111,1509.1356
241.9355,1333.3333,1509.1675
241.9355,1555.5556,1509.2148
241.9355,1777.7778,1509.2082
241.9355,2000.0000,1509.2082
290.3226,0.0000,1506.4788
