y,x,val
0.0000,0.0000,1527.2022
0.0000,222.2222,1520.9270
0.0000,444.4444,1522.5181
0.0000,666.6667,1524.2855
0.0000,888.8889,1524.1652
0.0000,1111.1111,1524.1963
0.0000,1333.3333,1526.5353
0.0000,1555.5556,1526.1400
0.0000,1777.7778,1528.9132
0.0000,2000.0000,1528.9132
48.3871,0.0000,1522.5857
48.3871,222.2222,1516.8502
48.3871,444.4444,1518.3161
48.3871,666.6667,1519.9362
48.3871,888.8889,1519.8376
48.3871,1111.1111,1519.8681
48.3871,1333.3333,1521.9671
48.3871,1555.5556,1521.6121
48.3871,1777.7778,1524.1331
48.3871,2000.0000,1524.1331
96.7742,0.0000,1518.3477
96.7742,222.2222,1513.1074
96.7742,444.4444,1514.4586
96.7742,666.6667,1515.9433
96.7742,888.8889,1515.8647
96.7742,1111.1111,1515.8946
96.7742,1333.3333,1517.7732
96.7742,1555.5556,1517.4554
96.7742,1777.7778,1519.7449
96.7742,2000.0000,1519.7449
145.1613,0.0000,1514.4608
145.1613,222.2222,1509.6748
145.1613,444.4444,1510.9206
145.1613,666.6667,1512.2813
145.1613,888.8889,1512.2211
145.1613,1111.1111,1512.2504
145.1613,1333.3333,1513.9269
145.1613,1555.5556,1513.6431
145.1613,1777.7778,1515.7204
145.1613,2000.0000,1515.7204
193.5484,0.0000,1510.9000
193.5484,222.2222,1506.5301
193.5484,444.4444,1507.6795
193.5484,666.6667,1508.9264
193.5484,888.8889,1508.8830
193.5484,1111.1111,1508.9119
193.5484,1333.3333,1510.4033
193.5484,1555.5556,1510.1507
193.5484,1777.7778,1512.0335
193.5484,2000.0000,1512.0335
241.9355,0.0000,1507.6420
241.9355,222.2222,1503.6527
241.9355,444.4444,1504.7139
241.9355,666.6667,1505.8568
241.9355,888.8889,1505.8287
241.9355,1111.1111,1505.8571
241.9355,1333.3333,1507.1792
241.9355,1555.5556,1506.9551
241.9355,1777.7778,1508.6600
241.9355,2000.0000,1508.6600
290.3226,0.0000,1504.6649
290.3226,222.2222,1501.0235
290.3226,444.4444,1502.0040
290.3226,666.6667,1503.0519
290.3226,888.8889,1503.0379
290.3226,1111.1111,1503.0658
290.3226,1333.3333,1504.2332
290.3226,1555.5556,1504.0351
290.3226,1777.7778,1505.5774
290.3226,2000.0000,1505.5774
338.7097,0.0000,1501.9486
338.7097,222.2222,1498.6246
338.7097,444.4444,1499.5315
338.7097,666.6667,1500.4927
338.7097,888.8889,1500.4915
338.7097,1111.1111,1500.5191
338.7097,1333.3333,1501.5453
338.7097,1555.5556,1501.3710
338.7097,1777.7778,1502.7650
338.7097,2000.0000,1502.7650
387.0968,0.0000,1499.4745
387.0968,222.2222,1496.4396
387.0968,444.4444,1497.2795
387.0968,666.6667,1498.1617
387.0968,888.8889,1498.1722
387.0968,1111.1111,1498.1994
387.0968,1333.3333,1499.0970
387.0968,1555.5556,1498.9443
387.0968,1777.7778,1500.2033
387.0968,2000.0000,1500.2033
435.4839,0.0000,1497.2253
435.4839,222.2222,1494.4531
435.4839,444.4444,1495.2320
435.4839,666.6667,1496.0425
435.4839,888.8889,1496.0635
435.4839,1111.1111,1496.0905
435.4839,1333.3333,1496.8712
435.4839,1555.5556,1496.7382
435.4839,1777.7778,1497.8744
435.4839,2000.0000,1497.8744
483.8710,0.0000,1495.1846
483.8710,222.2222,1492.6509
483.8710,444.4444,1493.3745
483.8710,666.6667,1494.1199
483.8710,888.8889,1494.1506
483.8710,1111.1111,1494.1772
483.8710,1333.3333,1494.8519
483.8710,1555.5556,1494.7367
483.8710,1777.7778,1495.7615
483.8710,2000.0000,1495.7615
532.2581,0.0000,1493.3378
532.2581,222.2222,1491.0198
532.2581,444.4444,1491.6934
532.2581,666.6667,1492.3798
532.2581,888.8889,1492.4192
532.2581,1111.1111,1492.4455
532.2581,1333.3333,1493.0242
532.2581,1555.5556,1492.9252
532.2581,1777.7778,1493.8492
532.2581,2000.0000,1493.8492
580.6452,0.0000,1491.6707
580.6452,222.2222,1489.5475
580.6452,444.4444,1490.1760
580.6452,666.6667,1490.8091
580.6452,888.8889,1490.8564
580.6452,1111.1111,1490.8825
580.6452,1333.3333,1491.3746
580.6452,1555.5556,1491.2902
580.6452,1777.7778,1492.1231
580.6452,2000.0000,1492.1231
629.0323,0.0000,1490.1706
629.0323,222.2222,1488.2226
629.0323,444.4444,1488.8105
629.0323,666.6667,1489.3958
629.0323,888.8889,1489.4501
629.0323,1111.1111,1489.4760
629.0323,1333.3333,1489.8901
629.0323,1555.5556,1489.8188
629.0323,1777.7778,1490.5699
629.0323,2000.0000,1490.5699
677.4194,0.0000,1488.8254
677.4194,222.2222,1487.0347
677.4194,444.4444,1487.5861
677.4194,666.6667,1488.1284
677.4194,888.8889,1488.1891
677.4194,1111.1111,1488.2148
677.4194,1333.3333,1488.5590
677.4194,1555.5556,1488.4995
677.4194,1777.7778,1489.1771
677.4194,2000.0000,1489.1771
725.8065,0.0000,1487.6242
725.8065,222.2222,1485.9738
725.8065,444.4444,1486.4926
725.8065,666.6667,1486.9967
725.8065,888.8889,1487.0630
725.8065,1111.1111,1487.0885
725.8065,1333.3333,1487.3703
725.8065,1555.5556,1487.3213
725.8065,1777.7778,1487.9333
725.8065,2000.0000,1487.9333
774.1935,0.0000,1486.5565
774.1935,222.2222,1485.0308
774.1935,444.4444,1485.5208
