y,0,1,2,3,4,5,6,7,8
24.193548387096776,-23.2397,-22.8126,-22.2628,-23.8164,-23.0381,-22.1543,-23.5569,-22.664,-21.8485
72.58064516129033,-22.3902,-21.6885,-20.891,-23.0498,-21.9156,-20.7322,-22.8491,-21.6432,-20.5572
120.96774193548387,-18.9745,-18.1159,-17.1252,-19.6224,-18.2992,-16.9399,-19.4372,-18.1835,-17.044
169.35483870967744,-15.3114,-14.4187,-13.3836,-15.8291,-14.4292,-13.0297,-15.6292,-14.3781,-13.3009
217.74193548387098,-11.6293,-10.7982,-9.7295,-11.9334,-10.6082,-9.2228,-11.5876,-10.5288,-9.5892
266.1290322580645,-8.4496,-7.4588,-6.2006,-8.6242,-7.1732,-5.6475,-8.205,-7.1347,-6.1694
314.5161290322581,-5.4201,-4.2913,-2.8985,-5.5851,-4.0053,-2.3601,-5.1988,-4.0687,-3.0483
362.90322580645164,-2.3347,-1.0505,0.4929,-2.5169,-0.7856,0.9994,-2.183,-0.9452,0.1718
411.2903225806452,0.6923,2.1331,3.8195,0.4595,2.3397,4.259,0.7216,2.0751,3.2976
459.6774193548387,3.5993,5.0917,6.8267,3.3073,5.2327,7.1942,3.4972,4.8884,6.1507
508.0645161290323,6.0186,7.4727,9.1468,5.7636,7.6472,9.5473,5.9431,7.3053,8.53
556.4516129032259,7.9889,9.3264,10.8945,7.7829,9.5446,11.3292,7.9746,9.2451,10.391
604.8387096774194,9.479,10.6209,11.9706,9.4109,10.9517,12.4966,9.6707,10.7557,11.7136
653.2258064516129,9.9795,10.9004,12.0249,9.9883,11.2895,12.594,10.2964,11.2011,11.9966
701.6129032258065,9.5955,10.3261,11.2452,9.6973,10.7779,11.8516,10.0475,10.7932,11.4485
750.0,8.5345,9.0765,9.7845,8.5846,9.436,10.268,8.8379,9.4252,9.9565
798.3870967741937,6.8779,7.2547,7.786,6.8095,7.4397,8.0488,6.8635,7.2978,7.7392
846.7741935483872,5.0337,5.2752,5.6585,4.8275,5.2511,5.645,4.6197,4.9073,5.2796
895.1612903225807,3.3057,3.4658,3.7512,2.9748,3.2497,3.4689,2.4798,2.6749,3.022
943.5483870967743,1.7503,1.8504,2.076,1.3781,1.5319,1.6113,0.6521,0.7837,1.0945
991.9354838709678,0.6688,0.7812,0.9822,0.3381,0.4708,0.5126,-0.4456,-0.2465,-0.0161
1040.3225806451615,0.0066,0.1878,0.3784,-0.1958,-0.0064,0.2016,-0.389,-0.2008,0.0126
1088.7096774193549,0.0086,0.1568,0.3128,-0.1631,-0.0067,0.1653,-0.3233,-0.1664,0.0113
1137.0967741935485,0.0236,0.1413,0.2656,-0.1318,-0.0058,0.1319,-0.2772,-0.1481,-0.0036
1185.483870967742,0.0178,0.1224,0.2303,-0.1188,-0.0059,0.1153,-0.2412,-0.125,0.0025
1233.8709677419356,0.0092,0.1017,0.1959,-0.1036,-0.0041,0.101,-0.2058,-0.1031,0.0071
1282.258064516129,0.0062,0.0866,0.1655,-0.0887,-0.0026,0.0849,-0.1742,-0.0856,0.006
1330.6451612903227,0.0039,0.0717,0.1378,-0.0748,-0.0004,0.0741,-0.1503,-0.0718,0.0081
1379.0322580645163,0.0084,0.0679,0.1214,-0.0667,0.0005,0.0627,-0.1368,-0.0636,0.005
1427.4193548387098,0.0069,0.0616,0.1066,-0.0595,0.0032,0.0562,-0.1244,-0.0554,0.0035
1475.8064516129034,0.0074,0.0605,0.1022,-0.0594,0.0034,0.0541,-0.1226,-0.052,0.0061
