y,x,val
0.0000,0.0000,1483.7422
0.0000,222.2222,1483.7798
0.0000,444.4444,1483.8577
0.0000,666.6667,1483.9698
0.0000,888.8889,1483.9766
0.0000,1111.1111,1483.9819
0.0000,1333.3333,1484.1153
0.0000,1555.5556,1484.2811
0.0000,1777.7778,1484.3976
0.0000,2000.0000,1484.3976
100.0000,0.0000,1483.7776
100.0000,222.2222,1483.8325
100.0000,444.4444,1483.9174
100.0000,666.6667,1484.0675
100.0000,888.8889,1484.0428
100.0000,1111.1111,1484.0085
100.0000,1333.3333,1484.1689
100.0000,1555.5556,1484.3643
100.0000,1777.7778,1484.5041
100.0000,2000.0000,1484.5041
200.0000,0.0000,1483.9391
200.0000,222.2222,1484.0043
200.0000,444.4444,1484.0988
200.0000,666.6667,1484.2635
200.0000,888.8889,1484.2255
200.0000,1111.1111,1484.1745
200.0000,1333.3333,1484.3460
200.0000,1555.5556,1484.5591
200.0000,1777.7778,1484.7113
200.0000,2000.0000,1484.7113
300.0000,0.0000,1484.2215
300.0000,222.2222,1484.2933
300.0000,444.4444,1484.3952
300.0000,666.6667,1484.5663
300.0000,888.8889,1484.5238
300.0000,1111.1111,1484.4671
300.0000,1333.3333,1484.6434
300.0000,1555.5556,1484.8655
300.0000,1777.7778,1485.0234
300.0000,2000.0000,1485.0234
400.0000,0.0000,1484.6190
400.0000,222.2222,1484.6955
400.0000,444.4444,1484.8028
400.0000,666.6667,1484.9778
400.0000,888.8889,1484.9347
400.0000,1111.1111,1484.8767
400.0000,1333.3333,1485.0554
400.0000,1555.5556,1485.2815
400.0000,1777.7778,1485.4412
400.0000,2000.0000,1485.4412
500.0000,0.0000,1485.1249
500.0000,222.2222,1485.2055
500.0000,444.4444,1485.3172
500.0000,666.6667,1485.4954
500.0000,888.8889,1485.4535
500.0000,1111.1111,1485.3959
500.0000,1333.3333,1485.5758
500.0000,1555.5556,1485.8031
500.0000,1777.7778,1485.9622
500.0000,2000.0000,1485.9622
600.0000,0.0000,1485.7317
600.0000,222.2222,1485.8165
600.0000,444.4444,1485.9322
600.0000,666.6667,1486.1136
600.0000,888.8889,1486.0737
600.0000,1111.1111,1486.0171
600.0000,1333.3333,1486.1977
600.0000,1555.5556,1486.4246
600.0000,1777.7778,1486.5817
600.0000,2000.0000,1486.5817
700.0000,0.0000,1486.4305
700.0000,222.2222,1486.5200
700.0000,444.4444,1486.6400
700.0000,666.6667,1486.8249
700.0000,888.8889,1486.7874
700.0000,1111.1111,1486.7322
700.0000,1333.3333,1486.9131
700.0000,1555.5556,1487.1387
700.0000,1777.7778,1487.2929
700.0000,2000.0000,1487.2929
800.0000,0.0000,1487.2110
800.0000,222.2222,1487.3059
800.0000,444.4444,1487.4308
800.0000,666.6667,1487.6197
800.0000,888.8889,1487.5851
800.0000,1111.1111,1487.5318
800.0000,1333.3333,1487.7130
800.0000,1555.5556,1487.9369
800.0000,1777.7778,1488.0874
800.0000,2000.0000,1488.0874
900.0000,0.0000,1488.0608
