y,0,1,2,3,4,5,6,7,8
50.0,-32.8238,-32.8483,-32.774,-32.9148,-32.9369,-32.9267,-33.0474,-32.9028,-32.7742
150.0,-29.226,-29.118,-28.9735,-29.0771,-29.0475,-29.0238,-29.1183,-28.8615,-28.66
250.0,-27.0356,-26.9917,-26.8904,-26.9812,-27.0535,-27.1106,-27.1177,-26.9376,-26.793
350.0,-23.611,-23.6885,-23.6795,-23.7265,-23.9389,-24.1086,-24.0444,-23.9841,-23.9373
450.0,-16.6092,-16.7815,-16.872,-17.0232,-17.3363,-17.61,-17.67,-17.6996,-17.7442
550.0,-7.6905,-7.8234,-7.9011,-8.1369,-8.4171,-8.6853,-8.8637,-8.8682,-8.9141
650.0,-0.2019,-0.2717,-0.2971,-0.4675,-0.6795,-0.8892,-1.0391,-0.9795,-0.9667
750.0,4.2343,4.2333,4.267,4.2875,4.1556,4.0126,4.0214,4.1593,4.2357
850.0,6.1864,6.2183,6.2813,6.379,6.2808,6.1674,6.2543,6.4225,6.5228
950.0,7.3287,7.3715,7.4459,7.5821,7.4918,7.3866,7.5077,7.6774,7.7783
1050.0,8.1553,8.2295,8.3314,8.4713,8.4103,8.3299,8.4482,8.6384,8.7528
1150.0,8.5968,8.6931,8.8127,8.975,8.9288,8.8611,9.0016,9.1954,9.3064
1250.0,8.6434,8.7685,8.9061,9.0943,9.0676,9.0153,9.1751,9.3785,9.4848
1350.0,8.3891,8.5424,8.7097,8.9189,8.9152,8.8806,9.0499,9.2563,9.3589
1450.0,7.947,8.1181,8.3118,8.5584,8.5744,8.5525,8.7395,8.9429,9.0384
1550.0,7.3268,7.5135,7.7377,8.0157,8.054,8.0473,8.2419,8.4418,8.5296
1650.0,6.4972,6.6939,6.9563,7.2636,7.3241,7.3327,7.5309,7.725,7.8013
1750.0,5.5177,5.7099,6.0227,6.3551,6.4323,6.4526,6.6538,6.8351,6.8902
1850.0,4.522,4.6991,5.0468,5.4075,5.5018,5.5266,5.7177,5.8734,5.9088
1950.0,3.5211,3.6872,4.049,4.4258,4.5314,4.5512,4.7158,4.8424,4.8587
2050.0,2.3603,2.5133,2.8824,3.2575,3.3824,3.413,3.5303,3.6501,3.6791
2150.0,1.0732,1.2263,1.6093,2.0091,2.1543,2.196,2.306,2.4003,2.421
2250.0,0.6806,0.7643,1.0433,1.4863,1.621,1.629,1.7234,1.7468,1.7262
2350.0,0.4052,0.4653,0.6516,1.0443,1.172,1.1544,1.185,1.1654,1.1324
2450.0,0.0984,0.118,0.2226,0.597,0.6966,0.6438,0.6654,0.6073,0.5575
2550.0,-0.5708,-0.5699,-0.5122,-0.1628,-0.0598,-0.1133,-0.0753,-0.1388,-0.1742
2650.0,-0.9268,-0.9275,-0.9158,-0.6817,-0.5319,-0.5793,-0.595,-0.6329,-0.6423
2750.0,-0.7925,-0.8051,-0.8517,-0.7649,-0.6234,-0.6893,-0.7506,-0.7565,-0.7677
2850.0,-0.8614,-0.8903,-0.978,-0.9789,-0.872,-0.9352,-0.9844,-0.9638,-0.9597
2950.0,-0.6562,-0.728,-0.8845,-0.9178,-0.877,-0.959,-0.95,-0.9164,-0.9257
3050.0,-0.1533,-0.2589,-0.4698,-0.5892,-0.6217,-0.7027,-0.6622,-0.5985,-0.6269
3150.0,0.5666,0.4136,0.1507,-0.0057,-0.1684,-0.2409,-0.0879,-0.0,-0.0882
3250.0,1.238,1.0466,0.7704,0.5845,0.2831,0.2442,0.5106,0.6142,0.4797
3350.0,1.9619,1.7589,1.4728,1.2407,0.8739,0.8667,1.1943,1.3271,1.1796
3450.0,2.3697,2.1742,1.8877,1.6607,1.2729,1.3144,1.7476,1.9291,1.7926
3550.0,2.7812,2.5783,2.2549,2.0898,1.6515,1.6987,2.33,2.5214,2.344
3650.0,3.2256,3.0371,2.722,2.5562,2.0617,2.1438,2.9582,3.1268,2.913
3750.0,3.7286,3.5558,3.2339,3.0502,2.5964,2.7127,3.5406,3.6483,3.4194
3850.0,3.9606,3.7935,3.4703,3.2894,2.8892,3.0401,3.843,3.8853,3.6344
3950.0,4.0904,3.936,3.6036,3.4052,3.1028,3.3062,4.0034,3.9886,3.7222
4050.0,4.1155,3.9759,3.623,3.3737,3.2392,3.5188,4.0004,3.9218,3.635
4150.0,3.8903,3.7583,3.3911,3.127,3.1969,3.517,3.6842,3.5079,3.2375
4250.0,3.4724,3.3386,2.9648,2.7311,2.9328,3.2425,3.1652,2.8515,2.5764
4350.0,2.8733,2.7235,2.3181,2.1555,2.4722,2.7409,2.4518,1.9597,1.6729
4450.0,2.0099,1.8508,1.3856,1.2899,1.7718,2.0029,1.4334,0.7451,0.5125
4550.0,0.9435,0.7671,0.3049,0.3311,0.8313,0.939,0.2377,-0.5871,-0.7967
4650.0,-0.3178,-0.4876,-0.9208,-0.8487,-0.365,-0.3444,-1.136,-2.019,-2.222
4750.0,-1.7489,-1.9045,-2.3065,-2.224,-1.7887,-1.832,-2.6494,-3.5404,-3.7452
4850.0,-3.3763,-3.5022,-3.8441,-3.7892,-3.4326,-3.5909,-4.3081,-5.142,-5.3435
4950.0,-5.2374,-5.3497,-5.5949,-5.546,-5.374,-5.544,-6.1527,-6.857,-7.0232
