y,0,1,2,3,4,5,6,7,8
50.0,-3.8577,-3.4923,-3.2318,-3.3001,-3.2173,-3.1515,-3.3874,-3.5087,-3.8284
150.0,-1.2545,-0.7963,-0.5042,-0.5744,-0.4077,-0.2798,-0.4761,-0.4566,-0.689
250.0,-1.6327,-1.4011,-1.2166,-1.2881,-1.1951,-1.1052,-1.1683,-1.1427,-1.2718
350.0,-1.6918,-1.7697,-1.75,-1.7875,-1.8125,-1.7968,-1.7296,-1.718,-1.7466
450.0,1.6473,1.341,1.1997,1.0418,0.9265,0.8685,0.8663,0.8802,0.9088
550.0,7.1697,6.8418,6.6723,6.4102,6.3261,6.291,6.2099,6.3103,6.4191
650.0,11.6818,11.4019,11.2624,11.0485,11.0249,11.0549,11.0252,11.2229,11.4235
750.0,13.5606,13.3478,13.2573,13.2228,13.2719,13.3698,13.5088,13.7995,14.0745
850.0,13.3586,13.1821,13.1174,13.1535,13.2305,13.3559,13.575,13.8994,14.1979
950.0,12.7293,12.5694,12.5162,12.5872,12.6677,12.7974,13.0477,13.3699,13.6623
1050.0,12.1432,12.0215,11.9979,12.0708,12.1764,12.3257,12.567,12.9015,13.1959
1150.0,11.5065,11.4134,11.4103,11.5041,11.6198,11.7748,12.0293,12.3559,12.6305
1250.0,10.7838,10.7242,10.7419,10.8589,10.9871,11.1474,11.4086,11.7303,11.9773
1350.0,10.0425,10.0166,10.0627,10.1939,10.3338,10.4965,10.748,11.0498,11.2685
1450.0,9.3569,9.3566,9.4256,9.584,9.7285,9.884,10.129,10.4003,10.5878
1550.0,8.6984,8.7237,8.8175,8.994,9.1427,9.2911,9.5161,9.7527,9.9071
1650.0,7.995,8.0445,8.1658,8.3559,8.5076,8.6474,8.8464,9.0398,9.1544
1750.0,7.2602,7.3294,7.4814,7.6803,7.8281,7.9545,8.1253,8.2586,8.322
1850.0,6.5753,6.6581,6.8357,7.0442,7.1847,7.2839,7.4029,7.4598,7.4788
1950.0,5.9261,6.0184,6.2059,6.4111,6.5368,6.5966,6.6441,6.625,6.5961
2050.0,5.1204,5.2199,5.4097,5.5899,5.7085,5.745,5.6978,5.6255,5.5765
2150.0,4.1463,4.2779,4.479,4.6514,4.7619,4.7741,4.665,4.5227,4.43
2250.0,3.9676,4.0764,4.2105,4.3831,4.4338,4.3548,4.1631,3.9208,3.762
2350.0,3.7596,3.8615,3.9544,4.0726,4.0821,3.931,3.6303,3.3186,3.1142
2450.0,3.3777,3.4556,3.5057,3.6161,3.5763,3.3566,3.0153,2.6346,2.3851
2550.0,2.4885,2.5645,2.6031,2.7048,2.6481,2.401,2.0576,1.6364,1.3715
2650.0,1.7609,1.8483,1.8803,1.8913,1.851,1.582,1.1824,0.7392,0.4645
2750.0,1.3698,1.4465,1.4493,1.3498,1.2797,0.9609,0.4956,0.0208,-0.2804
2850.0,0.6355,0.697,0.6772,0.5113,0.3969,0.0534,-0.4365,-0.938,-1.2456
2950.0,0.0493,0.0677,-0.0113,-0.1971,-0.3815,-0.7649,-1.239,-1.7766,-2.1142
3050.0,-0.3519,-0.3696,-0.5005,-0.7622,-1.0189,-1.4104,-1.9009,-2.4641,-2.8303
3150.0,-0.635,-0.7027,-0.8921,-1.1777,-1.5601,-1.9335,-2.3713,-2.9806,-3.3972
3250.0,-1.0517,-1.1585,-1.3703,-1.6773,-2.1822,-2.5245,-2.9258,-3.5575,-3.9886
3350.0,-1.4868,-1.6078,-1.8319,-2.1775,-2.7358,-3.0555,-3.4382,-4.0556,-4.478
3450.0,-2.2938,-2.4098,-2.6322,-2.9635,-3.526,-3.8014,-4.0985,-4.6622,-5.0508
3550.0,-3.1384,-3.2615,-3.5152,-3.7757,-4.3526,-4.6201,-4.7318,-5.2545,-5.646
3650.0,-3.9773,-4.0808,-4.3135,-4.5742,-5.1395,-5.3704,-5.312,-5.7782,-6.1409
3750.0,-4.7737,-4.8528,-5.0608,-5.3173,-5.8098,-6.0325,-5.8943,-6.2588,-6.5673
3850.0,-5.84,-5.9012,-6.0765,-6.2936,-6.7179,-6.8944,-6.6672,-6.9256,-7.1739
3950.0,-6.9982,-7.0322,-7.1793,-7.3511,-7.6802,-7.7869,-7.5005,-7.6097,-7.7823
4050.0,-8.2441,-8.247,-8.379,-8.4867,-8.6861,-8.7292,-8.4179,-8.3206,-8.4216
4150.0,-9.7138,-9.6978,-9.7957,-9.8128,-9.8547,-9.8151,-9.526,-9.2427,-9.2361
4250.0,-11.3163,-11.2881,-11.3357,-11.2646,-11.1716,-11.0446,-10.7379,-10.326,-10.2141
4350.0,-13.0136,-12.9882,-12.9907,-12.8188,-12.608,-12.407,-12.0612,-11.5603,-11.3409
4450.0,-14.861,-14.8474,-14.7912,-14.5514,-14.2033,-13.9181,-13.6086,-13.0356,-12.6493
4550.0,-16.7554,-16.7635,-16.6455,-16.3212,-15.8842,-15.5193,-15.1819,-14.617,-14.1308
4650.0,-18.6675,-18.6741,-18.5094,-18.132,-17.626,-17.1991,-16.844,-16.2734,-15.7495
4750.0,-20.5509,-20.5518,-20.3596,-19.9457,-19.4043,-18.9429,-18.5663,-18.0045,-17.4902
4850.0,-22.415,-22.398,-22.1818,-21.7689,-21.2139,-20.7994,-20.3451,-19.8113,-19.3416
4950.0,-24.2893,-24.2595,-24.0528,-23.6273,-23.1284,-22.6661,-22.2056,-21.747,-21.3263
