y,0,1,2,3,4,5,6,7,8
50.0,1499.2027,1499.4895,1499.682,1499.9962,1500.4527,1500.8601,1501.3888,1501.9507,1502.1747
150.0,1499.0128,1499.4319,1499.5569,1499.8577,1500.3675,1500.7252,1501.291,1501.9819,1502.2325
250.0,1498.711,1499.2223,1499.286,1499.5715,1500.1191,1500.4393,1501.0406,1501.8391,1502.1301
350.0,1498.2908,1498.861,1498.8703,1499.1443,1499.7226,1500.019,1500.6529,1501.5356,1501.8656
450.0,1497.7662,1498.3419,1498.3227,1498.5955,1499.1914,1499.4922,1500.1554,1501.0819,1501.4463
550.0,1497.1522,1497.7019,1497.6594,1497.9455,1498.5585,1498.8771,1499.568,1500.5037,1500.9013
650.0,1496.4649,1496.9824,1496.9215,1497.2255,1497.8574,1498.1981,1498.913,1499.8459,1500.2704
750.0,1495.7226,1496.219,1496.1501,1496.4679,1497.1195,1497.4828,1498.2159,1499.153,1499.592
850.0,1494.9489,1495.4331,1495.365,1495.6977,1496.3696,1496.7556,1497.5049,1498.4476,1498.893
950.0,1494.164,1494.6409,1494.5806,1494.9318,1495.6263,1496.0354,1496.7993,1497.744,1498.187
1050.0,1493.3848,1493.8558,1493.8086,1494.1828,1494.9018,1495.3335,1496.1085,1497.0472,1497.4725
1150.0,1492.628,1493.09,1493.0602,1493.4607,1494.2033,1494.6523,1495.4298,1496.3497,1496.7273
1250.0,1491.9141,1492.3584,1492.35,1492.7768,1493.5353,1493.9851,1494.7426,1495.6232,1495.9009
1350.0,1491.2679,1491.696,1491.7018,1492.1473,1492.9053,1493.323,1494.0014,1494.758,1494.9215
1450.0,1490.6791,1491.0962,1491.1254,1491.5893,1492.333,1492.6898,1493.2405,1493.8095,1493.863
1550.0,1490.1645,1490.5605,1490.6378,1491.1252,1491.8416,1492.1164,1492.5053,1492.7986,1492.7335
1650.0,1489.7752,1490.1011,1490.2777,1490.7831,1491.4416,1491.602,1491.8078,1491.6856,1491.5291
1750.0,1489.6276,1489.7528,1490.1163,1490.5952,1491.1299,1491.0791,1490.9594,1490.4012,1490.3205
1850.0,1489.9235,1489.7749,1490.1573,1490.583,1490.969,1490.6826,1490.262,1489.4511,1489.4145
1950.0,1490.5295,1490.2178,1490.5009,1490.8256,1491.0505,1490.5334,1489.8394,1488.8532,1488.8111
2050.0,1491.4412,1491.0164,1491.1514,1491.3669,1491.4385,1490.7033,1489.7146,1488.5912,1488.5349
2150.0,1492.6801,1492.1484,1492.0709,1492.2137,1492.1466,1491.2169,1489.8592,1488.6683,1488.6201
2250.0,1494.2788,1493.6512,1493.2151,1493.3569,1493.1091,1491.9374,1490.2902,1489.1437,1489.1199
2350.0,1496.2433,1495.6043,1494.7516,1494.7493,1494.3262,1492.963,1491.1707,1490.0524,1490.0698
2450.0,1498.4979,1497.8274,1496.7233,1496.4638,1495.8538,1494.3435,1492.5087,1491.431,1491.4905
2550.0,1500.9706,1500.3019,1499.1038,1498.4821,1497.7206,1496.0838,1494.3131,1493.3118,1493.4167
2650.0,1503.5754,1502.9532,1501.9135,1500.7314,1499.9572,1498.1741,1496.6286,1495.7259,1495.8725
2750.0,1506.2186,1505.6046,1504.9496,1503.3697,1502.5128,1500.7442,1499.5485,1498.6679,1498.843
2850.0,1508.8772,1508.342,1507.9227,1506.2438,1505.3401,1503.6976,1502.7814,1502.0054,1502.2418
2950.0,1511.4662,1511.0332,1510.8316,1509.2066,1508.258,1506.846,1506.2397,1505.6424,1505.9059
3050.0,1513.8728,1513.5297,1513.6403,1512.1802,1511.0081,1510.0089,1509.8088,1509.4423,1509.6689
3150.0,1516.0081,1515.6554,1516.2379,1515.1508,1513.2761,1513.0598,1513.342,1513.232,1513.2984
3250.0,1517.8783,1517.3924,1518.2324,1517.7252,1515.3538,1515.8796,1516.6033,1516.6012,1516.4909
3350.0,1519.3405,1518.8144,1519.8341,1519.6932,1517.3492,1518.3435,1519.4351,1519.5134,1519.3115
3450.0,1520.3721,1519.8454,1520.9981,1521.1643,1519.068,1520.421,1521.8599,1521.9751,1521.7039
3550.0,1520.9815,1520.4429,1521.6611,1522.1739,1520.4088,1522.0373,1523.9225,1523.9312,1523.5614
3650.0,1521.2156,1520.6394,1521.7697,1522.7303,1521.3562,1523.0513,1525.632,1525.1965,1524.7375
3750.0,1521.1421,1520.5724,1521.4732,1522.6995,1521.9594,1523.6388,1526.366,1525.4663,1525.147
3850.0,1520.7588,1520.1601,1520.97,1522.3329,1522.0315,1523.801,1526.352,1525.207,1524.9577
3950.0,1520.1385,1519.5106,1520.3124,1521.627,1521.7328,1523.6927,1525.7471,1524.4981,1524.3451
4050.0,1519.4029,1518.7624,1519.6542,1520.5578,1521.1976,1523.5433,1524.5092,1523.4096,1523.4759
4150.0,1518.6998,1518.1412,1519.1269,1519.5078,1520.4846,1522.9056,1522.7695,1522.1328,1522.5278
4250.0,1518.0652,1517.6117,1518.5462,1518.6571,1519.6496,1521.8209,1521.177,1520.8202,1521.479
4350.0,1517.492,1517.2567,1517.9934,1517.939,1518.8772,1520.5265,1519.6378,1519.6043,1520.4709
4450.0,1516.9656,1517.2414,1517.4873,1517.3324,1518.3706,1519.0687,1518.0918,1518.6152,1519.6141
4550.0,1516.6098,1517.302,1517.0703,1517.0339,1517.8624,1517.5095,1516.9368,1517.9475,1518.8404
4650.0,1516.3915,1517.2225,1516.8093,1516.7404,1517.3244,1516.479,1516.0728,1517.3237,1518.1903
4750.0,1516.2565,1517.0888,1516.6125,1516.476,1516.8847,1515.867,1515.5169,1516.8187,1517.6574
4850.0,1516.2073,1516.9266,1516.4706,1516.2944,1516.5629,1515.5921,1515.2991,1516.4848,1517.2348
4950.0,1516.3039,1516.6914,1516.4246,1516.2594,1516.2869,1515.6358,1515.4852,1516.3162,1516.8928
