y,x,val
0.0000,0.0000,1513.0540
0.0000,222.2222,1513.8687
0.0000,444.4444,1514.8207
0.0000,666.6667,1515.3057
0.0000,888.8889,1515.9270
0.0000,1111.1111,1516.0281
0.0000,1333.3333,1515.9700
0.0000,1555.5556,1515.2526
0.0000,1777.7778,1514.7496
0.0000,2000.0000,1514.7496
100.0000,0.0000,1511.8422
100.0000,222.2222,1512.6707
100.0000,444.4444,1513.7036
100.0000,666.6667,1513.9766
100.0000,888.8889,1514.7384
100.0000,1111.1111,1514.7867
100.0000,1333.3333,1514.9475
100.0000,1555.5556,1513.9566
100.0000,1777.7778,1513.5667
100.0000,2000.0000,1513.5667
200.0000,0.0000,1509.1030
200.0000,222.2222,1509.8263
200.0000,444.4444,1510.7707
200.0000,666.6667,1510.8608
200.0000,888.8889,1511.5747
200.0000,1111.1111,1511.5250
200.0000,1333.3333,1511.8722
200.0000,1555.5556,1510.8362
200.0000,1777.7778,1510.5544
200.0000,2000.0000,1510.5544
300.0000,0.0000,1505.1885
300.0000,222.2222,1505.7531
300.0000,444.4444,1506.5499
300.0000,666.6667,1506.4864
300.0000,888.8889,1507.1062
300.0000,1111.1111,1506.9374
300.0000,1333.3333,1507.3042
300.0000,1555.5556,1506.2689
300.0000,1777.7778,1506.0891
300.0000,2000.0000,1506.0891
400.0000,0.0000,1500.5206
400.0000,222.2222,1500.9075
400.0000,444.4444,1501.5375
400.0000,666.6667,1501.3222
400.0000,888.8889,1501.8133
400.0000,1111.1111,1501.5312
400.0000,1333.3333,1501.8405
400.0000,1555.5556,1500.7836
400.0000,1777.7778,1500.6699
400.0000,2000.0000,1500.6699
500.0000,0.0000,1495.5478
500.0000,222.2222,1495.7620
500.0000,444.4444,1496.2278
500.0000,666.6667,1495.8643
500.0000,888.8889,1496.2205
500.0000,1111.1111,1495.8462
500.0000,1333.3333,1496.0963
500.0000,1555.5556,1495.0320
500.0000,1777.7778,1494.9090
500.0000,2000.0000,1494.9090
600.0000,0.0000,1490.7166
600.0000,222.2222,1490.7928
600.0000,444.4444,1491.1221
600.0000,666.6667,1490.6192
600.0000,888.8889,1490.8451
600.0000,1111.1111,1490.4213
600.0000,1333.3333,1490.6549
600.0000,1555.5556,1489.7600
600.0000,1777.7778,1489.6026
600.0000,2000.0000,1489.6026
700.0000,0.0000,1486.3739
700.0000,222.2222,1486.3303
700.0000,444.4444,1486.5699
700.0000,666.6667,1485.9607
700.0000,888.8889,1486.0813
700.0000,1111.1111,1485.6266
700.0000,1333.3333,1485.8171
700.0000,1555.5556,1485.2123
