y,0,1,2,3,4,5,6,7,8
50.0,-18.8266,-18.8732,-18.9297,-19.0373,-18.5941,-17.9123,-17.5154,-17.2136,-17.0994
150.0,-15.5086,-15.5003,-15.521,-15.591,-14.9771,-14.1761,-13.74,-13.4069,-13.2287
250.0,-14.0932,-14.1908,-14.24,-14.2424,-13.652,-12.9133,-12.4641,-12.2686,-12.1511
350.0,-11.8119,-12.0451,-12.1517,-12.0485,-11.5576,-10.9779,-10.6314,-10.6135,-10.593
450.0,-6.2378,-6.5675,-6.7318,-6.6688,-6.2519,-5.8201,-5.8147,-6.0251,-6.1278
550.0,1.0285,0.7345,0.616,0.6528,1.0881,1.4307,1.1143,0.7546,0.6054
650.0,6.6961,6.449,6.3864,6.525,7.0021,7.29,6.7976,6.2887,6.161
750.0,9.2108,9.0138,9.0068,9.3431,9.8669,10.1185,9.5892,8.8796,8.8014
850.0,9.2068,9.0236,9.0371,9.4431,9.9716,10.1918,9.6307,8.6844,8.5483
950.0,8.4198,8.2277,8.2383,8.6636,9.1616,9.3316,8.698,7.5709,7.3536
1050.0,7.4019,7.221,7.2424,7.646,8.1228,8.2665,7.5416,6.3048,6.0256
1150.0,6.1403,5.9608,5.9845,6.3939,6.8432,6.9641,6.2152,4.9031,4.5361
1250.0,4.6821,4.5061,4.5255,4.9409,5.3903,5.5324,4.8419,3.5829,3.1673
1350.0,3.1859,3.0043,3.0189,3.4251,3.8825,4.0718,3.4959,2.3639,1.9888
1450.0,1.8425,1.6354,1.625,2.017,2.4567,2.6705,2.2679,1.323,1.0343
1550.0,0.75,0.5118,0.4637,0.8094,1.1924,1.3545,1.1514,0.4504,0.2877
1650.0,-0.0331,-0.2868,-0.3717,-0.0989,0.2022,0.2281,0.1455,-0.309,-0.3167
1750.0,-0.3916,-0.5656,-0.6522,-0.523,-0.4402,-0.6741,-0.8031,-1.0559,-0.8827
1850.0,-0.4472,-0.5677,-0.6384,-0.6307,-0.7719,-1.2574,-1.4877,-1.6007,-1.3327
1950.0,-0.3172,-0.3967,-0.4629,-0.5568,-0.8976,-1.6426,-2.0823,-2.1385,-1.7981
2050.0,-0.2823,-0.3231,-0.362,-0.5287,-1.0037,-1.9784,-2.7846,-2.7753,-2.3293
2150.0,-0.4269,-0.4063,-0.3515,-0.506,-1.0173,-2.0849,-3.2024,-3.2501,-2.7723
2250.0,0.1613,0.1677,0.2844,0.2198,-0.3464,-1.55,-2.813,-2.9138,-2.4311
2350.0,0.6334,0.6172,0.785,0.814,0.3161,-0.8585,-2.1083,-2.1957,-1.7267
2450.0,0.8401,0.7969,0.9998,1.1747,0.7878,-0.2627,-1.3605,-1.4482,-0.9423
2550.0,0.4728,0.4205,0.6724,1.0005,0.7554,-0.0649,-0.8611,-0.8543,-0.2972
2650.0,0.2417,0.175,0.4432,0.8742,0.7457,0.1736,-0.3622,-0.0881,0.5501
2750.0,0.3728,0.2749,0.4784,0.9814,0.9957,0.6894,0.4318,0.9606,1.5852
2850.0,0.1756,0.0419,0.1969,0.7209,0.8374,0.7467,0.7486,1.4915,2.1655
2950.0,0.1492,-0.0479,-0.0058,0.4863,0.5851,0.568,0.7837,1.6978,2.4314
3050.0,0.3368,0.0972,-0.0159,0.2896,0.2653,0.172,0.5154,1.6201,2.4259
3150.0,0.6528,0.4122,0.1037,0.2092,-0.0131,-0.3766,0.1552,1.4217,2.2318
3250.0,0.7702,0.5914,0.2399,0.1986,-0.1639,-0.7728,-0.2024,1.0421,1.7713
3350.0,0.7966,0.676,0.3572,0.2253,-0.2956,-1.1068,-0.6268,0.549,1.2288
3450.0,0.3027,0.1612,-0.1162,-0.2171,-0.8007,-1.6895,-1.223,-0.0709,0.5813
3550.0,-0.1897,-0.3474,-0.6521,-0.7316,-1.4411,-2.3981,-1.8322,-0.6529,-0.0252
3650.0,-0.5136,-0.6127,-0.9011,-1.0928,-1.976,-2.897,-2.2701,-0.9912,-0.3743
3750.0,-0.5857,-0.6085,-0.8089,-1.0837,-2.0113,-2.7255,-2.1377,-0.9477,-0.4239
3850.0,-0.6063,-0.5658,-0.7003,-1.0292,-1.9654,-2.5345,-1.9187,-0.8306,-0.3924
3950.0,-0.3899,-0.2707,-0.355,-0.8104,-1.7757,-2.1932,-1.5087,-0.5107,-0.1416
4050.0,0.0055,0.221,0.2273,-0.4431,-1.4539,-1.6347,-0.806,0.014,0.2754
4150.0,0.3388,0.6003,0.6926,-0.0206,-0.8267,-0.6952,0.1777,0.6574,0.7254
4250.0,0.6492,0.9484,1.0872,0.4279,-0.1327,0.2762,1.1453,1.3419,1.1964
4350.0,0.8947,1.2254,1.3423,0.7501,0.4474,1.1503,2.0409,1.9479,1.5442
4450.0,0.9041,1.2838,1.3081,0.7243,0.7418,1.8341,2.7101,2.293,1.5895
4550.0,0.6438,0.9723,0.8907,0.5336,0.9314,2.2286,2.9741,2.3258,1.4145
4650.0,0.0479,0.3501,0.2649,0.0813,0.7262,2.1271,2.7719,1.9891,0.9755
4750.0,-0.8699,-0.5768,-0.6238,-0.6802,0.0762,1.4817,2.0656,1.242,0.2125
4850.0,-2.1366,-1.8547,-1.8358,-1.7968,-1.0189,0.2117,0.7887,0.0404,-0.8831
4950.0,-3.7774,-3.5824,-3.5017,-3.289,-2.5954,-1.6029,-1.1622,-1.6978,-2.2805
