y,x,val
0.0000,0.0000,1491.6929
0.0000,222.2222,1491.6904
0.0000,444.4444,1491.7208
0.0000,666.6667,1491.7787
0.0000,888.8889,1491.8545
0.0000,1111.1111,1491.9394
0.0000,1333.3333,1492.0239
0.0000,1555.5556,1492.0949
0.0000,1777.7778,1492.1399
0.0000,2000.0000,1492.1399
100.0000,0.0000,1491.7229
100.0000,222.2222,1491.7176
100.0000,444.4444,1491.7492
100.0000,666.6667,1491.8106
100.0000,888.8889,1491.8899
100.0000,1111.1111,1491.9787
100.0000,1333.3333,1492.0684
100.0000,1555.5556,1492.1442
100.0000,1777.7778,1492.1929
100.0000,2000.0000,1492.1929
200.0000,0.0000,1491.8212
200.0000,222.2222,1491.8156
200.0000,444.4444,1491.8485
200.0000,666.6667,1491.9125
200.0000,888.8889,1491.9949
200.0000,1111.1111,1492.0873
200.0000,1333.3333,1492.1808
200.0000,1555.5556,1492.2601
200.0000,1777.7778,1492.3107
200.0000,2000.0000,1492.3107
300.0000,0.0000,1491.9883
300.0000,222.2222,1491.9832
300.0000,444.4444,1492.0176
300.0000,666.6667,1492.0838
300.0000,888.8889,1492.1689
300.0000,1111.1111,1492.2641
300.0000,1333.3333,1492.3605
300.0000,1555.5556,1492.4421
300.0000,1777.7778,1492.4936
300.0000,2000.0000,1492.4936
400.0000,0.0000,1492.2234
400.0000,222.2222,1492.2193
400.0000,444.4444,1492.2551
400.0000,666.6667,1492.3233
400.0000,888.8889,1492.4106
400.0000,1111.1111,1492.5082
400.0000,1333.3333,1492.6066
400.0000,1555.5556,1492.6897
400.0000,1777.7778,1492.7416
400.0000,2000.0000,1492.7416
500.0000,0.0000,1492.5253
500.0000,222.2222,1492.5222
500.0000,444.4444,1492.5595
500.0000,666.6667,1492.6295
500.0000,888.8889,1492.7186
500.0000,1111.1111,1492.8179
500.0000,1333.3333,1492.9178
500.0000,1555.5556,1493.0017
500.0000,1777.7778,1493.0536
500.0000,2000.0000,1493.0536
600.0000,0.0000,1492.8920
600.0000,222.2222,1492.8901
600.0000,444.4444,1492.9289
600.0000,666.6667,1493.0003
600.0000,888.8889,1493.0910
600.0000,1111.1111,1493.1916
600.0000,1333.3333,1493.2925
600.0000,1555.5556,1493.3767
600.0000,1777.7778,1493.4282
600.0000,2000.0000,1493.4282
700.0000,0.0000,1493.3212
700.0000,222.2222,1493.3207
700.0000,444.4444,1493.3608
700.0000,666.6667,1493.4336
700.0000,888.8889,1493.5255
700.0000,1111.1111,1493.6271
700.0000,1333.3333,1493.7285
700.0000,1555.5556,1493.8128
700.0000,1777.7778,1493.8636
700.0000,2000.0000,1493.8636
800.0000,0.0000,1493.8102
800.0000,222.2222,1493.8110
800.0000,444.4444,1493.8525
800.0000,666.6667,1493.9266
800.0000,888.8889,1494.0196
800.0000,1111.1111,1494.1219
800.0000,1333.3333,1494.2235
800.0000,1555.5556,1494.3075
800.0000,1777.7778,1494.3573
800.0000,2000.0000,1494.3573
900.0000,0.0000,1494.3556
900.0000,222.2222,1494.3581
900.0000,444.4444,1494.4010
900.0000,666.6667,1494.4762
900.0000,888.8889,1494.5700
900.0000,1111.1111,1494.6728
900.0000,1333.3333,1494.7745
900.0000,1555.5556,1494.8578
900.0000,1777.7778,1494.9064
900.0000,2000.0000,1494.9064
1000.0000,0.0000,1494.9539
1000.0000,222.2222,1494.9582
1000.0000,444.4444,1495.0025
1000.0000,666.6667,1495.0789
1000.0000,888.8889,1495.1734
1000.0000,1111.1111,1495.2765
1000.0000,1333.3333,1495.3779
1000.0000,1555.5556,1495.4604
1000.0000,1777.7778,1495.5075
1000.0000,2000.0000,1495.5075
1100.0000,0.0000,1495.6010
1100.0000,222.2222,1495.6073
1100.0000,444.4444,1495.6532
1100.0000,666.6667,1495.7306
1100.0000,888.8889,1495.8258
1100.0000,1111.1111,1495.9290
1100.0000,1333.3333,1496.0300
1100.0000,1555.5556,1496.1114
1100.0000,1777.7778,1496.1566
1100.0000,2000.0000,1496.1566
1200.0000,0.0000,1496.2922
1200.0000,222.2222,1496.3010
1200.0000,444.4444,1496.3485
1200.0000,666.6667,1496.4270
1200.0000,888.8889,1496.5227
1200.0000,1111.1111,1496.6258
1200.0000,1333.3333,1496.7262
1200.0000,1555.5556,1496.8063
1200.0000,1777.7778,1496.8489
1200.0000,2000.0000,1496.8489
1300.0000,0.0000,1497.0223
1300.0000,222.2222,1497.0338
1300.0000,444.4444,1497.0834
1300.0000,666.6667,1497.1632
1300.0000,888.8889,1497.2594
1300.0000,1111.1111,1497.3623
1300.0000,1333.3333,1497.4615
1300.0000,1555.5556,1497.5396
1300.0000,1777.7778,1497.5795
1300.0000,2000.0000,1497.5795
1400.0000,0.0000,1497.7873
1400.0000,222.2222,1497.8014
1400.0000,444.4444,1497.8532
1400.0000,666.6667,1497.9346
1400.0000,888.8889,1498.0313
1400.0000,1111.1111,1498.1337
1400.0000,1333.3333,1498.2314
1400.0000,1555.5556,1498.3071
1400.0000,1777.7778,1498.3443
1400.0000,2000.0000,1498.3443
1500.0000,0.0000,1498.5821
1500.0000,222.2222,1498.5988
1500.0000,444.4444,1498.6532
1500.0000,666.6667,1498.7361
1500.0000,888.8889,1498.8334
1500.0000,1111.1111,1498.9351
1500.0000,1333.3333,1499.0310
1500.0000,1555.5556,1499.1039
1500.0000,1777.7778,1499.1382
1500.0000,2000.0000,1499.1382
1600.0000,0.0000,1499.4010
1600.0000,222.2222,1499.4208
1600.0000,444.4444,1499.4782
1600.0000,666.6667,1499.5627
1600.0000,888.8889,1499.6603
1600.0000,1111.1111,1499.7613
1600.0000,1333.3333,1499.8552
1600.0000,1555.5556,1499.9246
1600.0000,1777.7778,1499.9555
1600.0000,2000.0000,1499.9555
1700.0000,0.0000,1500.2382
1700.0000,222.2222,1500.2612
1700.0000,444.4444,1500.3222
1700.0000,666.6667,1500.4084
1700.0000,888.8889,1500.5064
1700.0000,1111.1111,1500.6064
1700.0000,1333.3333,1500.6980
1700.0000,1555.5556,1500.7629
1700.0000,1777.7778,1500.7901
1700.0000,2000.0000,1500.7901
1800.0000,0.0000,1501.0875
1800.0000,222.2222,1501.1134
1800.0000,444.4444,1501.1784
1800.0000,666.6667,1501.2669
1800.0000,888.8889,1501.3654
1800.0000,1111.1111,1501.4638
1800.0000,1333.3333,1501.5519
1800.0000,1555.5556,1501.6117
1800.0000,1777.7778,1501.6356
1800.0000,2000.0000,1501.6356
1900.0000,0.0000,1501.9446
1900.0000,222.2222,1501.9734
1900.0000,444.4444,1502.0420
1900.0000,666.6667,1502.1332
1900.0000,888.8889,1502.2321
1900.0000,1111.1111,1502.3287
1900.0000,1333.3333,1502.4126
1900.0000,1555.5556,1502.4674
1900.0000,1777.7778,1502.4877
1900.0000,2000.0000,1502.4877
2000.0000,0.0000,1502.8043
2000.0000,222.2222,1502.8360
2000.0000,444.4444,1502.9083
2000.0000,666.6667,1503.0023
2000.0000,888.8889,1503.1016
2000.0000,1111.1111,1503.1961
2000.0000,1333.3333,1503.2753
2000.0000,1555.5556,1503.3248
2000.0000,1777.7778,1503.3415
2000.0000,2000.0000,1503.3415
2100.0000,0.0000,1503.6612
2100.0000,222.2222,1503.6957
2100.0000,444.4444,1503.7715
2100.0000,666.6667,1503.8689
2100.0000,888.8889,1503.9682
2100.0000,1111.1111,1504.0606
2100.0000,1333.3333,1504.1342
2100.0000,1555.5556,1504.1782
2100.0000,1777.7778,1504.1915
2100.0000,2000.0000,1504.1915
2200.0000,0.0000,1504.5103
2200.0000,222.2222,1504.5469
2200.0000,444.4444,1504.6253
2200.0000,666.6667,1504.7258
2200.0000,888.8889,1504.8253
2200.0000,1111.1111,1504.9147
2200.0000,1333.3333,1504.9824
2200.0000,1555.5556,1505.0218
2200.0000,1777.7778,1505.0326
2200.0000,2000.0000,1505.0326
2300.0000,0.0000,1505.3481
2300.0000,222.2222,1505.3866
2300.0000,444.4444,1505.4674
2300.0000,666.6667,1505.5700
2300.0000,888.8889,1505.6695
2300.0000,1111.1111,1505.7557
2300.0000,1333.3333,1505.8183
2300.0000,1555.5556,1505.8533
2300.0000,1777.7778,1505.8615
2300.0000,2000.0000,1505.8615
2400.0000,0.0000,1506.1708
2400.0000,222.2222,1506.2113
2400.0000,444.4444,1506.2943
2400.0000,666.6667,1506.3987
2400.0000,888.8889,1506.4978
2400.0000,1111.1111,1506.5809
2400.0000,1333.3333,1506.6386
2400.0000,1555.5556,1506.6692
2400.0000,1777.7778,1506.6747
2400.0000,2000.0000,1506.6747
2500.0000,0.0000,1506.9745
2500.0000,222.2222,1507.0169
2500.0000,444.4444,1507.1020
2500.0000,666.6667,1507.2081
2500.0000,888.8889,1507.3074
2500.0000,1111.1111,1507.3866
2500.0000,1333.3333,1507.4390
2500.0000,1555.5556,1507.4653
2500.0000,1777.7778,1507.4681
2500.0000,2000.0000,1507.4681
2600.0000,0.0000,1507.7552
2600.0000,222.2222,1507.7991
2600.0000,444.4444,1507.8859
2600.0000,666.6667,1507.9937
2600.0000,888.8889,1508.0939
2600.0000,1111.1111,1508.1682
2600.0000,1333.3333,1508.2150
2600.0000,1555.5556,1508.2373
2600.0000,1777.7778,1508.2378
2600.0000,2000.0000,1508.2378
2700.0000,0.0000,1508.5095
2700.0000,222.2222,1508.5542
2700.0000,444.4444,1508.6415
2700.0000,666.6667,1508.7492
2700.0000,888.8889,1508.8489
2700.0000,1111.1111,1508.9187
2700.0000,1333.3333,1508.9615
2700.0000,1555.5556,1508.9813
2700.0000,1777.7778,1508.9803
2700.0000,2000.0000,1508.9803
2800.0000,0.0000,1509.2351
2800.0000,222.2222,1509.2803
2800.0000,444.4444,1509.3675
2800.0000,666.6667,1509.4743
2800.0000,888.8889,1509.5724
2800.0000,1111.1111,1509.6388
2800.0000,1333.3333,1509.6783
2800.0000,1555.5556,1509.6958
2800.0000,1777.7778,1509.6935
2800.0000,2000.0000,1509.6935
2900.0000,0.0000,1509.9297
2900.0000,222.2222,1509.9754
2900.0000,444.4444,1510.0624
2900.0000,666.6667,1510.1681
2900.0000,888.8889,1510.2640
2900.0000,1111.1111,1510.3272
2900.0000,1333.3333,1510.3636
2900.0000,1555.5556,1510.3788
2900.0000,1777.7778,1510.3752
2900.0000,2000.0000,1510.3752
3000.0000,0.0000,1510.5916
3000.0000,222.2222,1510.6375
3000.0000,444.4444,1510.7241
3000.0000,666.6667,1510.8286
3000.0000,888.8889,1510.9217
3000.0000,1111.1111,1510.9819
3000.0000,1333.3333,1511.0152
3000.0000,1555.5556,1511.0283
3000.0000,1777.7778,1511.0235
3000.0000,2000.0000,1511.0235
3100.0000,0.0000,1511.2186
3100.0000,222.2222,1511.2644
3100.0000,444.4444,1511.3501
3100.0000,666.6667,1511.4530
3100.0000,888.8889,1511.5424
3100.0000,1111.1111,1511.5999
3100.0000,1333.3333,1511.6303
3100.0000,1555.5556,1511.6420
3100.0000,1777.7778,1511.6364
3100.0000,2000.0000,1511.6364
3200.0000,0.0000,1511.8092
3200.0000,222.2222,1511.8542
3200.0000,444.4444,1511.9374
3200.0000,666.6667,1512.0362
3200.0000,888.8889,1512.1201
3200.0000,1111.1111,1512.1762
3200.0000,1333.3333,1512.2064
3200.0000,1555.5556,1512.2181
3200.0000,1777.7778,1512.2123
3200.0000,2000.0000,1512.2123
3300.0000,0.0000,1512.3625
3300.0000,222.2222,1512.4063
3300.0000,444.4444,1512.4861
3300.0000,666.6667,1512.5801
3300.0000,888.8889,1512.6592
3300.0000,1111.1111,1512.7135
3300.0000,1333.3333,1512.7438
3300.0000,1555.5556,1512.7560
3300.0000,1777.7778,1512.7503
3300.0000,2000.0000,1512.7503
3400.0000,0.0000,1512.8781
3400.0000,222.2222,1512.9205
3400.0000,444.4444,1512.9967
3400.0000,666.6667,1513.0855
3400.0000,888.8889,1513.1599
3400.0000,1111.1111,1513.2122
3400.0000,1333.3333,1513.2427
3400.0000,1555.5556,1513.2556
3400.0000,1777.7778,1513.2502
3400.0000,2000.0000,1513.2502
3500.0000,0.0000,1513.3561
3500.0000,222.2222,1513.3969
3500.0000,444.4444,1513.4692
3500.0000,666.6667,1513.5522
3500.0000,888.8889,1513.6214
3500.0000,1111.1111,1513.6717
3500.0000,1333.3333,1513.7030
3500.0000,1555.5556,1513.7168
3500.0000,1777.7778,1513.7119
3500.0000,2000.0000,1513.7119
3600.0000,0.0000,1513.7961
3600.0000,222.2222,1513.8351
3600.0000,444.4444,1513.9031
3600.0000,666.6667,1513.9788
3600.0000,888.8889,1514.0419
3600.0000,1111.1111,1514.0904
3600.0000,1333.3333,1514.1244
3600.0000,1555.5556,1514.1396
3600.0000,1777.7778,1514.1353
3600.0000,2000.0000,1514.1353
3700.0000,0.0000,1514.1982
3700.0000,222.2222,1514.2346
3700.0000,444.4444,1514.2961
3700.0000,666.6667,1514.3630
3700.0000,888.8889,1514.4201
3700.0000,1111.1111,1514.4675
3700.0000,1333.3333,1514.5053
3700.0000,1555.5556,1514.5233
3700.0000,1777.7778,1514.5203
3700.0000,2000.0000,1514.5203
3800.0000,0.0000,1514.5624
3800.0000,222.2222,1514.5957
3800.0000,444.4444,1514.6501
3800.0000,666.6667,1514.7084
3800.0000,888.8889,1514.7597
3800.0000,1111.1111,1514.8062
3800.0000,1333.3333,1514.8471
3800.0000,1555.5556,1514.8688
3800.0000,1777.7778,1514.8675
3800.0000,2000.0000,1514.8675
3900.0000,0.0000,1514.8899
3900.0000,222.2222,1514.9200
3900.0000,444.4444,1514.9668
3900.0000,666.6667,1515.0162
3900.0000,888.8889,1515.0619
3900.0000,1111.1111,1515.1075
3900.0000,1333.3333,1515.1514
3900.0000,1555.5556,1515.1774
3900.0000,1777.7778,1515.1781
3900.0000,2000.0000,1515.1781
4000.0000,0.0000,1515.1816
4000.0000,222.2222,1515.2088
4000.0000,444.4444,1515.2470
4000.0000,666.6667,1515.2872
4000.0000,888.8889,1515.3274
4000.0000,1111.1111,1515.3722
4000.0000,1333.3333,1515.4193
4000.0000,1555.5556,1515.4507
4000.0000,1777.7778,1515.4533
4000.0000,2000.0000,1515.4533
4100.0000,0.0000,1515.4378
4100.0000,222.2222,1515.4613
4100.0000,444.4444,1515.4908
4100.0000,666.6667,1515.5225
4100.0000,888.8889,1515.5586
4100.0000,1111.1111,1515.6030
4100.0000,1333.3333,1515.6518
4100.0000,1555.5556,1515.6883
4100.0000,1777.7778,1515.6936
4100.0000,2000.0000,1515.6936
4200.0000,0.0000,1515.6598
4200.0000,222.2222,1515.6794
4200.0000,444.4444,1515.7011
4200.0000,666.6667,1515.7253
