y,x,val
0.0000,0.0000,-24.8732
0.0000,222.2222,-24.9377
0.0000,444.4444,-24.9109
0.0000,666.6667,-25.1059
0.0000,888.8889,-25.0590
0.0000,1111.1111,-24.9691
0.0000,1333.3333,-25.1388
0.0000,1555.5556,-25.0890
0.0000,1777.7778,-25.0319
0.0000,2000.0000,-25.0319
100.0000,0.0000,-21.2807
100.0000,222.2222,-21.2329
100.0000,444.4444,-21.1416
100.0000,666.6667,-21.3340
100.0000,888.8889,-21.2004
100.0000,1111.1111,-21.0536
100.0000,1333.3333,-21.2189
100.0000,1555.5556,-21.0816
100.0000,1777.7778,-20.9713
100.0000,2000.0000,-20.9713
200.0000,0.0000,-19.1535
200.0000,222.2222,-19.1804
200.0000,444.4444,-19.1407
200.0000,666.6667,-19.3322
200.0000,888.8889,-19.2841
200.0000,1111.1111,-19.1979
200.0000,1333.3333,-19.2830
200.0000,1555.5556,-19.2365
200.0000,1777.7778,-19.1937
200.0000,2000.0000,-19.1937
300.0000,0.0000,-15.8442
300.0000,222.2222,-15.9986
300.0000,444.4444,-16.0571
300.0000,666.6667,-16.2090
300.0000,888.8889,-16.2938
300.0000,1111.1111,-16.3115
300.0000,1333.3333,-16.3273
300.0000,1555.5556,-16.4075
300.0000,1777.7778,-16.4671
300.0000,2000.0000,-16.4671
400.0000,0.0000,-9.0048
400.0000,222.2222,-9.2578
400.0000,444.4444,-9.4197
400.0000,666.6667,-9.6777
400.0000,888.8889,-9.8604
400.0000,1111.1111,-9.9785
400.0000,1333.3333,-10.1188
400.0000,1555.5556,-10.2915
400.0000,1777.7778,-10.4438
400.0000,2000.0000,-10.4438
500.0000,0.0000,-0.2901
500.0000,222.2222,-0.5067
500.0000,444.4444,-0.6587
500.0000,666.6667,-1.0028
500.0000,888.8889,-1.1520
500.0000,1111.1111,-1.2632
500.0000,1333.3333,-1.5217
500.0000,1555.5556,-1.6696
500.0000,1777.7778,-1.8227
500.0000,2000.0000,-1.8227
600.0000,0.0000,6.9584
600.0000,222.2222,6.8019
600.0000,444.4444,6.6996
600.0000,666.6667,6.4192
600.0000,888.8889,6.3379
600.0000,1111.1111,6.2853
600.0000,1333.3333,6.0557
600.0000,1555.5556,5.9727
600.0000,1777.7778,5.8798
600.0000,2000.0000,5.8798
700.0000,0.0000,11.1250
700.0000,222.2222,11.0339
700.0000,444.4444,10.9878
700.0000,666.6667,10.8962
700.0000,888.8889,10.8937
700.0000,1111.1111,10.9075
700.0000,1333.3333,10.8368
700.0000,1555.5556,10.8333
700.0000,1777.7778,10.8064
700.0000,2000.0000,10.8064
800.0000,0.0000,12.7856
800.0000,222.2222,12.7234
800.0000,444.4444,12.7031
800.0000,666.6667,12.6860
800.0000,888.8889,12.7152
800.0000,1111.1111,12.7575
800.0000,1333.3333,12.7648
800.0000,1555.5556,12.7931
800.0000,1777.7778,12.7927
800.0000,2000.0000,12.7927
900.0000,0.0000,13.6235
900.0000,222.2222,13.5672
900.0000,444.4444,13.5539
900.0000,666.6667,13.5716
900.0000,888.8889,13.6059
900.0000,1111.1111,13.6543
900.0000,1333.3333,13.6952
900.0000,1555.5556,13.7263
900.0000,1777.7778,13.7299
900.0000,2000.0000,13.7299
1000.0000,0.0000,14.1436
1000.0000,222.2222,14.1118
1000.0000,444.4444,14.1203
1000.0000,666.6667,14.1370
1000.0000,888.8889,14.1965
1000.0000,1111.1111,14.2664
1000.0000,1333.3333,14.3029
1000.0000,1555.5556,14.3555
1000.0000,1777.7778,14.3768
1000.0000,2000.0000,14.3768
1100.0000,0.0000,14.2892
1100.0000,222.2222,14.2693
1100.0000,444.4444,14.2886
1100.0000,666.6667,14.3215
1100.0000,888.8889,14.3900
1100.0000,1111.1111,14.4676
1100.0000,1333.3333,14.5232
1100.0000,1555.5556,14.5799
1100.0000,1777.7778,14.6037
1100.0000,2000.0000,14.6037
1200.0000,0.0000,14.0661
1200.0000,222.2222,14.0590
1200.0000,444.4444,14.0877
1200.0000,666.6667,14.1378
1200.0000,888.8889,14.2173
1200.0000,1111.1111,14.3034
1200.0000,1333.3333,14.3738
1200.0000,1555.5556,14.4396
1200.0000,1777.7778,14.4681
1200.0000,2000.0000,14.4681
1300.0000,0.0000,13.5848
1300.0000,222.2222,13.5900
1300.0000,444.4444,13.6313
1300.0000,666.6667,13.6867
1300.0000,888.8889,13.7765
1300.0000,1111.1111,13.8715
1300.0000,1333.3333,13.9479
1300.0000,1555.5556,14.0200
1300.0000,1777.7778,14.0536
1300.0000,2000.0000,14.0536
1400.0000,0.0000,12.9532
1400.0000,222.2222,12.9638
1400.0000,444.4444,13.0104
1400.0000,666.6667,13.0828
1400.0000,888.8889,13.1758
1400.0000,1111.1111,13.2727
1400.0000,1333.3333,13.3631
1400.0000,1555.5556,13.4356
1400.0000,1777.7778,13.4686
1400.0000,2000.0000,13.4686
1500.0000,0.0000,12.1809
1500.0000,222.2222,12.1973
1500.0000,444.4444,12.2497
1500.0000,666.6667,12.3293
1500.0000,888.8889,12.4257
1500.0000,1111.1111,12.5256
1500.0000,1333.3333,12.6187
1500.0000,1555.5556,12.6912
1500.0000,1777.7778,12.7236
1500.0000,2000.0000,12.7236
1600.0000,0.0000,11.2364
1600.0000,222.2222,11.2573
1600.0000,444.4444,11.3155
1600.0000,666.6667,11.3985
1600.0000,888.8889,11.4980
1600.0000,1111.1111,11.6002
1600.0000,1333.3333,11.6915
1600.0000,1555.5556,11.7630
1600.0000,1777.7778,11.7951
1600.0000,2000.0000,11.7951
1700.0000,0.0000,10.1734
1700.0000,222.2222,10.1964
1700.0000,444.4444,10.2598
1700.0000,666.6667,10.3440
1700.0000,888.8889,10.4429
1700.0000,1111.1111,10.5455
1700.0000,1333.3333,10.6352
1700.0000,1555.5556,10.7018
1700.0000,1777.7778,10.7315
1700.0000,2000.0000,10.7315
1800.0000,0.0000,9.1089
1800.0000,222.2222,9.1355
1800.0000,444.4444,9.2031
1800.0000,666.6667,9.2884
1800.0000,888.8889,9.3870
1800.0000,1111.1111,9.4876
1800.0000,1333.3333,9.5726
1800.0000,1555.5556,9.6322
1800.0000,1777.7778,9.6569
1800.0000,2000.0000,9.6569
1900.0000,0.0000,8.0571
1900.0000,222.2222,8.0830
1900.0000,444.4444,8.1499
1900.0000,666.6667,8.2264
1900.0000,888.8889,8.3210
1900.0000,1111.1111,8.4140
1900.0000,1333.3333,8.4824
1900.0000,1555.5556,8.5312
1900.0000,1777.7778,8.5462
1900.0000,2000.0000,8.5462
2000.0000,0.0000,6.8515
2000.0000,222.2222,6.8757
2000.0000,444.4444,6.9456
2000.0000,666.6667,6.9926
2000.0000,888.8889,7.0932
2000.0000,1111.1111,7.1964
2000.0000,1333.3333,7.2284
2000.0000,1555.5556,7.2884
2000.0000,1777.7778,7.3234
2000.0000,2000.0000,7.3234
2100.0000,0.0000,5.5051
2100.0000,222.2222,5.5519
2100.0000,444.4444,5.6513
2100.0000,666.6667,5.6829
2100.0000,888.8889,5.7927
2100.0000,1111.1111,5.9054
2100.0000,1333.3333,5.9392
2100.0000,1555.5556,5.9955
2100.0000,1777.7778,6.0279
2100.0000,2000.0000,6.0279
2200.0000,0.0000,5.0048
2200.0000,222.2222,5.0189
2200.0000,444.4444,5.0776
2200.0000,666.6667,5.1171
2200.0000,888.8889,5.1910
2200.0000,1111.1111,5.2586
2200.0000,1333.3333,5.2814
2200.0000,1555.5556,5.2983
2200.0000,1777.7778,5.2906
2200.0000,2000.0000,5.2906
2300.0000,0.0000,4.5328
2300.0000,222.2222,4.5402
2300.0000,444.4444,4.5789
2300.0000,666.6667,4.5855
2300.0000,888.8889,4.6482
2300.0000,1111.1111,4.6904
