y,0,1,2,3,4,5,6,7,8
50.0,1491.6929,1491.6904,1491.7208,1491.7787,1491.8545,1491.9394,1492.0239,1492.0949,1492.1399
150.0,1491.7229,1491.7176,1491.7492,1491.8106,1491.8899,1491.9787,1492.0684,1492.1442,1492.1929
250.0,1491.8212,1491.8156,1491.8485,1491.9125,1491.9949,1492.0873,1492.1808,1492.2601,1492.3107
350.0,1491.9883,1491.9832,1492.0176,1492.0838,1492.1689,1492.2641,1492.3605,1492.4421,1492.4936
450.0,1492.2234,1492.2193,1492.2551,1492.3233,1492.4106,1492.5082,1492.6066,1492.6897,1492.7416
550.0,1492.5253,1492.5222,1492.5595,1492.6295,1492.7186,1492.8179,1492.9178,1493.0017,1493.0536
650.0,1492.892,1492.8901,1492.9289,1493.0003,1493.091,1493.1916,1493.2925,1493.3767,1493.4282
750.0,1493.3212,1493.3207,1493.3608,1493.4336,1493.5255,1493.6271,1493.7285,1493.8128,1493.8636
850.0,1493.8102,1493.811,1493.8525,1493.9266,1494.0196,1494.1219,1494.2235,1494.3075,1494.3573
950.0,1494.3556,1494.3581,1494.401,1494.4762,1494.57,1494.6728,1494.7745,1494.8578,1494.9064
1050.0,1494.9539,1494.9582,1495.0025,1495.0789,1495.1734,1495.2765,1495.3779,1495.4604,1495.5075
1150.0,1495.601,1495.6073,1495.6532,1495.7306,1495.8258,1495.929,1496.03,1496.1114,1496.1566
1250.0,1496.2922,1496.301,1496.3485,1496.427,1496.5227,1496.6258,1496.7262,1496.8063,1496.8489
1350.0,1497.0223,1497.0338,1497.0834,1497.1632,1497.2594,1497.3623,1497.4615,1497.5396,1497.5795
1450.0,1497.7873,1497.8014,1497.8532,1497.9346,1498.0313,1498.1337,1498.2314,1498.3071,1498.3443
1550.0,1498.5821,1498.5988,1498.6532,1498.7361,1498.8334,1498.9351,1499.031,1499.1039,1499.1382
1650.0,1499.401,1499.4208,1499.4782,1499.5627,1499.6603,1499.7613,1499.8552,1499.9246,1499.9555
1750.0,1500.2382,1500.2612,1500.3222,1500.4084,1500.5064,1500.6064,1500.698,1500.7629,1500.7901
1850.0,1501.0875,1501.1134,1501.1784,1501.2669,1501.3654,1501.4638,1501.5519,1501.6117,1501.6356
1950.0,1501.9446,1501.9734,1502.042,1502.1332,1502.2321,1502.3287,1502.4126,1502.4674,1502.4877
2050.0,1502.8043,1502.836,1502.9083,1503.0023,1503.1016,1503.1961,1503.2753,1503.3248,1503.3415
2150.0,1503.6612,1503.6957,1503.7715,1503.8689,1503.9682,1504.0606,1504.1342,1504.1782,1504.1915
2250.0,1504.5103,1504.5469,1504.6253,1504.7258,1504.8253,1504.9147,1504.9824,1505.0218,1505.0326
2350.0,1505.3481,1505.3866,1505.4674,1505.57,1505.6695,1505.7557,1505.8183,1505.8533,1505.8615
2450.0,1506.1708,1506.2113,1506.2943,1506.3987,1506.4978,1506.5809,1506.6386,1506.6692,1506.6747
2550.0,1506.9745,1507.0169,1507.102,1507.2081,1507.3074,1507.3866,1507.439,1507.4653,1507.4681
