y,0,1,2,3,4,5,6,7,8
50.0,-24.8732,-24.9377,-24.9109,-25.1059,-25.059,-24.9691,-25.1388,-25.089,-25.0319
150.0,-21.2807,-21.2329,-21.1416,-21.334,-21.2004,-21.0536,-21.2189,-21.0816,-20.9713
250.0,-19.1535,-19.1804,-19.1407,-19.3322,-19.2841,-19.1979,-19.283,-19.2365,-19.1937
350.0,-15.8442,-15.9986,-16.0571,-16.209,-16.2938,-16.3115,-16.3273,-16.4075,-16.4671
450.0,-9.0048,-9.2578,-9.4197,-9.6777,-9.8604,-9.9785,-10.1188,-10.2915,-10.4438
550.0,-0.2901,-0.5067,-0.6587,-1.0028,-1.152,-1.2632,-1.5217,-1.6696,-1.8227
650.0,6.9584,6.8019,6.6996,6.4192,6.3379,6.2853,6.0557,5.9727,5.8798
750.0,11.125,11.0339,10.9878,10.8962,10.8937,10.9075,10.8368,10.8333,10.8064
850.0,12.7856,12.7234,12.7031,12.686,12.7152,12.7575,12.7648,12.7931,12.7927
950.0,13.6235,13.5672,13.5539,13.5716,13.6059,13.6543,13.6952,13.7263,13.7299
1050.0,14.1436,14.1118,14.1203,14.137,14.1965,14.2664,14.3029,14.3555,14.3768
1150.0,14.2892,14.2693,14.2886,14.3215,14.39,14.4676,14.5232,14.5799,14.6037
1250.0,14.0661,14.059,14.0877,14.1378,14.2173,14.3034,14.3738,14.4396,14.4681
1350.0,13.5848,13.59,13.6313,13.6867,13.7765,13.8715,13.9479,14.02,14.0536
1450.0,12.9532,12.9638,13.0104,13.0828,13.1758,13.2727,13.3631,13.4356,13.4686
1550.0,12.1809,12.1973,12.2497,12.3293,12.4257,12.5256,12.6187,12.6912,12.7236
1650.0,11.2364,11.2573,11.3155,11.3985,11.498,11.6002,11.6915,11.763,11.7951
1750.0,10.1734,10.1964,10.2598,10.344,10.4429,10.5455,10.6352,10.7018,10.7315
1850.0,9.1089,9.1355,9.2031,9.2884,9.387,9.4876,9.5726,9.6322,9.6569
1950.0,8.0571,8.083,8.1499,8.2264,8.321,8.414,8.4824,8.5312,8.5462
2050.0,6.8515,6.8757,6.9456,6.9926,7.0932,7.1964,7.2284,7.2884,7.3234
2150.0,5.5051,5.5519,5.6513,5.6829,5.7927,5.9054,5.9392,5.9955,6.0279
2250.0,5.0048,5.0189,5.0776,5.1171,5.191,5.2586,5.2814,5.2983,5.2906
2350.0,4.5328,4.5402,4.5789,4.5855,4.6482,4.6904,4.6651,4.6635,4.6313
2450.0,3.9493,3.9378,3.9557,3.9848,4.0268,4.0417,4.0251,3.9967,3.9387
2550.0,2.9218,2.9144,2.9464,3.0091,3.0518,3.074,3.0956,3.0624,3.0091
2650.0,2.1197,2.1263,2.1779,2.2172,2.2726,2.3066,2.3052,2.2799,2.2387
2750.0,1.7203,1.7178,1.7511,1.7589,1.8051,1.8177,1.7748,1.7424,1.6867
2850.0,1.0332,1.0222,1.0541,1.0509,1.0863,1.0947,1.0422,0.9976,0.9402
2950.0,0.5408,0.4968,0.4946,0.5168,0.5182,0.4921,0.4564,0.3808,0.2948
3050.0,0.2689,0.1991,0.1676,0.1599,0.1341,0.0762,0.0078,-0.094,-0.2069
3150.0,0.1403,0.0283,-0.0503,-0.0346,-0.1097,-0.2192,-0.265,-0.4137,-0.5739
3250.0,-0.1042,-0.2484,-0.3498,-0.3337,-0.4449,-0.5753,-0.6227,-0.8008,-0.9815
3350.0,-0.3536,-0.5083,-0.6175,-0.6208,-0.7475,-0.8833,-0.9534,-1.1406,-1.324
3450.0,-0.9634,-1.1108,-1.2124,-1.1866,-1.3056,-1.4249,-1.466,-1.6364,-1.8007
3550.0,-1.5997,-1.7545,-1.8849,-1.7765,-1.9073,-2.0521,-1.9986,-2.1743,-2.3572
3650.0,-2.2176,-2.3565,-2.4724,-2.3584,-2.4807,-2.612,-2.5311,-2.6952,-2.8667
3750.0,-2.7756,-2.8922,-2.9915,-2.9035,-3.0072,-3.1182,-3.0586,-3.1954,-3.3488
3850.0,-3.5848,-3.6885,-3.7698,-3.6843,-3.7782,-3.8704,-3.7955,-3.9155,-4.0513
3950.0,-4.4643,-4.5484,-4.6152,-4.5353,-4.6094,-4.6771,-4.6005,-4.6908,-4.7982
4050.0,-5.4029,-5.467,-5.5233,-5.445,-5.5004,-5.5486,-5.464,-5.5249,-5.6092
4150.0,-6.5258,-6.5706,-6.6104,-6.5376,-6.5728,-6.5956,-6.5039,-6.535,-6.5911
4250.0,-7.7608,-7.7925,-7.819,-7.755,-7.7743,-7.7751,-7.6854,-7.6913,-7.7213
4350.0,-9.0902,-9.1169,-9.1423,-9.0742,-9.0898,-9.0842,-8.9794,-8.9749,-8.9955
4450.0,-10.588,-10.6001,-10.6148,-10.5774,-10.576,-10.5525,-10.4746,-10.4477,-10.4478
4550.0,-12.1576,-12.1674,-12.1814,-12.1459,-12.1401,-12.113,-12.0375,-12.0062,-12.0003
4650.0,-13.8039,-13.8089,-13.8192,-13.7932,-13.7814,-13.7495,-13.6859,-13.6485,-13.6361
4750.0,-15.5032,-15.5087,-15.5192,-15.4938,-15.4835,-15.4543,-15.3927,-15.3587,-15.3493
4850.0,-17.2733,-17.2736,-17.2753,-17.2626,-17.2433,-17.28,-17.1644,-17.1346,-17.1229
4950.0,-19.1404,-19.1544,-19.1693,-19.1309,-19.1292,-19.1195,-19.0414,-19.0349,-18.9588
