y,x,val
0.0000,0.0000,-5.8195
0.0000,222.2222,-5.4944
0.0000,444.4444,-4.9956
0.0000,666.6667,-4.7597
0.0000,888.8889,-4.5337
0.0000,1111.1111,-4.5717
0.0000,1333.3333,-5.0686
0.0000,1555.5556,-5.4003
0.0000,1777.7778,-5.6824
0.0000,2000.0000,-5.6824
100.0000,0.0000,-2.8281
100.0000,222.2222,-2.3983
100.0000,444.4444,-1.8493
100.0000,666.6667,-1.6179
100.0000,888.8889,-1.3417
100.0000,1111.1111,-1.3019
100.0000,1333.3333,-1.7689
100.0000,1555.5556,-1.9880
100.0000,1777.7778,-2.1990
100.0000,2000.0000,-2.1990
200.0000,0.0000,-2.1072
200.0000,222.2222,-1.8498
200.0000,444.4444,-1.4907
200.0000,666.6667,-1.4288
200.0000,888.8889,-1.3848
200.0000,1111.1111,-1.2650
200.0000,1333.3333,-1.4737
200.0000,1555.5556,-1.6375
200.0000,1777.7778,-1.8123
200.0000,2000.0000,-1.8123
300.0000,0.0000,-0.8167
300.0000,222.2222,-0.8249
300.0000,444.4444,-0.7612
300.0000,666.6667,-0.9012
300.0000,888.8889,-1.1850
300.0000,1111.1111,-0.9761
300.0000,1333.3333,-0.8705
300.0000,1555.5556,-0.9592
300.0000,1777.7778,-1.0951
300.0000,2000.0000,-1.0951
400.0000,0.0000,3.6457
400.0000,222.2222,3.4114
400.0000,444.4444,3.2020
400.0000,666.6667,2.7624
400.0000,888.8889,2.2357
400.0000,1111.1111,2.4891
400.0000,1333.3333,2.6651
400.0000,1555.5556,2.6562
400.0000,1777.7778,2.5568
400.0000,2000.0000,2.5568
500.0000,0.0000,9.8653
500.0000,222.2222,9.5836
500.0000,444.4444,9.2973
500.0000,666.6667,8.7068
500.0000,888.8889,8.2047
500.0000,1111.1111,8.4744
500.0000,1333.3333,8.5977
500.0000,1555.5556,8.7015
500.0000,1777.7778,8.6859
500.0000,2000.0000,8.6859
600.0000,0.0000,14.6761
600.0000,222.2222,14.4149
600.0000,444.4444,14.1625
600.0000,666.6667,13.6610
600.0000,888.8889,13.2882
600.0000,1111.1111,13.5558
600.0000,1333.3333,13.6831
600.0000,1555.5556,13.8680
600.0000,1777.7778,13.9526
600.0000,2000.0000,13.9526
700.0000,0.0000,16.5679
700.0000,222.2222,16.3586
700.0000,444.4444,16.1753
700.0000,666.6667,15.9011
700.0000,888.8889,15.6441
700.0000,1111.1111,15.9417
700.0000,1333.3333,16.1897
700.0000,1555.5556,16.4414
700.0000,1777.7778,16.6054
700.0000,2000.0000,16.6054
800.0000,0.0000,16.1741
800.0000,222.2222,15.9917
800.0000,444.4444,15.8523
800.0000,666.6667,15.6825
800.0000,888.8889,15.4771
800.0000,1111.1111,15.7840
800.0000,1333.3333,16.0803
800.0000,1555.5556,16.3456
800.0000,1777.7778,16.5381
800.0000,2000.0000,16.5381
900.0000,0.0000,15.2084
900.0000,222.2222,15.0340
900.0000,444.4444,14.9169
900.0000,666.6667,14.8021
900.0000,888.8889,14.6128
900.0000,1111.1111,14.9155
900.0000,1333.3333,15.2254
900.0000,1555.5556,15.4780
900.0000,1777.7778,15.6719
900.0000,2000.0000,15.6719
1000.0000,0.0000,14.1903
1000.0000,222.2222,14.0447
1000.0000,444.4444,13.9612
1000.0000,666.6667,13.8583
1000.0000,888.8889,13.7007
1000.0000,1111.1111,14.0191
1000.0000,1333.3333,14.3117
1000.0000,1555.5556,14.5738
1000.0000,1777.7778,14.7799
1000.0000,2000.0000,14.7799
1100.0000,0.0000,13.0680
1100.0000,222.2222,12.9411
1100.0000,444.4444,12.8773
1100.0000,666.6667,12.7994
1100.0000,888.8889,12.6549
1100.0000,1111.1111,12.9772
1100.0000,1333.3333,13.2800
1100.0000,1555.5556,13.5362
1100.0000,1777.7778,13.7356
1100.0000,2000.0000,13.7356
1200.0000,0.0000,11.8432
1200.0000,222.2222,11.7404
1200.0000,444.4444,11.6942
1200.0000,666.6667,11.6403
1200.0000,888.8889,11.5096
1200.0000,1111.1111,11.8366
1200.0000,1333.3333,12.1463
1200.0000,1555.5556,12.4021
1200.0000,1777.7778,12.5902
1200.0000,2000.0000,12.5902
1300.0000,0.0000,10.6160
1300.0000,222.2222,10.5382
1300.0000,444.4444,10.5172
1300.0000,666.6667,10.4773
1300.0000,888.8889,10.3594
1300.0000,1111.1111,10.6897
1300.0000,1333.3333,10.9930
1300.0000,1555.5556,11.2375
1300.0000,1777.7778,11.4128
1300.0000,2000.0000,11.4128
1400.0000,0.0000,9.4893
1400.0000,222.2222,9.4303
1400.0000,444.4444,9.4300
1400.0000,666.6667,9.4176
1400.0000,888.8889,9.3053
1400.0000,1111.1111,9.6301
1400.0000,1333.3333,9.9307
1400.0000,1555.5556,10.1536
1400.0000,1777.7778,10.3103
1400.0000,2000.0000,10.3103
1500.0000,0.0000,8.4579
1500.0000,222.2222,8.4202
1500.0000,444.4444,8.4451
1500.0000,666.6667,8.4525
1500.0000,888.8889,8.3460
1500.0000,1111.1111,8.6647
1500.0000,1333.3333,8.9481
1500.0000,1555.5556,9.1429
1500.0000,1777.7778,9.2776
1500.0000,2000.0000,9.2776
1600.0000,0.0000,7.4670
1600.0000,222.2222,7.4527
1600.0000,444.4444,7.5102
1600.0000,666.6667,7.5355
1600.0000,888.8889,7.4343
1600.0000,1111.1111,7.7449
1600.0000,1333.3333,8.0026
1600.0000,1555.5556,8.1577
1600.0000,1777.7778,8.2647
1600.0000,2000.0000,8.2647
1700.0000,0.0000,6.5415
1700.0000,222.2222,6.5491
1700.0000,444.4444,6.6502
1700.0000,666.6667,6.6924
1700.0000,888.8889,6.5920
1700.0000,1111.1111,6.8899
1700.0000,1333.3333,7.1182
1700.0000,1555.5556,7.2126
1700.0000,1777.7778,7.2849
1700.0000,2000.0000,7.2849
1800.0000,0.0000,5.7684
1800.0000,222.2222,5.7939
1800.0000,444.4444,5.9395
1800.0000,666.6667,6.0082
1800.0000,888.8889,5.9106
1800.0000,1111.1111,6.1843
