y,0,1,2,3,4,5,6,7,8
50.0,-0.3712,0.4046,1.0119,1.1664,1.356,1.428,1.0966,0.8006,0.2188
150.0,1.5321,2.3505,2.9444,3.0761,3.369,3.5501,3.3096,3.2055,2.7663
250.0,-0.3281,0.1888,0.598,0.6897,0.9324,1.1365,1.1068,1.0694,0.7717
350.0,-2.5773,-2.4502,-2.2785,-2.1881,-2.0485,-1.8784,-1.7329,-1.752,-1.9263
450.0,-2.0572,-2.2839,-2.3354,-2.3871,-2.3348,-2.2337,-2.1649,-2.1926,-2.2688
550.0,0.4105,0.0104,-0.1161,-0.2903,-0.229,-0.1499,-0.2302,-0.2374,-0.2016
650.0,2.3074,1.9061,1.7756,1.5929,1.6228,1.6382,1.4566,1.4231,1.5521
750.0,2.2956,1.9402,1.8312,1.7686,1.7726,1.7221,1.5554,1.5021,1.6977
850.0,1.0218,0.7133,0.6093,0.5644,0.5204,0.4073,0.2114,0.1154,0.3124
950.0,0.072,-0.1791,-0.2839,-0.333,-0.4191,-0.5686,-0.7686,-0.8848,-0.7156
1050.0,-0.283,-0.4452,-0.5323,-0.6041,-0.6759,-0.7917,-0.963,-1.0193,-0.8366
1150.0,-0.4541,-0.6075,-0.692,-0.7421,-0.7745,-0.819,-0.877,-0.832,-0.5964
1250.0,-0.5243,-0.6584,-0.7314,-0.7465,-0.7267,-0.6944,-0.6425,-0.5133,-0.2605
1350.0,-0.4591,-0.5585,-0.6101,-0.6038,-0.543,-0.4588,-0.3512,-0.1822,0.0534
1450.0,-0.2492,-0.3065,-0.3391,-0.3094,-0.2382,-0.1456,-0.0254,0.1373,0.3118
1550.0,-0.0104,-0.0217,-0.0378,-0.0041,0.0602,0.1407,0.2394,0.3614,0.4219
1650.0,0.0832,0.0786,0.0677,0.1003,0.157,0.2205,0.2817,0.3451,0.3176
1750.0,0.0851,0.0842,0.0696,0.0946,0.138,0.18,0.2084,0.2108,0.1291
1850.0,0.1065,0.1161,0.0974,0.1104,0.1431,0.165,0.176,0.1215,0.0017
1950.0,0.1442,0.1673,0.1456,0.1415,0.1653,0.1782,0.1738,0.0512,-0.0973
2050.0,-0.0159,0.0246,0.0081,-0.0291,0.0022,0.027,-0.0274,-0.1741,-0.2803
2150.0,-0.4343,-0.3717,-0.3532,-0.3974,-0.3337,-0.2706,-0.3118,-0.4568,-0.5447
2250.0,-0.1034,-0.07,-0.0879,-0.1268,-0.0856,-0.0318,-0.0602,-0.2296,-0.3433
2350.0,0.1792,0.2094,0.1843,0.1157,0.152,0.2073,0.1326,-0.0476,-0.173
2450.0,0.3141,0.3338,0.3063,0.2735,0.3028,0.3479,0.2528,0.0436,-0.107
2550.0,-0.0177,0.026,0.0432,0.0677,0.1152,0.1797,0.1106,-0.0981,-0.2749
2650.0,-0.1621,-0.0799,-0.0082,0.0112,0.0774,0.1593,0.0701,-0.125,-0.3023
2750.0,0.0346,0.1225,0.2053,0.2088,0.2611,0.31,0.2027,0.0278,-0.1538
2850.0,-0.1183,-0.0259,0.0714,0.0674,0.1119,0.1407,0.0521,-0.0963,-0.2518
2950.0,-0.1551,-0.0839,-0.0102,0.0138,0.0195,-0.0017,-0.0356,-0.1654,-0.3006
3050.0,-0.0786,-0.0434,0.0089,0.0102,-0.0177,-0.0709,-0.0885,-0.1616,-0.2645
3150.0,0.0862,0.0672,0.084,0.1222,0.0285,-0.0886,-0.0394,-0.0622,-0.1475
3250.0,0.1302,0.0607,0.0557,0.1093,-0.0308,-0.1729,-0.0736,-0.0345,-0.0831
3350.0,0.2169,0.1257,0.1072,0.1523,-0.0191,-0.1648,-0.0491,0.0631,0.0618
3450.0,0.0169,-0.0665,-0.0761,-0.0006,-0.1888,-0.3222,-0.1536,0.034,0.0931
3550.0,-0.1461,-0.244,-0.2784,-0.1224,-0.3458,-0.5322,-0.277,-0.0716,0.0162
3650.0,-0.1971,-0.2861,-0.3028,-0.1488,-0.3948,-0.6137,-0.3577,-0.1271,-0.0003
3750.0,-0.0723,-0.1539,-0.1701,-0.0642,-0.307,-0.5288,-0.3157,-0.0732,0.0677
3850.0,-0.0602,-0.1388,-0.1488,-0.0724,-0.3222,-0.5484,-0.3588,-0.148,-0.0179
3950.0,0.0228,-0.0321,-0.0418,-0.0042,-0.2536,-0.4849,-0.354,-0.1881,-0.076
4050.0,0.1487,0.0926,0.0603,0.0637,-0.1751,-0.3998,-0.3198,-0.2053,-0.0964
4150.0,0.2328,0.169,0.1049,0.069,-0.1386,-0.3155,-0.2546,-0.1724,-0.0647
4250.0,0.3712,0.3092,0.2251,0.161,-0.0153,-0.1409,-0.0891,-0.0264,0.0748
4350.0,0.5675,0.5226,0.423,0.3618,0.226,0.1517,0.2163,0.2435,0.3108
4450.0,0.6776,0.6797,0.5874,0.5113,0.4561,0.4682,0.5155,0.5205,0.5517
4550.0,0.621,0.6488,0.5898,0.5762,0.6247,0.7387,0.836,0.8328,0.7889
4650.0,0.2873,0.3525,0.3443,0.3941,0.5414,0.7481,0.8879,0.8918,0.7964
4750.0,-0.3889,-0.2915,-0.2533,-0.1423,0.0711,0.3356,0.5135,0.5211,0.3892
4850.0,-1.4978,-1.3721,-1.2878,-1.147,-0.8918,-0.67,-0.418,-0.4049,-0.5444
4950.0,-3.1111,-2.9981,-2.9011,-2.7108,-2.4806,-2.2343,-2.0223,-2.0206,-2.0733
