y,x,val
0.0000,0.0000,-8.8914
0.0000,222.2222,-8.5031
0.0000,444.4444,-8.2497
0.0000,666.6667,-8.2573
0.0000,888.8889,-8.1239
0.0000,1111.1111,-8.0439
0.0000,1333.3333,-8.2344
0.0000,1555.5556,-8.3279
0.0000,1777.7778,-8.6515
0.0000,2000.0000,-8.6515
100.0000,0.0000,-5.9186
100.0000,222.2222,-5.2829
100.0000,444.4444,-5.0025
100.0000,666.6667,-4.9924
100.0000,888.8889,-4.7735
100.0000,1111.1111,-4.6588
100.0000,1333.3333,-4.8130
100.0000,1555.5556,-4.7952
100.0000,1777.7778,-5.1766
100.0000,2000.0000,-5.1766
200.0000,0.0000,-5.2871
200.0000,222.2222,-4.6932
200.0000,444.4444,-4.4662
200.0000,666.6667,-4.4455
200.0000,888.8889,-4.3101
200.0000,1111.1111,-4.2632
200.0000,1333.3333,-4.3283
200.0000,1555.5556,-4.3969
200.0000,1777.7778,-4.8686
200.0000,2000.0000,-4.8686
300.0000,0.0000,-4.3034
300.0000,222.2222,-3.8465
300.0000,444.4444,-3.7101
300.0000,666.6667,-3.6359
300.0000,888.8889,-3.6275
300.0000,1111.1111,-3.6888
300.0000,1333.3333,-3.6893
300.0000,1555.5556,-3.8867
300.0000,1777.7778,-4.4468
300.0000,2000.0000,-4.4468
400.0000,0.0000,-0.5017
400.0000,222.2222,-0.1689
400.0000,444.4444,-0.1219
400.0000,666.6667,-0.1342
400.0000,888.8889,-0.2148
400.0000,1111.1111,-0.3827
400.0000,1333.3333,-0.5227
400.0000,1555.5556,-0.8219
400.0000,1777.7778,-1.4472
400.0000,2000.0000,-1.4472
500.0000,0.0000,4.6419
500.0000,222.2222,4.9836
500.0000,444.4444,5.0604
500.0000,666.6667,4.9850
500.0000,888.8889,4.9469
500.0000,1111.1111,4.7763
500.0000,1333.3333,4.4952
500.0000,1555.5556,4.2032
500.0000,1777.7778,3.6056
500.0000,2000.0000,3.6056
600.0000,0.0000,8.0344
600.0000,222.2222,8.4019
600.0000,444.4444,8.5414
600.0000,666.6667,8.5470
600.0000,888.8889,8.5815
600.0000,1111.1111,8.4572
600.0000,1333.3333,8.1809
600.0000,1555.5556,7.9376
600.0000,1777.7778,7.4330
600.0000,2000.0000,7.4330
700.0000,0.0000,8.3164
700.0000,222.2222,8.7019
700.0000,444.4444,8.8913
700.0000,666.6667,9.0884
700.0000,888.8889,9.1982
700.0000,1111.1111,9.1263
700.0000,1333.3333,8.9896
700.0000,1555.5556,8.8206
700.0000,1777.7778,8.4236
700.0000,2000.0000,8.4236
800.0000,0.0000,6.2694
800.0000,222.2222,6.6294
800.0000,444.4444,6.8203
800.0000,666.6667,7.0789
800.0000,888.8889,7.2077
800.0000,1111.1111,7.1485
800.0000,1333.3333,7.0755
800.0000,1555.5556,6.9414
800.0000,1777.7778,6.6151
800.0000,2000.0000,6.6151
