y,0,1,2,3,4,5,6,7,8
50.0,1507.6746,1508.1251,1508.382,1508.6273,1508.7897,1508.8647,1508.9283,1508.856,1508.5203
150.0,1507.085,1507.6676,1507.8884,1508.1522,1508.3168,1508.3735,1508.4742,1508.4306,1507.9875
250.0,1505.6877,1506.3028,1506.523,1506.7993,1506.969,1507.0219,1507.1355,1507.0998,1506.6357
350.0,1503.5291,1504.1353,1504.3647,1504.6569,1504.8352,1504.8869,1504.9986,1504.9629,1504.5139
450.0,1500.7265,1501.3081,1501.553,1501.8668,1502.0562,1502.104,1502.2027,1502.1592,1501.7382
550.0,1497.4573,1498.0125,1498.2786,1498.6173,1498.8175,1498.8574,1498.9347,1498.8745,1498.4819
650.0,1493.9681,1494.4902,1494.7707,1495.1282,1495.3346,1495.3635,1495.4176,1495.3417,1494.9814
750.0,1490.5127,1490.9886,1491.2643,1491.6258,1491.83,1491.8458,1491.8813,1491.8,1491.4809
850.0,1487.2941,1487.7171,1487.9698,1488.3195,1488.5121,1488.5129,1488.5343,1488.4558,1488.1797
950.0,1484.4805,1484.8475,1485.0641,1485.3893,1485.5624,1485.546,1485.5557,1485.4828,1485.2462
1050.0,1482.2097,1482.5173,1482.6892,1482.9823,1483.131,1483.0958,1483.0943,1483.0263,1482.8227
1150.0,1480.5903,1480.83,1480.9548,1481.213,1481.3352,1481.2808,1481.2689,1481.2053,1481.0299
1250.0,1479.7137,1479.8664,1479.9455,1480.1656,1480.2591,1480.1866,1480.1666,1480.1083,1479.9616
1350.0,1479.655,1479.7283,1479.7276,1479.8899,1479.9493,1479.8627,1479.8417,1479.7907,1479.6796
1450.0,1480.3581,1480.3682,1480.2783,1480.3754,1480.4041,1480.3171,1480.317,1480.2977,1480.2117
1550.0,1481.7763,1481.7152,1481.5297,1481.5651,1481.5749,1481.5048,1481.5453,1481.5693,1481.4862
1650.0,1483.8396,1483.6938,1483.3929,1483.3746,1483.3795,1483.3406,1483.436,1483.5163,1483.4037
1750.0,1486.454,1486.2085,1485.7703,1485.711,1485.718,1485.7135,1485.863,1486.0172,1485.8189
1850.0,1489.5505,1489.2535,1488.6474,1488.4955,1488.4807,1488.501,1488.6912,1488.8618,1488.5542
1950.0,1492.8731,1492.5454,1491.8044,1491.5548,1491.5128,1491.557,1491.7801,1491.9394,1491.5478
2050.0,1496.2393,1495.8981,1495.0375,1494.696,1494.6396,1494.7251,1494.9937,1495.133,1494.6612
2150.0,1499.4946,1499.2075,1498.2073,1497.744,1497.6908,1497.8439,1498.1777,1498.259,1497.7072
2250.0,1502.3846,1502.2753,1501.1352,1500.5331,1500.523,1500.7693,1501.2077,1501.1675,1500.5401
2350.0,1504.6488,1504.7831,1503.7262,1503.0587,1503.0728,1503.3876,1503.8545,1503.6729,1503.0384
2450.0,1506.3711,1506.6816,1505.81,1505.189,1505.2492,1505.6262,1506.0873,1505.8346,1505.2034
2550.0,1507.6163,1508.044,1507.4833,1506.943,1507.0173,1507.4521,1507.8638,1507.5576,1506.9876
2650.0,1508.4873,1508.8881,1508.8294,1508.3597,1508.3876,1508.9253,1509.2412,1508.8806,1508.4577
2750.0,1509.1486,1509.4073,1509.7763,1509.5311,1509.5231,1510.0469,1510.2609,1509.9904,1509.7593
2850.0,1509.5261,1509.7518,1510.3791,1510.3549,1510.3869,1510.8914,1511.0941,1510.9458,1510.858
2950.0,1509.69,1509.9155,1510.7283,1510.9313,1511.0233,1511.4903,1511.723,1511.7262,1511.7739
3050.0,1509.8047,1510.0253,1510.925,1511.4315,1511.5355,1511.8403,1512.0849,1512.2956,1512.4998
3150.0,1509.9713,1510.1687,1510.9489,1511.9491,1512.03,1512.0113,1512.244,1512.7511,1513.0927
3250.0,1510.2638,1510.4954,1510.9838,1512.3187,1512.497,1512.2152,1512.4703,1513.2496,1513.6512
3350.0,1510.6727,1510.8785,1511.2316,1512.6777,1512.9096,1512.5246,1512.8112,1513.7543,1514.2227
3450.0,1511.2736,1511.447,1511.7193,1513.1562,1513.4068,1512.9609,1513.2651,1514.3152,1514.8388
3550.0,1512.2106,1512.4128,1512.5709,1513.8362,1514.1517,1513.6103,1513.8708,1514.9672,1515.4921
3650.0,1513.4352,1513.7315,1513.7589,1514.5994,1515.171,1514.4673,1514.6119,1515.6782,1516.1276
3750.0,1514.8225,1515.216,1515.2293,1515.4836,1516.2084,1515.6471,1515.6595,1516.4065,1516.7198
3850.0,1516.4413,1516.8782,1516.8221,1516.7165,1517.3931,1516.9515,1516.8072,1517.2085,1517.4023
3950.0,1518.3076,1518.7883,1518.6693,1518.2496,1518.7023,1518.4726,1518.1146,1518.0567,1518.2239
4050.0,1520.4164,1521.0216,1520.8952,1520.1175,1520.0476,1520.3709,1519.6994,1518.8961,1519.2937
4150.0,1522.5022,1523.1191,1523.0682,1522.2519,1521.6848,1522.4329,1521.693,1520.5043,1521.0854
4250.0,1524.5368,1525.1357,1525.1601,1524.3775,1523.6623,1524.5498,1523.8865,1522.6535,1523.2469
4350.0,1526.4872,1526.9788,1527.1015,1526.4361,1525.7556,1526.5866,1526.1141,1525.0653,1525.5412
4450.0,1528.3361,1528.5165,1528.7971,1528.3273,1527.8207,1528.2889,1528.165,1527.5965,1527.7558
4550.0,1530.05,1529.8508,1530.1064,1529.8813,1529.6544,1529.505,1529.7583,1529.9458,1529.7814
4650.0,1531.4167,1531.032,1531.2268,1531.116,1530.9924,1530.6183,1531.0842,1531.669,1531.4385
4750.0,1532.398,1531.957,1532.105,1532.0279,1531.9419,1531.5329,1532.093,1532.8343,1532.6211
4850.0,1532.9647,1532.5658,1532.6725,1532.6001,1532.5346,1532.1852,1532.7404,1533.4726,1533.3044
4950.0,1533.0722,1532.8553,1532.873,1532.8082,1532.7395,1532.5788,1533.0083,1533.5527,1533.5081
