y,x,val
0.0000,0.0000,-1.3221
0.0000,222.2222,-0.5598
0.0000,444.4444,0.2186
0.0000,666.6667,0.6933
0.0000,888.8889,1.0716
0.0000,1111.1111,0.8855
0.0000,1333.3333,0.2049
0.0000,1555.5556,-0.3829
0.0000,1777.7778,-1.0931
0.0000,2000.0000,-1.0931
100.0000,0.0000,0.7481
100.0000,222.2222,1.5432
100.0000,444.4444,2.3008
100.0000,666.6667,2.7701
100.0000,888.8889,3.3161
100.0000,1111.1111,3.1080
100.0000,1333.3333,2.4854
100.0000,1555.5556,2.0677
100.0000,1777.7778,1.4859
100.0000,2000.0000,1.4859
200.0000,0.0000,-0.6032
200.0000,222.2222,-0.0960
200.0000,444.4444,0.4560
200.0000,666.6667,0.7779
200.0000,888.8889,1.2106
200.0000,1111.1111,0.9838
200.0000,1333.3333,0.6073
200.0000,1555.5556,0.2538
200.0000,1777.7778,-0.1836
200.0000,2000.0000,-0.1836
300.0000,0.0000,-2.1286
300.0000,222.2222,-2.0096
300.0000,444.4444,-1.7954
300.0000,666.6667,-1.6511
300.0000,888.8889,-1.4453
300.0000,1111.1111,-1.6741
300.0000,1333.3333,-1.7590
300.0000,1555.5556,-2.0000
300.0000,1777.7778,-2.2808
300.0000,2000.0000,-2.2808
400.0000,0.0000,-0.8511
400.0000,222.2222,-1.1012
400.0000,444.4444,-1.2767
400.0000,666.6667,-1.5202
400.0000,888.8889,-1.5830
400.0000,1111.1111,-1.7432
400.0000,1333.3333,-1.6757
400.0000,1555.5556,-1.7272
400.0000,1777.7778,-1.8321
400.0000,2000.0000,-1.8321
500.0000,0.0000,2.1785
500.0000,222.2222,1.7227
500.0000,444.4444,1.2817
500.0000,666.6667,0.6448
500.0000,888.8889,0.3326
500.0000,1111.1111,0.4511
500.0000,1333.3333,0.6935
500.0000,1555.5556,0.9331
500.0000,1777.7778,1.0677
500.0000,2000.0000,1.0677
600.0000,0.0000,4.1378
600.0000,222.2222,3.5689
600.0000,444.4444,2.9974
600.0000,666.6667,2.2556
600.0000,888.8889,1.8004
600.0000,1111.1111,2.1690
600.0000,1333.3333,2.5851
600.0000,1555.5556,3.0568
600.0000,1777.7778,3.4240
600.0000,2000.0000,3.4240
700.0000,0.0000,3.7886
