y,0,1,2,3,4,5,6,7,8
50.0,1515.5332,1516.3888,1517.4669,1518.4292,1518.8221,1518.2441,1517.3921,1516.3337,1515.5835
150.0,1514.0563,1514.8013,1515.8478,1516.7945,1517.2763,1516.5751,1515.9115,1514.8506,1514.2289
250.0,1510.6538,1511.1624,1512.0475,1512.8063,1513.2656,1512.6755,1512.3361,1511.4265,1511.0354
350.0,1505.8829,1506.0961,1506.6884,1507.176,1507.5489,1507.1753,1507.2094,1506.6111,1506.5055
450.0,1500.3693,1500.2644,1500.4896,1500.6183,1500.809,1500.7608,1501.2323,1501.0214,1501.225
550.0,1494.7633,1494.3636,1494.2225,1493.9517,1493.8036,1494.249,1495.1643,1495.3198,1495.8062
650.0,1489.6525,1489.0365,1488.6429,1488.1668,1487.7978,1488.6308,1489.7328,1490.1108,1490.8015
750.0,1485.4765,1484.7329,1484.1866,1483.6479,1483.2207,1484.171,1485.3001,1485.8091,1486.6263
850.0,1482.5121,1481.7578,1481.193,1480.69,1480.2775,1481.1902,1482.2284,1482.7183,1483.5504
950.0,1480.8099,1480.137,1479.6879,1479.3401,1479.0178,1479.765,1480.5694,1480.8984,1481.6515
1050.0,1480.2524,1479.7294,1479.4798,1479.3903,1479.274,1479.7083,1480.1515,1480.2301,1480.8469
1150.0,1480.6005,1480.2602,1480.2006,1480.3407,1480.4038,1480.5381,1480.6291,1480.4696,1480.9469
1250.0,1481.5641,1481.3977,1481.497,1481.7809,1481.9055,1481.8531,1481.6926,1481.3724,1481.7285
1350.0,1482.9142,1482.8643,1483.068,1483.4208,1483.5453,1483.3927,1483.0941,1482.6765,1482.9508
1450.0,1484.4884,1484.4972,1484.7402,1485.0952,1485.1785,1484.9927,1484.6461,1484.2066,1484.4458
1550.0,1486.1817,1486.2061,1486.4353,1486.7423,1486.7368,1486.581,1486.2462,1485.8695,1486.1148
1650.0,1487.9444,1487.9602,1488.1456,1488.3963,1488.3022,1488.1703,1487.8698,1487.6531,1487.9183
1750.0,1489.762,1489.7716,1489.8963,1490.111,1489.9814,1489.8748,1489.6441,1489.5921,1489.8394
1850.0,1491.6147,1491.6417,1491.7283,1491.9291,1491.8004,1491.7287,1491.5747,1491.6292,1491.854
1950.0,1493.4917,1493.532,1493.6061,1493.8321,1493.7323,1493.6933,1493.5997,1493.7108,1493.9262
