y,x,val
0.0000,0.0000,1511.1368
0.0000,222.2222,1511.7774
0.0000,444.4444,1512.5457
0.0000,666.6667,1513.2439
0.0000,888.8889,1513.5704
0.0000,1111.1111,1513.4007
0.0000,1333.3333,1512.9074
0.0000,1555.5556,1512.2882
0.0000,1777.7778,1511.7144
0.0000,2000.0000,1511.7144
100.0000,0.0000,1510.1793
100.0000,222.2222,1510.8576
100.0000,444.4444,1511.6730
100.0000,666.6667,1512.4472
100.0000,888.8889,1512.8046
100.0000,1111.1111,1512.5916
100.0000,1333.3333,1512.0530
100.0000,1555.5556,1511.3981
100.0000,1777.7778,1510.7911
100.0000,2000.0000,1510.7911
200.0000,0.0000,1507.8981
200.0000,222.2222,1508.5083
200.0000,444.4444,1509.2666
200.0000,666.6667,1510.0066
200.0000,888.8889,1510.3492
200.0000,1111.1111,1510.1493
200.0000,1333.3333,1509.6590
200.0000,1555.5556,1509.0706
200.0000,1777.7778,1508.5359
200.0000,2000.0000,1508.5359
300.0000,0.0000,1504.4890
300.0000,222.2222,1504.9476
300.0000,444.4444,1505.5409
300.0000,666.6667,1506.1363
300.0000,888.8889,1506.4117
300.0000,1111.1111,1506.2812
300.0000,1333.3333,1505.9427
300.0000,1555.5556,1505.5254
300.0000,1777.7778,1505.1455
300.0000,2000.0000,1505.1455
400.0000,0.0000,1500.2828
400.0000,222.2222,1500.5246
400.0000,444.4444,1500.8555
400.0000,666.6667,1501.1934
400.0000,888.8889,1501.3295
400.0000,1111.1111,1501.3413
400.0000,1333.3333,1501.2642
400.0000,1555.5556,1501.1132
400.0000,1777.7778,1500.9522
400.0000,2000.0000,1500.9522
500.0000,0.0000,1495.7102
500.0000,222.2222,1495.7021
500.0000,444.4444,1495.7097
500.0000,666.6667,1495.6972
500.0000,888.8889,1495.5922
500.0000,1111.1111,1495.8479
500.0000,1333.3333,1496.1233
500.0000,1555.5556,1496.2980
500.0000,1777.7778,1496.3881
500.0000,2000.0000,1496.3881
600.0000,0.0000,1491.2433
600.0000,222.2222,1491.0032
600.0000,444.4444,1490.7081
600.0000,666.6667,1490.3640
600.0000,888.8889,1490.0274
600.0000,1111.1111,1490.5168
600.0000,1333.3333,1491.1251
600.0000,1555.5556,1491.6039
600.0000,1777.7778,1491.9269
600.0000,2000.0000,1491.9269
700.0000,0.0000,1487.3135
700.0000,222.2222,1486.9074
700.0000,444.4444,1486.4088
700.0000,666.6667,1485.8613
700.0000,888.8889,1485.4111
700.0000,1111.1111,1486.0157
700.0000,1333.3333,1486.8283
700.0000,1555.5556,1487.5112
700.0000,1777.7778,1488.0008
700.0000,2000.0000,1488.0008
800.0000,0.0000,1484.2366
800.0000,222.2222,1483.7541
800.0000,444.4444,1483.1813
800.0000,666.6667,1482.5751
800.0000,888.8889,1482.1018
800.0000,1111.1111,1482.7308
800.0000,1333.3333,1483.6026
800.0000,1555.5556,1484.3603
800.0000,1777.7778,1484.9263
800.0000,2000.0000,1484.9263
900.0000,0.0000,1482.1750
900.0000,222.2222,1481.7065
900.0000,444.4444,1481.1859
900.0000,666.6667,1480.6592
900.0000,888.8889,1480.2454
900.0000,1111.1111,1480.8160
900.0000,1333.3333,1481.6086
900.0000,1555.5556,1482.3143
900.0000,1777.7778,1482.8663
900.0000,2000.0000,1482.8663
1000.0000,0.0000,1481.1373
1000.0000,222.2222,1480.7530
1000.0000,444.4444,1480.3823
1000.0000,666.6667,1480.0500
1000.0000,888.8889,1479.7910
1000.0000,1111.1111,1480.2075
1000.0000,1333.3333,1480.8060
1000.0000,1555.5556,1481.3616
1000.0000,1777.7778,1481.8289
1000.0000,2000.0000,1481.8289
1100.0000,0.0000,1481.0082
1100.0000,222.2222,1480.7414
1100.0000,444.4444,1480.5561
1100.0000,666.6667,1480.4470
1100.0000,888.8889,1480.3539
1100.0000,1111.1111,1480.6047
1100.0000,1333.3333,1480.9800
1100.0000,1555.5556,1481.3496
1100.0000,1777.7778,1481.6981
1100.0000,2000.0000,1481.6981
1200.0000,0.0000,1481.6056
1200.0000,222.2222,1481.4525
1200.0000,444.4444,1481.4286
1200.0000,666.6667,1481.4892
1200.0000,888.8889,1481.4916
1200.0000,1111.1111,1481.6460
1200.0000,1333.3333,1481.8507
1200.0000,1555.5556,1482.0580
1200.0000,1777.7778,1482.2900
1200.0000,2000.0000,1482.2900
1300.0000,0.0000,1482.7365
1300.0000,222.2222,1482.6746
1300.0000,444.4444,1482.7640
1300.0000,666.6667,1482.9294
1300.0000,888.8889,1482.9796
1300.0000,1111.1111,1483.0837
1300.0000,1333.3333,1483.1808
1300.0000,1555.5556,1483.2716
1300.0000,1777.7778,1483.4094
1300.0000,2000.0000,1483.4094
1400.0000,0.0000,1484.2281
1400.0000,222.2222,1484.2297
1400.0000,444.4444,1484.3849
1400.0000,666.6667,1484.6000
1400.0000,888.8889,1484.6651
1400.0000,1111.1111,1484.7500
1400.0000,1333.3333,1484.7929
1400.0000,1555.5556,1484.8135
1400.0000,1777.7778,1484.8848
1400.0000,2000.0000,1484.8848
1500.0000,0.0000,1485.9469
1500.0000,222.2222,1485.9870
1500.0000,444.4444,1486.1707
1500.0000,666.6667,1486.3940
1500.0000,888.8889,1486.4464
1500.0000,1111.1111,1486.5384
1500.0000,1333.3333,1486.5673
1500.0000,1555.5556,1486.5532
1500.0000,1777.7778,1486.5827
