y,0,1,2,3,4,5,6,7,8
50.0,1496.4336,1496.8811,1497.4459,1498.0826,1499.4671,1500.4489,1501.4961,1502.0902,1502.431
150.0,1496.2949,1496.9533,1497.5516,1498.0186,1499.6679,1500.466,1501.5461,1502.0429,1502.4526
250.0,1496.2117,1496.9873,1497.6105,1498.0061,1499.6702,1500.311,1501.2639,1501.6652,1502.0733
350.0,1496.0041,1496.8327,1497.452,1497.7843,1499.3679,1499.8438,1500.5863,1500.8914,1501.2741
450.0,1495.5498,1496.388,1496.9687,1497.2168,1498.6937,1499.0302,1499.5481,1499.7162,1500.0507
550.0,1494.785,1495.6003,1496.1065,1496.2287,1497.5677,1497.7472,1498.074,1498.1074,1498.3952
650.0,1493.7003,1494.4668,1494.873,1494.8341,1495.9931,1495.9981,1496.1535,1496.0654,1496.3245
750.0,1492.335,1493.0218,1493.2907,1493.0667,1494.0189,1493.8441,1493.8461,1493.6486,1493.9058
850.0,1490.7845,1491.3629,1491.4602,1491.0213,1491.7423,1491.3946,1491.2779,1490.9997,1491.2692
950.0,1489.1966,1489.6429,1489.5416,1488.853,1489.3052,1488.7936,1488.5867,1488.2719,1488.581
1050.0,1487.7587,1488.0566,1487.7511,1486.7863,1486.9058,1486.2594,1486.0038,1485.6892,1486.0656
1150.0,1486.6796,1486.8142,1486.3488,1485.1346,1484.8226,1484.1034,1483.8402,1483.5475,1484.0157
1250.0,1486.1669,1486.1014,1485.5778,1484.2874,1483.601,1482.7394,1482.4505,1482.1909,1482.8065
1350.0,1486.3942,1486.1398,1485.4654,1484.0636,1483.1991,1482.3008,1482.0542,1481.9086,1482.667
1450.0,1487.226,1486.8207,1485.9517,1484.4324,1483.5424,1482.7815,1482.648,1482.6395,1483.4699
1550.0,1488.6714,1488.1284,1487.0154,1485.3702,1484.5452,1484.1307,1484.1582,1484.3291,1485.1576
1650.0,1490.8009,1490.2017,1488.7499,1486.9526,1486.1524,1486.1446,1486.4862,1487.0092,1487.6671
1750.0,1493.5926,1493.4262,1491.4403,1489.5914,1488.9226,1489.2385,1489.8546,1490.9293,1490.8489
1850.0,1496.0756,1496.6011,1494.5536,1492.7654,1492.2814,1492.8663,1493.6662,1494.742,1493.7039
1950.0,1498.2243,1499.1937,1497.4489,1495.91,1495.6735,1496.4946,1497.3242,1497.9275,1496.2533
2050.0,1499.8141,1501.0578,1499.8237,1498.6234,1498.6443,1499.7065,1500.5819,1500.2648,1498.1908
2150.0,1500.7333,1502.0569,1501.6174,1500.6736,1500.8247,1502.0479,1503.192,1501.3568,1499.3354
2250.0,1501.1305,1502.0867,1502.9848,1502.001,1502.0527,1503.0684,1504.2441,1501.3335,1499.9997
2350.0,1501.5712,1501.7258,1503.5536,1502.7957,1502.8073,1503.7942,1505.0512,1501.5989,1500.4698
2450.0,1501.8973,1501.6468,1503.7559,1503.3297,1503.2771,1504.2731,1505.3524,1501.9174,1500.9052
2550.0,1502.3022,1501.8037,1503.8388,1504.024,1503.63,1504.7618,1505.0929,1502.0828,1501.3962
2650.0,1502.9955,1502.3148,1503.8086,1505.4629,1504.033,1505.9348,1504.4903,1502.5457,1502.2869
2750.0,1504.0889,1503.5014,1504.0942,1507.3888,1505.5721,1507.4503,1504.3939,1504.1593,1503.8816
2850.0,1505.3358,1504.7848,1505.1745,1509.2408,1507.4259,1509.0017,1505.3785,1505.8923,1505.6394
2950.0,1506.5611,1506.052,1506.5595,1511.0467,1509.373,1510.4835,1506.878,1507.8971,1507.6975
3050.0,1507.6632,1507.1553,1507.9462,1512.7456,1511.5182,1511.5449,1508.4913,1510.1369,1509.9795
3150.0,1508.6434,1507.9882,1509.2265,1514.0759,1514.1547,1511.604,1510.1492,1512.614,1512.2875
3250.0,1509.6228,1508.8062,1510.4315,1514.9173,1515.8198,1511.7266,1512.3684,1514.8877,1514.1807
