y,0,1,2,3,4,5,6,7,8
50.0,-27.3686,-27.4204,-27.3782,-27.558,-27.4989,-27.4038,-27.5771,-27.5376,-27.4927
150.0,-23.7945,-23.7323,-23.6245,-23.8012,-23.6545,-23.5022,-23.6723,-23.5473,-23.4515
250.0,-21.7138,-21.7256,-21.6689,-21.8448,-21.7839,-21.6926,-21.7835,-21.7507,-21.7233
350.0,-18.48,-18.6192,-18.6609,-18.7976,-18.8704,-18.8838,-18.9063,-19.0009,-19.0762
450.0,-11.7452,-11.9833,-12.1289,-12.3724,-12.5442,-12.6589,-12.8066,-12.9941,-13.162
550.0,-3.1635,-3.366,-3.5024,-3.833,-3.9723,-4.081,-4.3474,-4.5103,-4.6785
650.0,3.9251,3.7816,3.6939,3.426,3.3536,3.3028,3.0649,2.967,2.8598
750.0,7.9073,7.8279,7.7951,7.7149,7.7203,7.7353,7.6562,7.6383,7.5979
850.0,9.3621,9.31,9.3015,9.2945,9.3307,9.3735,9.3724,9.3869,9.3741
950.0,9.977,9.9287,9.9253,9.9517,9.992,10.0403,10.0728,10.0909,10.0836
1050.0,10.2612,10.235,10.2515,10.2752,10.3394,10.4089,10.4371,10.4776,10.4897
1150.0,10.1639,10.1467,10.1714,10.2094,10.2813,10.358,10.406,10.4512,10.4677
1250.0,9.6972,9.6893,9.7206,9.7732,9.8543,9.9384,10.0016,10.0567,10.0809
1350.0,8.979,8.9796,9.0198,9.0746,9.1635,9.2554,9.3249,9.3879,9.4206
1450.0,8.1242,8.1262,8.1676,8.2355,8.3248,8.417,8.501,8.5667,8.6024
1550.0,7.1504,7.1539,7.1965,7.2677,7.3571,7.4503,7.5378,7.6064,7.6455
1650.0,6.0345,6.0381,6.0817,6.1521,6.2414,6.3353,6.4215,6.4926,6.5358
1750.0,4.8391,4.8405,4.884,4.9517,5.0376,5.1305,5.2157,5.2864,5.3319
1850.0,3.69,3.6909,3.7337,3.7984,3.8815,3.9722,4.0549,4.1232,4.1676
1950.0,2.6079,2.6046,2.6421,2.6944,2.7718,2.8558,2.925,2.9869,3.0253
2050.0,1.4332,1.425,1.4618,1.4813,1.5638,1.6601,1.6968,1.7742,1.8359
2150.0,0.185,0.197,0.2602,0.2615,0.3535,0.4619,0.505,0.5829,0.6446
2250.0,-0.1452,-0.1673,-0.1463,-0.1386,-0.0816,-0.0148,0.0219,0.0634,0.0863
2350.0,-0.3727,-0.4026,-0.4026,-0.4281,-0.3803,-0.3355,-0.3433,-0.3175,-0.3178
2450.0,-0.6354,-0.6849,-0.7062,-0.7089,-0.6793,-0.6585,-0.654,-0.6525,-0.6777
2550.0,-1.2641,-1.3097,-1.317,-1.2854,-1.2529,-1.2214,-1.1755,-1.1769,-1.1969
2650.0,-1.5899,-1.621,-1.6084,-1.5992,-1.5527,-1.5056,-1.4796,-1.4717,-1.48
2750.0,-1.4371,-1.4762,-1.4805,-1.5006,-1.4614,-1.4328,-1.4466,-1.4459,-1.4701
2850.0,-1.4992,-1.5451,-1.5496,-1.5778,-1.5474,-1.5211,-1.544,-1.5566,-1.5845
2950.0,-1.2983,-1.3745,-1.4113,-1.4115,-1.4141,-1.422,-1.4287,-1.4739,-1.533
3050.0,-0.8155,-0.9142,-0.9781,-1.0067,-1.0358,-1.076,-1.1169,-1.1908,-1.28
3150.0,-0.1361,-0.2731,-0.3815,-0.3856,-0.4636,-0.557,-0.5776,-0.7019,-0.8425
3250.0,0.4708,0.3064,0.179,0.177,0.0637,-0.0538,-0.0805,-0.2391,-0.4049
3350.0,1.1052,0.9358,0.805,0.7854,0.656,0.5297,0.4751,0.3019,0.1284
3450.0,1.3986,1.242,1.1237,1.1348,1.0126,0.8994,0.8686,0.7066,0.5468
3550.0,1.6718,1.513,1.3705,1.467,1.3332,1.1916,1.2501,1.0771,0.8934
3650.0,1.9572,1.8195,1.6959,1.8021,1.6784,1.5478,1.6278,1.4607,1.2832
3750.0,2.285,2.1746,2.0733,2.1588,2.0556,1.943,1.9959,1.8503,1.6856
3850.0,2.3335,2.2412,2.1638,2.2522,2.1609,2.0655,2.1286,1.9941,1.8419
3950.0,2.2731,2.2054,2.1489,2.2373,2.1682,2.096,2.1566,2.046,1.9172
4050.0,2.1057,2.0624,2.0232,2.116,2.0684,2.0147,2.0794,1.9923,1.8821
4150.0,1.6979,1.6785,1.6623,1.7547,1.7292,1.7002,1.7692,1.707,1.6207
4250.0,1.1138,1.1119,1.1147,1.203,1.1953,1.1878,1.2526,1.2114,1.1472
4350.0,0.3637,0.3709,0.38,0.4766,0.4745,0.473,0.5511,0.5167,0.4581
4450.0,-0.6327,-0.6072,-0.5829,-0.5131,-0.4969,-0.4809,-0.4308,-0.4456,-0.4874
4550.0,-1.7829,-1.7523,-1.7246,-1.6551,-1.6342,-1.6145,-1.5669,-1.5779,-1.6161
4650.0,-3.0964,-3.0593,-3.0268,-2.9665,-2.9395,-2.915,-2.8785,-2.8832,-2.9159
4750.0,-4.5527,-4.5159,-4.484,-4.4248,-4.3996,-4.3773,-4.3418,-4.3488,-4.3843
4850.0,-6.1716,-6.1309,-6.0921,-6.0473,-6.0139,-6.0569,-5.9657,-5.9744,-6.0056
4950.0,-7.9791,-7.9567,-7.9347,-7.8672,-7.8523,-7.8482,-7.7925,-7.8205,-7.7816
