y,0,1,2,3,4,5,6,7,8
50.0,1499.4823,1499.6151,1499.8694,1500.3835,1500.582,1500.8113,1501.3059,1500.9386,1500.6077
150.0,1499.2493,1499.3553,1499.575,1500.2255,1500.3085,1500.4729,1501.255,1500.64,1500.2192
250.0,1498.6612,1498.7375,1498.9222,1499.5745,1499.5712,1499.6833,1500.5264,1499.8117,1499.3458
350.0,1497.7487,1497.7872,1497.9163,1498.5017,1498.3929,1498.4276,1499.2365,1498.4722,1498.0005
450.0,1496.5647,1496.5551,1496.6085,1497.0913,1496.8468,1496.7615,1497.4875,1496.6882,1496.2463
550.0,1495.1814,1495.1136,1495.0724,1495.4223,1495.0172,1494.7762,1495.3926,1494.5648,1494.202
650.0,1493.6878,1493.5561,1493.4104,1493.6116,1493.0267,1492.6013,1493.1046,1492.2567,1492.0502
750.0,1492.1821,1491.9878,1491.7403,1491.7964,1491.0316,1490.4019,1490.8406,1490.0599,1490.0246
850.0,1490.7617,1490.5119,1490.1763,1490.1101,1489.2008,1488.3738,1488.7388,1488.0506,1488.1582
950.0,1489.5148,1489.2199,1488.8115,1488.6348,1487.5797,1486.5764,1486.859,1486.3041,1486.5623
1050.0,1488.5158,1488.193,1487.7401,1487.4842,1486.3034,1485.1244,1485.2843,1484.9771,1485.4258
1150.0,1487.817,1487.4918,1487.0452,1486.7833,1485.5619,1484.2568,1484.2039,1484.3578,1484.9867
1250.0,1487.4384,1487.1392,1486.763,1486.6044,1485.5227,1484.3755,1484.3327,1484.8642,1485.3997
1350.0,1487.3636,1487.1145,1486.8523,1486.8646,1486.004,1485.0884,1485.2031,1485.9177,1486.3685
1450.0,1487.5391,1487.3538,1487.2318,1487.4503,1486.847,1486.1991,1486.5523,1487.4022,1487.8174
1550.0,1487.9085,1487.7878,1487.819,1488.2667,1487.949,1487.5975,1488.2715,1489.2413,1489.6293
1650.0,1488.4269,1488.3573,1488.5444,1489.2428,1489.2631,1489.2972,1490.3256,1491.334,1491.6643
1750.0,1489.0758,1489.026,1489.3527,1490.2949,1490.669,1491.1228,1492.4904,1493.4718,1493.7494
1850.0,1489.8723,1489.8205,1490.23,1491.3612,1492.0533,1492.9107,1494.5177,1495.4606,1495.7714
1950.0,1490.8092,1490.7411,1491.1877,1492.4456,1493.4139,1494.7469,1496.5747,1497.5134,1497.8258
2050.0,1491.9397,1491.8481,1492.3109,1493.6659,1494.8817,1496.8834,1498.838,1499.682,1499.9388
2150.0,1493.3371,1493.2324,1493.7346,1495.2868,1497.0155,1499.6906,1501.3591,1501.8856,1502.036
2250.0,1495.0473,1494.9442,1495.464,1497.1708,1499.4617,1502.6151,1503.7129,1503.9031,1503.9559
2350.0,1497.053,1497.0249,1497.5331,1499.2202,1501.8376,1504.9661,1505.3615,1505.4064,1505.4616
2450.0,1499.1545,1499.2487,1499.6774,1501.2651,1504.2669,1507.1444,1506.8627,1506.5989,1506.6101
2550.0,1501.1952,1501.421,1501.941,1503.6932,1507.0833,1509.3529,1508.1932,1507.5104,1507.4672
2650.0,1503.2865,1503.5749,1504.169,1506.0278,1509.6514,1511.2156,1509.0581,1508.0746,1508.0909
2750.0,1505.4534,1505.7348,1506.2575,1507.8255,1511.3033,1512.1494,1509.3845,1508.4847,1508.6019
2850.0,1507.697,1508.0079,1508.5249,1509.5878,1512.531,1512.7188,1509.5233,1508.646,1508.8589
