y,0,1,2,3,4,5,6,7,8
50.0,-17.0838,-17.013,-16.7623,-16.5011,-16.3316,-16.0973,-15.8568,-16.2453,-16.5641
150.0,-13.7543,-13.5952,-13.3158,-12.9191,-12.7818,-12.5594,-12.0323,-12.5858,-12.945
250.0,-12.3135,-12.2585,-12.067,-11.6703,-11.7079,-11.6018,-10.9373,-11.6849,-12.1585
350.0,-10.0838,-10.1946,-10.1584,-9.7911,-10.0698,-10.148,-9.4513,-10.3774,-10.9603
450.0,-4.6635,-4.9219,-5.0663,-4.9097,-5.4242,-5.7252,-5.2379,-6.2929,-6.939
550.0,2.366,2.0846,1.8542,1.79,1.1466,0.695,0.9531,-0.1065,-0.6743
650.0,7.7542,7.4679,7.1811,7.0305,6.2736,5.695,5.8678,4.8527,4.5018
750.0,9.9859,9.7011,9.3673,9.259,8.3998,7.6823,7.9489,7.0804,6.9673
850.0,9.7371,9.4243,9.0269,8.8695,7.8965,7.0094,7.28,6.5362,6.5936
950.0,8.7827,8.429,7.9644,7.7302,6.6155,5.5579,5.7796,5.1725,5.3858
1050.0,7.7055,7.3466,6.8579,6.5423,5.3265,4.1144,4.2093,3.8722,4.2951
1150.0,6.5053,6.1538,5.6805,5.3741,4.1261,2.7954,2.6971,2.8263,3.4339
1250.0,5.2123,4.8971,4.5023,4.3152,3.2173,2.0531,1.9802,2.4975,3.0188
1350.0,3.9261,3.6706,3.4002,3.3881,2.521,1.5976,1.6896,2.398,2.8426
1450.0,2.705,2.5163,2.389,2.5985,1.9915,1.3381,1.684,2.5307,2.9417
1550.0,1.5074,1.3862,1.4154,1.8598,1.5413,1.188,1.8592,2.8286,3.2148
1650.0,0.2623,0.1938,0.3817,1.0786,1.1008,1.1361,2.1619,3.1724,3.5039
1750.0,-0.989,-1.0388,-0.7098,0.2304,0.6055,1.062,2.4276,3.4107,3.6909
1850.0,-2.1063,-2.1574,-1.7452,-0.6174,0.0749,0.9344,2.5384,3.4811,3.7927
1950.0,-3.0783,-3.1492,-2.7044,-1.4612,-0.4972,0.8321,2.6444,3.5772,3.8842
2050.0,-4.0131,-4.1122,-3.6518,-2.3437,-1.1267,0.8838,2.7912,3.6456,3.9206
2150.0,-4.819,-4.9113,-4.3856,-2.8992,-1.16,1.5354,3.1641,3.703,3.8724
2250.0,-4.4581,-4.5838,-4.0838,-2.4379,-0.1727,2.9589,4.0119,4.1796,4.2139
2350.0,-3.7622,-3.8215,-3.3554,-1.7644,0.8164,3.9009,4.2083,4.2165,4.2313
2450.0,-3.0671,-3.0248,-2.6612,-1.1487,1.7959,4.6052,4.2492,3.9264,3.8741
2550.0,-2.8575,-2.6814,-2.2146,-0.5058,2.8276,5.0403,3.8498,3.1075,3.0083
2650.0,-2.349,-2.0979,-1.5391,0.2513,3.8301,5.3539,3.1483,2.1171,2.0918
2750.0,-1.3358,-1.1016,-0.6329,0.8353,4.2596,5.0483,2.1978,1.2458,1.3083
2850.0,-0.5048,-0.2502,0.2115,1.1643,4.0448,4.1747,0.8872,-0.0522,0.1055
2950.0,0.4589,0.5651,0.9558,1.5302,3.7347,3.2113,-0.4274,-1.3978,-1.1698
3050.0,1.7082,1.7048,1.7723,1.7592,3.32,2.2076,-1.792,-2.694,-2.3409
3150.0,3.2021,3.1588,2.6607,1.8688,2.7701,1.1243,-3.1321,-3.7476,-3.2189
3250.0,4.5802,4.5711,3.6137,1.7775,1.7869,-0.1785,-4.302,-4.4217,-3.7904
3350.0,5.9957,5.9233,4.4789,1.718,0.9385,-1.2835,-5.2204,-4.9209,-4.1226
3450.0,7.0684,6.9336,5.0301,1.4311,-0.0647,-2.4685,-6.1322,-5.4192,-4.415
3550.0,8.0538,7.9592,5.6767,1.164,-1.1058,-3.6233,-6.8454,-5.671,-4.5174
3650.0,8.7667,8.9437,6.6386,0.9108,-2.1434,-4.4986,-7.1908,-5.4218,-4.2048
3750.0,8.893,9.2743,7.3141,0.8779,-2.7104,-4.6601,-6.7237,-4.6143,-3.5167
3850.0,8.3663,8.95,7.316,0.7236,-3.0589,-4.6098,-6.0547,-3.7385,-2.7131
3950.0,7.3824,8.2077,7.0175,0.6323,-3.2256,-4.3017,-5.0098,-2.6555,-1.7151
4050.0,5.8353,6.8941,6.3972,0.7002,-3.3071,-3.7775,-3.3693,-1.3971,-0.6365
4150.0,3.4822,4.4678,4.7342,0.6603,-2.7596,-2.6807,-1.4695,-0.1283,0.3575
4250.0,0.6398,1.6728,2.7727,0.2833,-2.0812,-1.3811,0.1965,1.1453,1.3085
4350.0,-2.4259,-1.3801,0.4818,-0.2551,-1.3764,-0.1428,1.6544,2.2757,2.0345
4450.0,-5.5859,-4.7283,-2.3537,-0.921,-0.6893,0.8312,2.7584,3.0697,2.3059
4550.0,-8.6099,-7.9664,-5.3858,-1.9897,-0.139,1.5452,3.185,3.3316,2.2658
4650.0,-11.3827,-10.8016,-7.9179,-3.3561,-0.4132,1.5566,3.0516,3.0747,1.8806
4750.0,-13.7357,-13.1317,-10.037,-4.931,-1.407,0.8128,2.305,2.3011,1.1039
4850.0,-15.6349,-14.9482,-11.8162,-6.7235,-2.9962,-0.6807,0.9013,0.9783,-0.0517
4950.0,-17.1501,-16.2751,-13.3192,-8.8194,-5.1815,-2.7232,-1.2047,-0.9906,-1.5136
