y,0,1,2,3,4,5,6,7,8
50.0,-27.1487,-27.1566,-27.0543,-27.0974,-26.9636,-26.8131,-26.8752,-26.7769,-26.7036
150.0,-23.5867,-23.4667,-23.3164,-23.3283,-23.13,-22.9538,-22.9913,-22.8127,-22.6764
250.0,-21.5008,-21.4501,-21.3628,-21.3813,-21.295,-21.2082,-21.1732,-21.0911,-21.0161
350.0,-18.2546,-18.3321,-18.3559,-18.3599,-18.4354,-18.4808,-18.3976,-18.4498,-18.4746
450.0,-11.5074,-11.6895,-11.8363,-11.9778,-12.1767,-12.3465,-12.4126,-12.5705,-12.6892
550.0,-2.916,-3.0696,-3.2289,-3.4882,-3.6802,-3.8681,-4.0767,-4.2257,-4.3481
650.0,4.1786,4.0775,3.9452,3.7189,3.5669,3.4125,3.2081,3.1068,3.0415
750.0,8.1591,8.1168,8.0152,7.9506,7.8524,7.7411,7.6732,7.6335,7.6325
850.0,9.5976,9.5745,9.4753,9.4656,9.3803,9.2804,9.2752,9.2516,9.2736
950.0,10.1806,10.1541,10.0446,10.0542,9.96,9.8545,9.8722,9.8411,9.8641
1050.0,10.4164,10.4063,10.307,10.3058,10.2283,10.1391,10.1477,10.1327,10.1711
1150.0,10.2482,10.2424,10.1492,10.1641,10.0962,10.0174,10.0483,10.0377,10.0758
1250.0,9.6723,9.6762,9.5998,9.6438,9.6,9.5436,9.6028,9.6114,9.6531
1350.0,8.8088,8.8285,8.7817,8.8544,8.8454,8.8218,8.9085,8.9387,8.9902
1450.0,7.7859,7.8174,7.8006,7.9227,7.9505,7.9604,8.0896,8.141,8.2004
1550.0,6.6312,6.6766,6.6977,6.8672,6.9381,6.9871,7.1531,7.2297,7.2992
1650.0,5.3338,5.3916,5.4586,5.6757,5.7929,5.8827,6.0821,6.1848,6.2647
1750.0,3.979,4.0382,4.1571,4.4166,4.5735,4.7005,4.931,5.0545,5.1388
1850.0,2.72,2.7735,2.9274,3.2235,3.4147,3.5703,3.8207,3.9538,4.0374
1950.0,1.5767,1.6252,1.7933,2.1049,2.3177,2.4872,2.7353,2.8669,2.9442
2050.0,0.3913,0.4344,0.6087,0.9049,1.1411,1.333,1.5475,1.6918,1.79
2150.0,-0.816,-0.7567,-0.5654,-0.2749,-0.0185,0.1882,0.3977,0.5271,0.6185
2250.0,-1.0526,-1.0322,-0.9174,-0.6074,-0.3872,-0.2305,-0.048,0.0167,0.061
2350.0,-1.1376,-1.1214,-1.0737,-0.8099,-0.6138,-0.5023,-0.3984,-0.3805,-0.3631
2450.0,-1.222,-1.2283,-1.2362,-0.9845,-0.834,-0.78,-0.7051,-0.7429,-0.7569
2550.0,-1.6486,-1.6514,-1.6755,-1.4463,-1.3219,-1.296,-1.2297,-1.3026,-1.3178
2650.0,-1.7639,-1.7439,-1.7715,-1.6534,-1.5311,-1.5319,-1.5485,-1.6406,-1.6445
2750.0,-1.4131,-1.3923,-1.4343,-1.4365,-1.365,-1.4341,-1.5437,-1.6528,-1.6705
2850.0,-1.2859,-1.267,-1.3168,-1.3884,-1.3823,-1.5047,-1.6625,-1.7953,-1.8171
2950.0,-0.9124,-0.921,-1.01,-1.099,-1.187,-1.3915,-1.5625,-1.7337,-1.787
3050.0,-0.282,-0.3075,-0.4178,-0.5711,-0.7603,-1.0394,-1.2669,-1.4627,-1.5412
3150.0,0.5101,0.4508,0.3271,0.1761,-0.1659,-0.5262,-0.7474,-0.9709,-1.0915
3250.0,1.1901,1.0946,0.9824,0.8492,0.3708,-0.0474,-0.2559,-0.4775,-0.6183
3350.0,1.8658,1.7641,1.6661,1.5203,0.9732,0.52,0.3027,0.0989,-0.0383
3450.0,2.1728,2.087,2.0146,1.9054,1.3347,0.8714,0.7013,0.5421,0.4335
3550.0,2.4305,2.3463,2.2664,2.2631,1.6529,1.1243,1.0873,0.9586,0.8415
3650.0,2.6692,2.6038,2.5592,2.6176,1.9922,1.4065,1.479,1.4045,1.3038
3750.0,2.9218,2.8733,2.8363,2.9154,2.3581,1.7721,1.8864,1.8692,1.786
3850.0,2.8656,2.825,2.8041,2.9142,2.4276,1.893,2.061,2.0901,2.0282
3950.0,2.6803,2.6553,2.6491,2.7721,2.3856,1.9413,2.1253,2.2206,2.1923
4050.0,2.3766,2.3657,2.3665,2.4756,2.2306,1.9141,2.0717,2.2501,2.2433
4150.0,1.8284,1.8273,1.8202,1.8932,1.8213,1.704,1.821,2.0304,2.0499
4250.0,1.1013,1.0987,1.0769,1.1461,1.2157,1.2627,1.3837,1.5947,1.6334
4350.0,0.2174,0.2045,0.1461,0.2293,0.4194,0.6167,0.7746,0.9403,0.9877
4450.0,-0.8947,-0.9016,-1.0073,-0.9592,-0.6343,-0.2421,-0.0933,-0.0247,0.07
4550.0,-2.1505,-2.1664,-2.3024,-2.2321,-1.8373,-1.3233,-1.1217,-1.1541,-1.0501
4650.0,-3.5537,-3.5694,-3.7063,-3.6235,-3.1815,-2.6017,-2.3804,-2.4471,-2.3461
4750.0,-5.0783,-5.0914,-5.2161,-5.1151,-4.66,-4.0666,-3.832,-3.9066,-3.8164
4850.0,-6.7432,-6.7433,-6.829,-6.7208,-6.2738,-5.776,-5.4782,-5.5318,-5.4495
4950.0,-8.5773,-8.5872,-8.6274,-8.4627,-8.089,-7.6386,-7.3651,-7.3678,-7.2537
